,Player,Position,EspnId,EspnHeadshot
153,Ryan O'Reilly,C,5208,https://a.espncdn.com/i/headshots/nhl/players/full/5208.png
154,Brayden Schenn,C,5219,https://a.espncdn.com/i/headshots/nhl/players/full/5219.png
155,Ryan Strome,C,2562636,https://a.espncdn.com/i/headshots/nhl/players/full/2562636.png
156,Blake Coleman,C,2563026,https://a.espncdn.com/i/headshots/nhl/players/full/2563026.png
157,Shayne Gostisbehere,D,3025662,https://a.espncdn.com/i/headshots/nhl/players/full/3025662.png
158,Frank Vatrano,RW,3527554,https://a.espncdn.com/i/headshots/nhl/players/full/3527554.png
159,Elias Lindholm,C,3041994,https://a.espncdn.com/i/headshots/nhl/players/full/3041994.png
160,Tyler Bertuzzi,LW,3042056,https://a.espncdn.com/i/headshots/nhl/players/full/3042056.png
161,Nick Paul,LW,3042111,https://a.espncdn.com/i/headshots/nhl/players/full/3042111.png
162,Colton Parayko,D,3069341,https://a.espncdn.com/i/headshots/nhl/players/full/3069341.png
163,Jake Walman,D,3151136,https://a.espncdn.com/i/headshots/nhl/players/full/3151136.png
164,Alex Laferriere,RW,4697725,https://a.espncdn.com/i/headshots/nhl/players/full/4697725.png
165,Matt Coronato,RW,4874730,https://a.espncdn.com/i/headshots/nhl/players/full/4874730.png
166,Morgan Geekie,C,4268466,https://a.espncdn.com/i/headshots/nhl/players/full/4268466.png
167,Mason Marchment,LW,4272192,https://a.espncdn.com/i/headshots/nhl/players/full/4272192.png
168,Barrett Hayton,C,4352699,https://a.espncdn.com/i/headshots/nhl/players/full/4352699.png
169,Will Cuylle,LW,4697468,https://a.espncdn.com/i/headshots/nhl/players/full/4697468.png
170,Owen Power,D,4781556,https://a.espncdn.com/i/headshots/nhl/players/full/4781556.png
171,Jordan Staal,C,3541,https://a.espncdn.com/i/headshots/nhl/players/full/3541.png
172,Evgenii Dadonov,RW,4969,https://a.espncdn.com/i/headshots/nhl/players/full/4969.png
173,Nino Niederreiter,RW,5511,https://a.espncdn.com/i/headshots/nhl/players/full/5511.png
174,Vladislav Namestnikov,C,2562622,https://a.espncdn.com/i/headshots/nhl/players/full/2562622.png
175,Matt Grzelcyk,D,3069448,https://a.espncdn.com/i/headshots/nhl/players/full/3069448.png
176,Brandon Montour,D,3115032,https://a.espncdn.com/i/headshots/nhl/players/full/3115032.png
177,Michael Bunting,LW,3149603,https://a.espncdn.com/i/headshots/nhl/players/full/3149603.png
178,Jack Roslovic,C,3904098,https://a.espncdn.com/i/headshots/nhl/players/full/3904098.png
179,Adam Lowry,C,2563066,https://a.espncdn.com/i/headshots/nhl/players/full/2563066.png
180,MacKenzie Weegar,D,3042269,https://a.espncdn.com/i/headshots/nhl/players/full/3042269.png
181,Jesperi Kotkaniemi,C,4352692,https://a.espncdn.com/i/headshots/nhl/players/full/4352692.png
182,Ryan McLeod,C,4378669,https://a.espncdn.com/i/headshots/nhl/players/full/4378669.png
183,Dylan Cozens,C,4565228,https://a.espncdn.com/i/headshots/nhl/players/full/4565228.png
184,Mason McTavish,C,4874718,https://a.espncdn.com/i/headshots/nhl/players/full/4874718.png
185,Shane Wright,C,5080144,https://a.espncdn.com/i/headshots/nhl/players/full/5080144.png
186,Morgan Frost,C,4233685,https://a.espncdn.com/i/headshots/nhl/players/full/4233685.png
187,Eric Robinson,LW,4319879,https://a.espncdn.com/i/headshots/nhl/players/full/4319879.png
188,Jake Evans,C,4393049,https://a.espncdn.com/i/headshots/nhl/players/full/4393049.png
189,Quinton Byfield,RW,4697383,https://a.espncdn.com/i/headshots/nhl/players/full/4697383.png
190,Jake Neighbours,LW,4697409,https://a.espncdn.com/i/headshots/nhl/players/full/4697409.png
191,Cole Sillinger,C,4874725,https://a.espncdn.com/i/headshots/nhl/players/full/4874725.png
192,Alex Pietrangelo,D,4013,https://a.espncdn.com/i/headshots/nhl/players/full/4013.png
193,Taylor Hall,LW,5428,https://a.espncdn.com/i/headshots/nhl/players/full/5428.png
194,Reilly Smith,RW,2500990,https://a.espncdn.com/i/headshots/nhl/players/full/2500990.png
195,Phillip Danault,C,2562602,https://a.espncdn.com/i/headshots/nhl/players/full/2562602.png
196,Jean-Gabriel Pageau,C,2593131,https://a.espncdn.com/i/headshots/nhl/players/full/2593131.png
197,Scott Laughton,C,2976848,https://a.espncdn.com/i/headshots/nhl/players/full/2976848.png
198,Jordan Martinook,LW,2989376,https://a.espncdn.com/i/headshots/nhl/players/full/2989376.png
199,Miro Heiskanen,D,4233536,https://a.espncdn.com/i/headshots/nhl/players/full/4233536.png
200,Dmitry Orlov,D,5646,https://a.espncdn.com/i/headshots/nhl/players/full/5646.png
201,Sean Couturier,C,2562601,https://a.espncdn.com/i/headshots/nhl/players/full/2562601.png
202,Seth Jones,D,3041992,https://a.espncdn.com/i/headshots/nhl/players/full/3041992.png
203,Devon Toews,D,3096249,https://a.espncdn.com/i/headshots/nhl/players/full/3096249.png
204,Aaron Ekblad,D,3114717,https://a.espncdn.com/i/headshots/nhl/players/full/3114717.png
205,Travis Sanheim,D,3114757,https://a.espncdn.com/i/headshots/nhl/players/full/3114757.png
206,Warren Foegele,LW,3151036,https://a.espncdn.com/i/headshots/nhl/players/full/3151036.png
207,Eeli Tolvanen,RW,4233720,https://a.espncdn.com/i/headshots/nhl/players/full/4233720.png
208,Noah Dobson,D,4352732,https://a.espncdn.com/i/headshots/nhl/players/full/4352732.png
209,Bowen Byram,D,4565225,https://a.espncdn.com/i/headshots/nhl/players/full/4565225.png
210,Thomas Harley,D,4565239,https://a.espncdn.com/i/headshots/nhl/players/full/4565239.png
211,Jackson LaCombe,D,4565262,https://a.espncdn.com/i/headshots/nhl/players/full/4565262.png
212,Dawson Mercer,C,4697401,https://a.espncdn.com/i/headshots/nhl/players/full/4697401.png
213,Brandt Clarke,D,4874722,https://a.espncdn.com/i/headshots/nhl/players/full/4874722.png
214,Logan Stankoven,C,4874899,https://a.espncdn.com/i/headshots/nhl/players/full/4874899.png
215,Pius Suter,C,4271732,https://a.espncdn.com/i/headshots/nhl/players/full/4271732.png
216,Tyson Foerster,RW,4697406,https://a.espncdn.com/i/headshots/nhl/players/full/4697406.png
217,Mason Lohrei,D,4697461,https://a.espncdn.com/i/headshots/nhl/players/full/4697461.png
218,Bobby McMann,C,5048894,https://a.espncdn.com/i/headshots/nhl/players/full/5048894.png
219,Nick Foligno,LW,3535,https://a.espncdn.com/i/headshots/nhl/players/full/3535.png
220,Morgan Rielly,D,2976833,https://a.espncdn.com/i/headshots/nhl/players/full/2976833.png
221,Alex Wennberg,C,3042017,https://a.espncdn.com/i/headshots/nhl/players/full/3042017.png
222,Frederick Gaudreau,C,3149649,https://a.espncdn.com/i/headshots/nhl/players/full/3149649.png
223,Evan Rodrigues,C,3648008,https://a.espncdn.com/i/headshots/nhl/players/full/3648008.png
224,Thomas Chabot,D,3900219,https://a.espncdn.com/i/headshots/nhl/players/full/3900219.png
225,Joel Eriksson Ek,C,3904091,https://a.espncdn.com/i/headshots/nhl/players/full/3904091.png
226,Vince Dunn,D,3904189,https://a.espncdn.com/i/headshots/nhl/players/full/3904189.png
227,James van Riemsdyk,LW,3822,https://a.espncdn.com/i/headshots/nhl/players/full/3822.png
228,Mattias Ekholm,D,2558631,https://a.espncdn.com/i/headshots/nhl/players/full/2558631.png
229,Joel Armia,RW,2562596,https://a.espncdn.com/i/headshots/nhl/players/full/2562596.png
230,Mike Matheson,D,2976851,https://a.espncdn.com/i/headshots/nhl/players/full/2976851.png
231,Darnell Nurse,D,3041997,https://a.espncdn.com/i/headshots/nhl/players/full/3041997.png
232,Darren Raddysh,D,3149843,https://a.espncdn.com/i/headshots/nhl/players/full/3149843.png
233,Brett Howden,C,4024989,https://a.espncdn.com/i/headshots/nhl/players/full/4024989.png
234,Noah Cates,LW,4419682,https://a.espncdn.com/i/headshots/nhl/players/full/4419682.png
235,Bobby Brink,RW,4565257,https://a.espncdn.com/i/headshots/nhl/players/full/4565257.png
236,Connor Zary,C,4697407,https://a.espncdn.com/i/headshots/nhl/players/full/4697407.png
237,Will Smith,C,5149155,https://a.espncdn.com/i/headshots/nhl/players/full/5149155.png
238,Kiefer Sherwood,LW,4391255,https://a.espncdn.com/i/headshots/nhl/players/full/4391255.png
239,Shane Pinto,C,4565255,https://a.espncdn.com/i/headshots/nhl/players/full/4565255.png
240,Brock Faber,D,4697449,https://a.espncdn.com/i/headshots/nhl/players/full/4697449.png
241,Luke Hughes,D,4874719,https://a.espncdn.com/i/headshots/nhl/players/full/4874719.png
242,Ryker Evans,D,4874864,https://a.espncdn.com/i/headshots/nhl/players/full/4874864.png
243,Cutter Gauthier,LW,5080145,https://a.espncdn.com/i/headshots/nhl/players/full/5080145.png
244,Maxim Tsyplakov,RW,5212753,
245,Mikael Backlund,C,3797,https://a.espncdn.com/i/headshots/nhl/players/full/3797.png
246,Alex Killorn,LW,4968,https://a.espncdn.com/i/headshots/nhl/players/full/4968.png
247,Oliver Ekman-Larsson,D,5488,https://a.espncdn.com/i/headshots/nhl/players/full/5488.png
248,Vladimir Tarasenko,RW,5837,https://a.espncdn.com/i/headshots/nhl/players/full/5837.png
249,J.T. Compher,LW,3041995,https://a.espncdn.com/i/headshots/nhl/players/full/3041995.png
250,Trevor Moore,LW,3096186,https://a.espncdn.com/i/headshots/nhl/players/full/3096186.png
251,Noah Hanifin,D,3652964,https://a.espncdn.com/i/headshots/nhl/players/full/3652964.png
252,Ivan Provorov,D,3899939,https://a.espncdn.com/i/headshots/nhl/players/full/3899939.png
253,Keegan Kolesar,RW,3941546,https://a.espncdn.com/i/headshots/nhl/players/full/3941546.png
254,Charlie McAvoy,D,3988803,https://a.espncdn.com/i/headshots/nhl/players/full/3988803.png
255,Kris Letang,D,3539,https://a.espncdn.com/i/headshots/nhl/players/full/3539.png
256,Marcus Foligno,LW,5172,https://a.espncdn.com/i/headshots/nhl/players/full/5172.png
257,Tyler Seguin,C,5430,https://a.espncdn.com/i/headshots/nhl/players/full/5430.png
258,Brendan Gallagher,RW,5614,https://a.espncdn.com/i/headshots/nhl/players/full/5614.png
259,Gustav Nyquist,RW,5823,https://a.espncdn.com/i/headshots/nhl/players/full/5823.png
260,Charlie Coyle,C,2555315,https://a.espncdn.com/i/headshots/nhl/players/full/2555315.png
261,Ondrej Palat,LW,2590389,https://a.espncdn.com/i/headshots/nhl/players/full/2590389.png
262,Jonathan Drouin,LW,3041971,https://a.espncdn.com/i/headshots/nhl/players/full/3041971.png
263,Andrew Copp,C,3042114,https://a.espncdn.com/i/headshots/nhl/players/full/3042114.png
264,Connor Brown,RW,3067951,https://a.espncdn.com/i/headshots/nhl/players/full/3067951.png
265,Damon Severson,D,3068087,https://a.espncdn.com/i/headshots/nhl/players/full/3068087.png
266,Jaccob Slavin,D,3069836,https://a.espncdn.com/i/headshots/nhl/players/full/3069836.png
267,Mathew Barzal,C,3899946,https://a.espncdn.com/i/headshots/nhl/players/full/3899946.png
268,Adam Gaudette,RW,3942868,https://a.espncdn.com/i/headshots/nhl/players/full/3942868.png
269,Justin Brazeau,RW,4063605,https://a.espncdn.com/i/headshots/nhl/players/full/4063605.png
270,Filip Chytil,C,4233643,https://a.espncdn.com/i/headshots/nhl/players/full/4233643.png
271,Jesper Boqvist,C,4233872,https://a.espncdn.com/i/headshots/nhl/players/full/4233872.png
272,Jack Quinn,RW,4697389,https://a.espncdn.com/i/headshots/nhl/players/full/4697389.png
273,Simon Edvinsson,D,4874720,https://a.espncdn.com/i/headshots/nhl/players/full/4874720.png
274,Michael Kesselring,D,4331604,https://a.espncdn.com/i/headshots/nhl/players/full/4331604.png
275,Joel Farabee,LW,4352750,https://a.espncdn.com/i/headshots/nhl/players/full/4352750.png
276,Kirby Dach,C,4565224,https://a.espncdn.com/i/headshots/nhl/players/full/4565224.png
277,Alex Turcotte,C,4565226,https://a.espncdn.com/i/headshots/nhl/players/full/4565226.png
278,Vasily Podkolzin,RW,4565231,https://a.espncdn.com/i/headshots/nhl/players/full/4565231.png
279,Marco Kasper,C,5080152,https://a.espncdn.com/i/headshots/nhl/players/full/5080152.png
280,Brent Burns,D,2300,https://a.espncdn.com/i/headshots/nhl/players/full/2300.png
281,Justin Faulk,D,5746,https://a.espncdn.com/i/headshots/nhl/players/full/5746.png
282,Brady Skjei,D,2976856,https://a.espncdn.com/i/headshots/nhl/players/full/2976856.png
283,Tanner Pearson,LW,2976860,https://a.espncdn.com/i/headshots/nhl/players/full/2976860.png
284,Max Domi,C,3042014,https://a.espncdn.com/i/headshots/nhl/players/full/3042014.png
285,Victor Olofsson,RW,3151096,https://a.espncdn.com/i/headshots/nhl/players/full/3151096.png
286,Rasmus Andersson,D,3904186,https://a.espncdn.com/i/headshots/nhl/players/full/3904186.png
287,Samuel Girard,D,4063401,https://a.espncdn.com/i/headshots/nhl/players/full/4063401.png
288,Taylor Raddysh,RW,4063502,https://a.espncdn.com/i/headshots/nhl/players/full/4063502.png
289,Corey Perry,RW,2273,https://a.espncdn.com/i/headshots/nhl/players/full/2273.png
290,Chris Kreider,LW,5833,https://a.espncdn.com/i/headshots/nhl/players/full/5833.png
291,William Karlsson,C,2563057,https://a.espncdn.com/i/headshots/nhl/players/full/2563057.png
292,Nick Jensen,D,3025608,https://a.espncdn.com/i/headshots/nhl/players/full/3025608.png
