,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
500,8476624,Barclay Goodrow,SJS,C,https://assets.nhle.com/mugs/nhl/20252026/SJS/8476624.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,23,barclaygoodrow,2.0,24.233333333333,12.116666666667,17.33,84.18,17.07,9.9,56.95,14.81,7.43,42.09,15.0,2.48,4.95,33.33,0.58,3.96,12.87,9.9,37.14,21.05,2.48,19.81,11.11,2.48,4.95,33.33,9.9,23.11,30.0,0.0,0.0,-,7.15,82.26,8.00,0.0,0.0,-,33.33,88.24,1.216,4.95,24.76,9.9,54.47,33.33,7.43,27.24,19.81,27.27
501,8483609,Adam Klapka,CGY,R,https://assets.nhle.com/mugs/nhl/20252026/CGY/8483609.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,43,adamklapka,3.0,36.35,12.116666666667,64.37,54.47,54.17,47.87,36.31,56.86,21.46,21.46,50.0,1.65,0.0,100.00,3.24,2.25,59.07,34.66,19.81,63.64,16.51,6.6,71.43,1.65,0.0,100.00,24.21,17.61,57.89,0.0,0.0,-,42.92,54.84,43.90,0.0,0.0,-,7.69,100.00,1.077,3.3,14.86,6.6,57.77,33.33,9.9,14.86,16.51,37.5
502,8482691,Aatu Raty,VAN,C,https://assets.nhle.com/mugs/nhl/20252026/VAN/8482691.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,54,aaturaty,3.0,36.166666666667,12.055555555556,48.11,54.75,46.77,34.84,36.5,48.84,23.23,21.57,51.85,3.32,0.0,100.00,1.45,3.14,31.58,23.23,34.84,40.0,4.98,8.29,37.50,1.66,0.0,100.00,24.33,35.39,40.74,0.0,0.0,-,38.34,45.53,45.71,2.4,0.0,100.00,14.29,100.00,1.143,8.29,9.95,26.54,46.45,23.81,14.93,13.27,36.5,29.03
503,8479591,Michael Eyssimont,BOS,C,https://assets.nhle.com/mugs/nhl/20252026/BOS/8479591.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026,81,michaeleyssimont,4.0,48.166666666667,12.041666666667,61.04,72.25,45.79,46.09,52.32,46.84,24.91,36.12,40.82,2.49,6.23,28.57,2.37,3.66,39.34,23.67,31.14,43.18,9.97,12.46,44.44,1.25,2.49,33.33,18.27,24.91,42.31,0.0,3.32,0.00,53.98,64.78,45.45,1.8,1.8,50.00,10.00,82.76,0.928,9.97,12.46,9.97,47.34,50.00,13.7,23.67,28.65,32.35
504,8479353,Brett Howden,VGK,C,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479353.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,21,bretthowden,3.0,36.116666666667,12.038888888889,56.48,49.84,53.13,36.55,34.89,51.16,24.92,24.92,50.0,1.66,3.32,33.33,1.72,2.59,39.94,26.58,26.58,50.0,11.63,9.97,53.85,1.66,1.66,50.00,19.94,22.15,47.37,0.0,2.22,0.00,33.59,35.99,48.28,0.0,0.0,-,6.67,86.67,0.933,1.66,29.9,14.95,41.53,10.00,1.66,34.89,19.94,7.69
505,8479977,Kailer Yamamoto,UTA,R,https://assets.nhle.com/mugs/nhl/20252026/UTA/8479977.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,56,kaileryamamoto,3.0,35.966666666667,11.988888888889,61.72,48.38,56.06,43.37,41.71,50.98,23.35,25.02,48.28,0.0,0.0,-,2.3,3.0,43.34,21.69,25.02,46.43,5.0,15.01,25.00,0.0,0.0,-,22.24,13.35,62.5,0.0,0.0,-,55.42,43.37,56.10,0.0,0.0,-,0.00,100.00,1.0,1.67,18.35,8.34,60.06,16.67,8.34,26.69,18.35,31.25
506,8484806,Sam Dickinson,SJS,D,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484806.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,6,samdickinson,1.0,11.983333333333,11.983333333333,40.06,35.05,53.33,30.04,35.05,46.15,25.03,20.03,55.56,5.01,0.0,100.00,1.82,2.77,39.64,25.03,10.01,71.43,10.01,10.01,50.00,0.0,0.0,-,20.03,0.0,100.0,6.68,0.0,100.00,21.7,43.39,33.33,0.0,0.0,-,20.00,100.00,1.2,5.01,15.02,10.01,55.08,33.33,10.01,25.03,20.03,33.33
507,8481601,Simon Holmstrom,NYI,R,https://assets.nhle.com/mugs/nhl/20252026/NYI/8481601.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,10,simonholmstrom,3.0,35.483333333333,11.827777777778,49.04,74.4,39.73,35.51,49.04,42.0,20.29,42.27,32.43,1.69,6.76,20.00,1.69,5.17,24.61,16.91,42.27,28.57,5.07,20.29,20.00,0.0,0.0,-,15.78,29.31,35.0,2.25,6.76,25.00,41.52,48.85,45.95,0.0,2.44,0.00,8.33,84.00,0.923,13.53,11.84,11.84,54.11,53.33,21.98,16.91,20.29,52.0
508,8483476,Jonathan Lekkerimäki,VAN,R,https://assets.nhle.com/mugs/nhl/20252026/VAN/8483476.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,23,jonathanlekkerimaki,3.0,35.483333333333,11.827777777778,40.58,77.78,34.29,27.05,55.8,32.65,16.91,33.82,33.33,1.69,1.69,50.00,1.26,5.15,19.72,13.53,37.2,26.67,1.69,18.6,8.33,0.0,0.0,-,15.78,24.8,38.89,2.25,0.0,100.00,41.52,56.18,42.50,0.0,0.0,-,10.00,95.00,1.05,8.45,6.76,1.69,54.11,83.33,11.84,8.45,8.45,58.33
509,8484186,Ryan Leonard,WSH,R,https://assets.nhle.com/mugs/nhl/20252026/WSH/8484186.png,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,9,ryanleonard,3.0,35.466666666667,11.822222222222,72.74,65.98,52.44,54.14,45.68,54.24,38.91,20.3,65.71,1.69,0.0,100.00,5.09,2.32,68.7,35.53,32.14,52.5,18.61,8.46,68.75,0.0,0.0,-,22.56,31.58,41.67,2.26,0.0,100.00,63.53,53.76,54.17,0.0,0.0,-,4.35,100.00,1.043,8.46,8.46,8.46,47.37,50.00,16.92,8.46,18.61,47.62
510,8485702,Max Shabanov,NYI,R,https://assets.nhle.com/mugs/nhl/20252026/NYI/8485702.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,49,maxshabanov,3.0,35.416666666667,11.805555555556,74.54,55.91,57.14,50.82,42.35,54.55,33.88,35.58,48.78,3.39,6.78,33.33,2.33,3.62,39.22,33.88,30.49,52.63,8.47,16.94,33.33,1.69,3.39,33.33,33.88,18.07,65.22,2.26,4.52,33.33,75.86,36.71,67.39,0.0,0.0,-,10.00,80.95,0.91,15.25,5.08,8.47,52.52,64.29,25.41,10.16,15.25,62.5
511,8482733,Logan Mailloux,STL,D,https://assets.nhle.com/mugs/nhl/20252026/STL/8482733.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg?season=20252026,23,loganmailloux,3.0,35.366666666667,11.788888888889,50.9,57.68,46.88,32.23,44.11,42.22,16.97,22.05,43.48,0.0,5.09,0.00,2.5,3.36,42.65,25.45,33.93,42.86,8.48,20.36,29.41,0.0,5.09,0.00,22.62,18.1,55.56,0.0,0.0,-,41.66,36.76,53.13,0.0,0.0,-,0.00,76.92,0.769,3.39,10.18,10.18,61.07,25.00,13.57,10.18,20.36,40.0
512,8476278,Colin Blackwell,DAL,C,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476278.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,15,colinblackwell,2.0,23.55,11.775,48.41,76.43,38.78,35.67,56.05,38.89,20.38,38.22,34.78,0.0,7.64,0.00,1.31,4.69,21.81,17.83,48.41,26.92,5.1,17.83,22.22,0.0,2.55,0.00,16.99,40.76,29.41,0.0,6.79,0.00,58.88,66.24,47.06,0.0,0.0,-,0.00,80.00,0.8,10.19,10.19,33.12,35.67,23.53,15.29,12.74,45.86,25.0
513,8478438,Tommy Novak,PIT,C,https://assets.nhle.com/mugs/nhl/20252026/PIT/8478438.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,18,thomasnovak,3.0,35.183333333333,11.727777777778,59.69,54.57,52.24,42.63,35.81,54.35,30.7,23.87,56.25,3.41,3.41,50.00,3.3,3.27,50.26,30.7,25.58,54.55,13.64,8.53,61.54,0.0,0.0,-,22.74,22.74,50.0,2.27,4.55,33.33,44.34,41.88,51.43,2.46,0.0,100.00,11.11,85.71,0.968,13.64,6.82,5.12,56.28,72.73,13.64,8.53,10.23,57.14
514,8485405,Brady Martin,NSH,C,https://assets.nhle.com/mugs/nhl/20252026/NSH/8485405.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,44,bradymartin,2.0,23.4,11.7,61.54,53.85,53.33,41.03,38.46,51.61,17.95,33.33,35.0,2.56,2.56,50.00,3.37,1.93,63.57,30.77,25.64,54.55,10.26,5.13,66.67,0.0,2.56,0.00,27.35,27.35,50.0,0.0,0.0,-,55.56,48.15,53.57,3.7,0.0,100.00,14.29,92.31,1.066,17.95,15.38,0.0,33.33,100.00,23.08,17.95,10.26,69.23
515,8481617,Vasily Podkolzin,EDM,R,https://assets.nhle.com/mugs/nhl/20252026/EDM/8481617.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,92,vasilypodkolzin,2.0,23.383333333333,11.691666666667,56.45,35.92,61.11,43.62,23.09,65.38,35.92,15.4,70.0,2.57,5.13,33.33,1.84,1.59,53.67,25.66,15.4,62.5,5.13,10.26,33.33,0.0,2.57,0.00,27.37,6.84,80.0,3.42,3.42,50.00,37.06,37.06,50.00,0.0,0.0,-,7.14,66.67,0.738,2.57,25.66,5.13,46.19,33.33,2.57,33.36,15.4,14.29
516,8480448,Parker Kelly,COL,C,https://assets.nhle.com/mugs/nhl/20252026/COL/8480448.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,17,parkerkelly,4.0,46.65,11.6625,51.45,64.31,44.44,27.01,34.73,43.75,20.58,20.58,50.0,1.29,2.57,33.33,1.68,2.03,45.22,23.15,27.01,46.15,9.0,9.0,50.00,0.0,0.0,-,18.86,24.01,44.0,0.0,1.71,0.00,39.01,55.73,41.18,1.86,1.86,50.00,6.25,87.50,0.938,11.58,10.29,18.01,43.73,39.13,15.43,18.01,29.58,34.29
517,8476925,Colton Sissons,VGK,C,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476925.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,10,coltonsissons,3.0,34.933333333333,11.644444444444,53.24,49.81,51.67,34.35,37.79,47.62,25.76,25.76,50.0,1.72,3.44,33.33,1.74,2.83,38.02,25.76,24.05,51.72,12.02,10.31,53.85,1.72,1.72,50.00,18.32,18.32,50.0,0.0,2.29,0.00,29.77,39.69,42.86,0.0,0.0,-,6.67,86.67,0.933,1.72,29.2,22.33,44.66,7.14,1.72,34.35,27.48,5.88
518,8480806,Isac Lundestrom,CBJ,C,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8480806.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,21,isaclundestrom,3.0,34.916666666667,11.638888888889,48.11,85.92,35.9,29.21,68.74,29.82,15.47,44.68,25.71,1.72,1.72,50.00,1.88,4.21,30.87,22.34,44.68,33.33,10.31,15.47,40.00,1.72,0.0,100.00,16.04,38.95,29.17,0.0,0.0,-,32.27,74.46,30.23,0.0,2.48,0.00,11.11,96.15,1.073,6.87,5.16,13.75,58.42,33.33,12.03,8.59,36.09,25.0
519,8482088,Justin Sourdif,WSH,R,https://assets.nhle.com/mugs/nhl/20252026/WSH/8482088.png,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,34,justinsourdif,3.0,34.533333333333,11.511111111111,55.6,48.65,53.33,39.96,36.49,52.27,29.54,19.11,60.71,0.0,0.0,-,2.69,1.52,63.86,20.85,15.64,57.14,13.9,3.47,80.00,0.0,0.0,-,9.27,16.22,36.36,0.0,0.0,-,37.64,55.21,40.54,0.0,0.0,-,0.00,100.00,1.0,0.0,12.16,20.85,48.65,0.00,3.47,17.37,26.06,11.76
520,8475231,Casey Cizikas,NYI,C,https://assets.nhle.com/mugs/nhl/20252026/NYI/8475231.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,53,caseycizikas,3.0,34.333333333333,11.444444444444,50.68,78.64,39.19,26.21,54.17,32.61,19.22,31.46,37.93,0.0,3.5,0.00,0.7,5.24,11.84,10.49,52.43,16.67,0.0,26.21,0.00,0.0,0.0,-,13.98,34.95,28.57,0.0,2.33,0.00,45.44,32.82,58.06,0.0,2.52,0.00,0.00,88.89,0.889,12.23,20.97,5.24,47.18,70.00,26.21,26.21,10.49,71.43
521,8479525,Ross Colton,COL,C,https://assets.nhle.com/mugs/nhl/20252026/COL/8479525.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,20,rosscolton,4.0,45.733333333333,11.433333333333,73.47,56.41,56.57,49.85,39.36,55.88,36.73,23.62,60.87,1.31,2.62,33.33,2.62,2.31,53.17,30.17,18.37,62.16,10.5,7.87,57.14,0.0,1.31,0.00,26.24,13.99,65.22,1.75,0.0,100.00,79.59,66.33,54.55,0.0,1.9,0.00,3.57,88.89,0.925,15.74,11.81,5.25,55.1,75.00,24.93,14.43,20.99,54.29
522,8479316,Luke Kunin,FLA,C,https://assets.nhle.com/mugs/nhl/20252026/FLA/8479316.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,71,lukekunin,4.0,45.616666666667,11.404166666667,39.46,72.34,35.29,24.99,48.67,33.93,21.04,31.57,40.0,2.63,1.32,66.67,1.71,3.36,33.77,14.47,31.57,31.43,7.89,7.89,50.00,1.32,0.0,100.00,8.77,31.57,21.74,0.0,1.75,0.00,39.9,76.0,34.43,1.9,0.0,100.00,12.50,95.83,1.083,5.26,14.47,15.78,46.04,25.00,9.21,19.73,28.94,24.14
