,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
0,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,8,zachwerenski,81.0,2166.3666666667,26.745267489712,69.43,58.77,54.16,49.88,41.88,54.36,34.34,28.5,54.65,3.71,2.99,55.37,3.69,2.97,55.36,31.77,27.75,53.37,13.57,11.6,53.91,1.66,1.27,56.60,24.26,21.53,52.98,1.62,1.22,57.14,63.41,49.49,56.17,1.12,0.92,54.90,10.81,89.50,1.003,9.78,11.77,7.7,28.36,55.94,26.45,18.45,18.5,58.84
1,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20242025/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,43,quinnhughes,68.0,1749.5833333333,25.729166666667,69.55,44.68,60.88,50.58,33.54,60.13,33.06,22.26,59.76,4.18,2.91,58.94,3.66,2.27,61.75,34.12,20.54,62.42,14.03,9.33,60.06,2.19,1.3,62.75,26.79,14.95,64.18,1.51,0.96,61.11,62.22,34.82,64.11,1.04,0.94,52.50,12.66,86.90,0.996,9.5,10.56,4.6,34.33,67.40,26.1,17.11,10.91,70.53
2,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20242025/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,calemakar,80.0,2057.3,25.71625,71.28,52.99,57.36,50.51,38.99,56.44,34.21,25.58,57.22,4.37,2.95,59.76,4.0,3.19,55.6,36.34,24.53,59.70,13.27,10.82,55.08,1.55,1.46,51.46,30.76,18.28,62.73,2.1,1.05,66.67,64.71,47.98,57.42,1.35,0.59,69.57,12.79,88.48,1.013,13.59,9.71,9.54,29.49,58.76,31.06,16.01,20.01,60.82
3,8482122,Brock Faber,MIN,D,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482122.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,7,brockfaber,78.0,1990.95,25.525,55.9,64.91,46.27,40.29,46.44,46.46,27.39,30.53,47.29,2.62,2.86,47.80,2.89,3.2,47.41,26.22,30.02,46.62,10.46,11.54,47.53,0.99,1.15,46.48,21.02,24.63,46.04,1.17,1.45,44.62,48.28,58.72,45.12,0.78,0.74,51.43,9.57,90.62,1.002,7.38,11.27,8.62,36.8,46.14,19.56,18.41,20.58,48.72
4,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,4,miroheiskanen,50.0,1258.0166666667,25.160333333333,69.68,49.84,58.3,48.22,36.82,56.7,33.05,23.27,58.68,3.34,2.24,59.83,4.14,2.52,62.1,34.58,23.47,59.57,14.59,10.35,58.51,2.05,1.19,63.24,26.65,17.49,60.37,0.76,0.89,46.15,64.62,42.09,60.56,0.76,0.48,61.11,10.10,90.37,1.005,11.02,10.21,6.72,32.86,62.10,29.38,17.74,17.31,62.92
5,8479410,Mikhail Sergachev,UTA,D,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479410.png,https://assets.nhle.com/logos/nhl/svg/UTA_20242025-20242025_light.svg,98,mikhailsergachev,77.0,1934.0,25.116883116883,64.13,57.8,52.6,46.5,41.39,52.91,29.72,28.17,51.34,3.78,3.41,52.59,3.51,3.35,51.12,30.78,28.39,52.02,11.48,11.54,49.87,1.61,1.77,47.71,25.73,22.46,53.39,1.86,1.24,60.00,58.35,52.16,52.8,0.9,0.81,52.63,12.73,87.89,1.006,11.04,12.44,13.84,35.8,44.39,25.63,18.89,25.69,49.94
6,8476875,Mike Matheson,MTL,D,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476875.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,8,michaelmatheson,80.0,2006.45,25.080625,52.9,68.78,43.48,37.47,48.95,43.36,25.3,32.27,43.95,2.93,3.71,44.14,2.9,4.0,42.01,24.31,33.97,41.71,9.09,14.47,38.58,1.26,1.82,40.78,20.29,26.0,43.84,1.32,1.36,49.25,45.66,61.51,42.6,0.73,1.04,41.46,11.58,88.51,1.001,7.48,9.33,12.17,32.06,38.05,17.52,16.0,27.27,39.12
7,8481542,Moritz Seider,DET,D,https://assets.nhle.com/mugs/nhl/20242025/DET/8481542.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,53,moritzseider,82.0,2055.9166666667,25.072154471545,60.03,58.02,50.85,44.33,41.12,51.88,30.15,26.67,53.06,3.47,3.3,51.29,3.51,3.19,52.4,28.75,26.44,52.09,11.29,10.77,51.19,1.4,1.43,49.48,23.27,20.9,52.69,1.95,1.36,58.82,52.82,54.63,49.16,0.76,1.01,42.86,11.52,87.64,0.992,9.75,11.62,11.29,33.82,46.32,22.18,17.1,22.88,49.22
8,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20242025/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,53.0,1326.7166666667,25.032389937107,75.34,54.09,58.21,53.5,40.66,56.82,34.87,27.81,55.63,3.35,3.62,48.05,3.89,3.07,55.91,35.46,25.87,57.82,12.93,10.99,54.06,1.36,1.31,50.85,30.03,19.84,60.22,1.45,1.63,47.06,74.6,42.07,63.94,0.98,1.11,46.88,9.60,86.99,0.966,12.8,8.68,5.97,37.72,68.19,33.78,14.52,14.11,70.54
9,8477495,Seth Jones,FLA,D,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477495.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,3,sethjones,63.0,1552.4166666667,24.641534391534,60.83,60.22,50.26,44.25,45.68,49.2,30.07,30.84,49.37,3.21,3.83,45.60,3.17,3.67,46.33,27.67,30.11,47.89,10.9,12.64,46.31,1.47,2.01,42.22,22.37,23.29,48.98,1.34,1.44,48.15,57.73,52.87,52.2,0.95,0.78,54.84,10.67,87.59,0.983,10.44,9.01,9.78,36.72,51.63,24.62,14.38,20.37,54.73
