,PlayerID,Player,Position,Team,Age,ATOI,Gper1kChunk,A1per1kChunk,A2per1kChunk,GPprb,xGA/60,GA/60,ATOI_StDev,Gper1kChunk_StDev,A1per1kChunk_StDev,A2per1kChunk_StDev,GPprb_StDev
0,8478402,Connor McDavid,C,EDM,28,22.063563733729424,9.14047706417921,18.59199761867714,10.69602511778492,0.9835398682343056,2.542384394203744,2.535570888984494,0.9833987321347619,3.4295745035557146,6.496734947363473,3.174459875589605,0.15399718315513986
1,8476453,Nikita Kucherov,R,TBL,32,21.14152487632409,10.32839980769435,17.190628516964797,10.03800235143522,0.9859925232192402,2.7593454804071564,3.2503791827690307,0.8674694082736343,2.2538423215233747,5.904297943231657,3.2129697325312834,0.22200570368613126
2,8483457,Lane Hutson,D,MTL,21,22.725555873271933,1.8788518640803091,11.960045674952065,9.681583304807145,0.9554289370279351,2.926045986501182,3.0932819207121685,2.7822491168423547,0.8609714041789696,4.2146630023008225,3.1181674777263932,0.28146483975889985
3,8477492,Nathan MacKinnon,C,COL,30,22.739078302536058,9.545344280048303,13.636158749108775,8.6959294393332,0.985980135678016,2.469199949357568,2.478802931017992,1.6590068478283353,2.7281273502172594,4.72859928831981,3.1312696643232343,0.20207780108138437
4,8484801,Macklin Celebrini,C,SJS,19,19.872825876698595,9.269711945911704,7.605692263652674,8.567162633708142,0.9857301048573632,2.5911944096262864,2.4416691086931928,1.4208624423746128,2.676408267105083,2.5725732042625777,1.4989783283569378,0.17954061560775647
5,8478483,Mitch Marner,R,VGK,28,21.360508557694477,7.331029170896948,12.917856901926838,8.446924499664963,0.985918035803399,2.682791758630334,3.0240636324301,0.5545799726369868,1.4459902121039319,4.326826626828922,2.777841922332499,0.2274250681685634
6,8480800,Quinn Hughes,D,VAN,26,25.593413929310135,2.8287522298533743,9.810121764617866,8.058135369928872,0.9859576128936318,2.544701623916626,2.565008315923737,1.7022422532301416,1.033672911745646,3.3426814671974765,2.283546422249304,0.13445602539798965
7,8478403,Jack Eichel,C,VGK,29,20.464946495321474,9.18362035668999,10.22774618851963,8.01196302388815,0.9773267505319526,2.9185278481971926,2.890116054604693,0.7196159599256016,2.404872091772679,2.798427591082264,3.885857421037865,0.13557849840936398
8,8482684,Luke Hughes,D,NJD,22,21.22747809806746,3.1397022008895874,6.87494683265686,7.656000079178228,0.9604232769372669,2.928813334092861,2.8692376222843077,1.8899507241109856,2.0147707299970308,3.0019506766176414,2.68223989859078,0.18112555770230884
9,8480023,Robert Thomas,C,STL,26,20.039021694502686,7.125186233576772,11.983796241397833,7.64033130320107,0.9858431579737919,3.034985494846251,3.136751229588578,0.8106706260147384,1.3251020575258057,3.749421356266945,2.3429155353274997,0.11217142741010104
10,8477934,Leon Draisaitl,C,EDM,30,21.49406156908273,11.966953279016366,13.037655761316492,7.614335781190453,0.9859677373377502,2.4886719624589126,2.6581536269769437,0.8497224072638371,3.5177362101489265,3.3822933458659405,2.398010681870783,0.18159597976870237
11,8481523,Kirby Dach,C,MTL,24,15.837535142245345,5.860911247206897,5.60334812722555,7.608649078161506,0.3665306445928203,2.606715921657841,2.527067579525273,2.0541967039863094,1.8830372433061706,2.902814164510188,3.764897487646735,0.1750197096707637
12,8478550,Artemi Panarin,L,NYR,34,19.760104741915168,9.313913112733422,10.230303160545745,7.462955301372459,0.9858306402393432,2.6955216679921965,2.88128043732992,0.8140573174210206,3.2102293034159586,3.2388615365868794,2.783279161364062,0.19824284153517746
13,8477447,Shea Theodore,D,VGK,30,22.045765011977494,2.071186280832058,8.885873629919043,7.451189552865377,0.9011034345160257,2.575803823936276,2.6406395613274922,1.3460581225894768,0.7295303517060718,2.8706418280270776,1.9870059955531838,0.10606744571285932
14,8480069,Cale Makar,D,COL,27,25.603668497848716,5.394084808921714,8.909953578618378,7.444937340261778,0.9860048999705542,2.856534185409546,2.891255616443913,1.7397946204652783,1.2418784352947938,2.832614293653086,1.9878498798346402,0.13731804827344218
15,8480027,Jason Robertson,L,DAL,26,17.988219248809237,10.778305711042364,9.245580347572885,7.368949567512654,0.9856922231212021,2.4787256752572406,2.6711082123547065,0.9238558398595811,3.2450429227690973,3.5765528128697945,2.4622247881237946,0.16761042186728764
16,8479407,Jesper Bratt,L,NJD,27,18.844217436413476,8.84151655145856,11.532277594984457,7.323861016738131,0.9857804601174456,2.763132805359073,3.1230133949838033,0.6521044368718738,1.8185497706658234,3.590527983102853,2.6063922779674877,0.09033488325842794
17,8476468,J.T. Miller,C,NYR,32,18.64575170278289,8.360170097247515,10.277587844104302,7.232925334351139,0.9856288665487024,2.992769337863457,3.1742860024149824,0.6234075765592277,1.897675695472512,3.723651596970695,2.0959935840848756,0.14830551530212543
18,8481559,Jack Hughes,C,NJD,24,20.807175058587916,10.305347303064858,13.043435396225002,7.219669199578662,0.96817653938941,2.5421444396274846,2.834664888847165,0.9154436749032949,3.138934825497168,2.7004904826445344,1.9221057698279511,0.14033510038435232
19,8479323,Adam Fox,D,NYR,27,23.38490451216099,4.068574616321335,7.659030867785942,7.173945720193709,0.9859101683248275,2.719891031544383,2.9888563007261695,1.3500426425321599,1.0848284150046918,2.5334741801847915,2.1079709080885207,0.1064810076914401
20,8477956,David Pastrnak,R,BOS,29,20.124332811811307,14.312816500962041,12.05259843369161,7.111683668458141,0.9859553281893051,2.7410032360728196,2.7480184552727676,0.740596737775168,5.755793662252337,3.228169474381132,2.1966426494848164,0.21025957935502224
