,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,TOI,Points,ArtRoss,Rocket,Goals_90PI_low,Goals_90PI_high,Assists_90PI_low,Assists_90PI_high,Points_90PI_low,Points_90PI_high,P_10G,P_20G,P_30G,P_40G,P_50G,P_60G,P_25A,P_50A,P_75A,P_100A,P_50P,P_75P,P_100P,P_125P,P_150P
0,8478402,Connor McDavid,C,EDM,28,80.68318945874431,33.52171780041547,104.12315299562724,1815.918432031684,137.6448707960427,0.6454183266932271,0.01195219123505976,20.785419206001983,44.74469973171819,85.20378497679152,126.31488333066301,110.6978405762951,161.67455028931568,1.0,0.9641434262948207,0.6812749003984063,0.18326693227091634,0.0,0.0,1.0,1.0,0.9920318725099602,0.6055776892430279,1.0,1.0,0.9960159362549801,0.7888446215139442,0.18725099601593626
1,8476453,Nikita Kucherov,R,TBL,32,80.8934093343199,36.9321596197644,88.53771807449101,1731.0304652296056,125.46987769425542,0.17131474103585656,0.01593625498007968,27.68552089436703,46.79580888687099,70.44499187346493,103.48116907612226,103.44282683990215,142.79723968503325,1.0,0.9960159362549801,0.900398406374502,0.26294820717131473,0.02390438247011952,0.0,1.0,1.0,0.8804780876494024,0.11155378486055777,1.0,1.0,0.9641434262948207,0.43824701195219123,0.01195219123505976
2,8477492,Nathan MacKinnon,C,COL,30,80.90645058288543,38.020839120549965,80.96055706738649,1862.4981075978103,118.98139618793645,0.11155378486055777,0.02390438247011952,26.389186487560536,47.7452469449324,62.58737670629691,99.10591338308713,97.81688650915663,140.04345155675327,1.0,1.0,0.900398406374502,0.36254980079681276,0.03187250996015936,0.0,1.0,1.0,0.6852589641434262,0.05179282868525897,1.0,1.0,0.9163346613545816,0.2868525896414343,0.01195219123505976
3,8477934,Leon Draisaitl,C,EDM,30,80.87741898701996,44.87610758640684,70.65306013158046,1768.3749255266205,115.52916771798729,0.055776892430278883,0.22709163346613545,33.08834399126891,56.82328753973596,55.83072527061809,83.57055132247646,93.56867169590004,134.19845359544513,1.0,1.0,0.9840637450199203,0.749003984063745,0.26693227091633465,0.03187250996015936,1.0,0.9760956175298805,0.26294820717131473,0.0,1.0,0.9960159362549801,0.8764940239043825,0.1752988047808765,0.0
4,8477956,David Pastrnak,R,BOS,29,80.90451559876584,45.84048892633373,62.37219456343214,1651.4146259879458,108.21268348976587,0.00796812749003984,0.27091633466135456,31.730119773508974,57.268304961159316,47.86927916616105,75.69333208686473,87.10314007423688,125.75671664991764,1.0,1.0,0.9561752988047809,0.7569721115537849,0.2908366533864542,0.035856573705179286,1.0,0.9282868525896414,0.06374501992031872,0.0,1.0,1.0,0.6852589641434262,0.06374501992031872,0.0
5,8481559,Jack Hughes,C,NJD,24,79.48594661176334,33.035244189877126,65.50171395570213,1703.6501629617817,98.53695814557926,0.00398406374501992,0.0,22.927772792577436,42.63154220402201,50.9734289690071,79.49128099519663,77.61174909548109,114.78152388478853,1.0,0.9960159362549801,0.6613545816733067,0.12350597609561753,0.00796812749003984,0.0,1.0,0.9641434262948207,0.12749003984063745,0.0,1.0,0.9800796812749004,0.38645418326693226,0.01593625498007968,0.0
6,8478483,Mitch Marner,R,VGK,28,80.88752482846847,24.708335419419555,71.47391696631247,1755.4801760578619,96.18225238573203,0.0,0.0,15.917265389159489,32.270453247904896,55.80313755740792,85.66362112893722,78.47163522400975,113.22080354586501,1.0,0.8605577689243028,0.13147410358565736,0.0,0.0,0.0,1.0,0.9960159362549801,0.3346613545816733,0.00796812749003984,1.0,0.9800796812749004,0.29880478087649404,0.01593625498007968,0.0
7,8478403,Jack Eichel,C,VGK,29,80.20881329202427,31.367042470888272,61.290021856385216,1682.8307731303985,92.65706432727349,0.0,0.0,23.077814306443305,40.568634643370345,47.46972228214919,76.31697242708978,74.50849165404424,110.33658259407156,1.0,0.9960159362549801,0.6414342629482072,0.0796812749003984,0.0,0.0,1.0,0.9043824701195219,0.08366533864541832,0.0,1.0,0.9482071713147411,0.22709163346613545,0.00398406374501992,0.0
8,8478864,Kirill Kaprizov,L,MIN,28,75.14562495924,39.58182798602427,52.93165584268907,1814.3275094943854,92.51348382871333,0.00398406374501992,0.07171314741035857,26.919415222613246,52.05021776718725,39.51794190876974,66.41857303654864,73.33230410646476,112.13770782587025,1.0,0.9960159362549801,0.9123505976095617,0.41434262948207173,0.08366533864541832,0.00398406374501992,1.0,0.6693227091633466,0.00398406374501992,0.0,1.0,0.9322709163346613,0.2589641434262948,0.00796812749003984,0.0
9,8478420,Mikko Rantanen,R,DAL,29,80.86945286016088,34.463108393286035,57.46356869593289,1761.567007701454,91.92667708921893,0.0,0.00796812749003984,24.655150706909183,43.09256269038035,45.68042066330882,68.93505972328572,76.18529027027975,106.16633690629055,1.0,1.0,0.7529880478087649,0.1752988047808765,0.00796812749003984,0.0,1.0,0.8725099601593626,0.00398406374501992,0.0,1.0,0.9641434262948207,0.18326693227091634,0.0,0.0
10,8479318,Auston Matthews,C,TOR,28,80.73401065232139,41.84598655591814,49.66806462325057,1690.5588908023271,91.51405117916872,0.0,0.1593625498007968,26.47080472618437,55.307703371889644,37.491462326975,60.86241294953004,71.31225496364675,111.71949155768837,1.0,0.9920318725099602,0.900398406374502,0.5697211155378487,0.16733067729083664,0.0199203187250996,1.0,0.4541832669322709,0.0,0.0,1.0,0.9123505976095617,0.17928286852589642,0.00796812749003984,0.0
