,PlayerID,Player,Team,Position,Age,ATOI,GP,Gper1kChunk,A1per1kChunk,A2per1kChunk
0,8480069.0,Cale Makar,COL,D,27.0,1.7397946204652783,11.26007995842226,1.2418784352947938,2.832614293653086,1.9878498798346402
1,8474563.0,Drew Doughty,LAK,D,36.0,2.8810957666611974,14.17648856156134,1.0671228859094772,1.60953504252587,1.691523294706723
2,8480839.0,Rasmus Dahlin,BUF,D,25.0,1.1695688448663213,7.699769446680619,1.1255214668254487,1.857639542172083,1.4686332870185366
3,8480800.0,Quinn Hughes,VAN,D,26.0,1.7022422532301416,11.02539408263515,1.033672911745646,3.3426814671974765,2.283546422249304
4,8474578.0,Erik Karlsson,PIT,D,35.0,1.8928524073834578,15.978652224021591,0.8342478547125549,2.1587220940232243,2.263553026345062
5,8480036.0,Miro Heiskanen,DAL,D,26.0,1.4729217959478882,11.915550719366783,0.9661558378948695,1.7908555377564412,1.8470029760023527
6,8474600.0,Roman Josi,NSH,D,35.0,1.6710218148617502,12.71690380980751,1.312264794171331,1.9441649213546761,1.6406949990646233
7,8478038.0,Devon Toews,COL,D,31.0,0.9891223580183897,6.88990848921921,0.5608364942929168,1.1389367265208847,1.1151434795870432
8,8478469.0,Thomas Chabot,OTT,D,28.0,1.4440307892772415,6.406545780330827,0.7011550350246075,1.1580910694057767,0.977051828686505
9,8471724.0,Kris Letang,PIT,D,38.0,1.8338839849270399,8.733327935621526,0.7120962649417978,1.2107501071994158,1.09856662173778
10,8476875.0,Mike Matheson,MTL,D,31.0,2.1813761563722855,8.746263678864173,0.6468040249412195,1.5623199632033262,1.3356658675889894
11,8477495.0,Seth Jones,FLA,D,31.0,1.2089336815409943,4.918057918066742,0.6034460440116868,1.07003941721471,1.0660676394680697
12,8479323.0,Adam Fox,NYR,D,27.0,1.3500426425321599,8.731442630698089,1.0848284150046918,2.5334741801847915,2.1079709080885207
13,8477504.0,Josh Morrissey,WPG,D,30.0,0.8579286492464417,8.596102914644316,0.7454871224858864,2.408273463800871,1.778423655078475
14,8475764.0,Cam Fowler,STL,D,34.0,1.2541364641576762,6.396209003288749,0.6623041028662914,1.2720271964333438,1.0373820292075078
15,8477986.0,Brandon Montour,SEA,D,31.0,1.3413317038719828,9.782886525954735,1.1679012062748813,1.6238691583183682,1.3409030512567963
16,8478397.0,Rasmus Andersson,CGY,D,29.0,1.1772224756029517,4.659836141797364,0.5765119322406984,1.0902133335876565,1.0016759322629907
17,8474565.0,Alex Pietrangelo,VGK,D,35.0,1.3661324612315309,,,,
18,8479410.0,Mikhail Sergachev,UTA,D,27.0,2.097591876498922,9.579507460837682,0.7436002304409571,1.7153791856259304,1.4003593850820273
19,8482671.0,Owen Power,BUF,D,23.0,1.0381638799494664,5.576600385664637,0.6632074544964727,1.077407187296408,0.9834950121141963
20,8475167.0,Victor Hedman,TBL,D,35.0,1.6259894907126995,9.623720654374663,0.8249877742813162,1.9746165402251654,1.8592096720741207
21,8478407.0,Vince Dunn,SEA,D,29.0,1.1548795434451065,9.004401460268205,0.85707825250334,1.6598971775356666,1.3807544751893626
22,8476457.0,Adam Larsson,SEA,D,33.0,1.5631459821073523,6.803681244822118,0.46956016847124776,0.9126105133378514,0.8506500162491624
23,8478460.0,Zach Werenski,CBJ,D,28.0,2.439570405122562,15.647276898502035,1.4162480690428314,1.9384941811619614,1.552217903918451
24,8477498.0,Darnell Nurse,EDM,D,30.0,1.0867348054990875,5.927860453232707,0.7819473377210265,0.9842756148720471,0.9576257211269342
25,8478055.0,Gustav Forsling,FLA,D,29.0,1.3292376976323292,5.133793723964599,0.7951714922850915,0.9343158974920677,0.8656808549623631
26,8477932.0,Aaron Ekblad,FLA,D,29.0,1.222303514224019,7.27513280211168,0.9690756612971646,1.1779471190492283,1.2195063929542285
27,8474590.0,John Carlson,WSH,D,35.0,1.7807538271828998,8.387306041781807,0.9684325193123776,1.6259278930235679,1.2958382376182165
28,8475753.0,Justin Faulk,STL,D,33.0,1.264773744748971,7.094244597829206,0.6245406253645389,1.4166639151295701,1.0745803914655547
29,8470613.0,Brent Burns,COL,D,40.0,2.4184087074160567,13.538982022083355,1.0940589232586244,1.4132749170739656,1.1930600277987775
30,8476854.0,Hampus Lindholm,BOS,D,31.0,2.0404995717450922,16.93441730399375,1.0356768913241592,1.6034375185029859,1.3301803694350443
31,8481542.0,Moritz Seider,DET,D,24.0,1.4707844879578749,6.192400969719039,0.7495427936302158,1.3245859653188552,1.220021140798135
32,8478500.0,Ivan Provorov,CBJ,D,28.0,1.1380191055495956,4.635814056183996,0.44703828188412265,0.9376179129965092,0.92813579709873
33,8476892.0,Colton Parayko,STL,D,32.0,1.0789294227010207,5.516437942479362,1.030921191586259,0.9071934735609081,0.8813887689893056
34,8476463.0,Jonas Brodin,MIN,D,32.0,1.8626919859505184,7.102898774771401,0.4642387864718597,0.8634617133149288,1.250106091397379
35,8479345.0,Jakob Chychrun,WSH,D,27.0,1.1996980240273314,7.887079127015051,1.1326176932822354,1.224244897717393,1.2454144548780857
36,8478396.0,Noah Hanifin,VGK,D,28.0,0.9771024749969636,6.509753611180488,0.7496992457567557,1.4996394883987614,1.044751786280659
37,8475200.0,Dmitry Orlov,SJS,D,34.0,2.05489681871934,6.2041133333283405,0.5621868870784421,1.004508433889447,1.0272251800014303
38,8475233.0,David Savard,MTL,D,35.0,1.6403507372213841,,,,
39,8478402.0,Connor McDavid,EDM,C,28.0,0.9833987321347619,12.627769018721468,3.4295745035557146,6.496734947363473,3.174459875589605
