,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20142015/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,22,ryansuter,77,2237.2333333333,2,36,12,24,38,38.00,150,1.33,6.7,360,229,77,6,5,8,44,20,20,0,0,10,46,33,69,58,127,0,0,-
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20142015/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,8,drewdoughty,82,2377.6666666667,7,39,21,18,46,40.00,219,3.20,11.62,488,323,116,12,5,27,56,28,28,0,0,12,80,12,152,146,144,0,1,0.00
2,8474578,Erik Karlsson,OTT,D,https://assets.nhle.com/mugs/nhl/20142015/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,65,erikkarlsson,82,2234.9166666667,21,45,25,20,66,50.38,292,7.19,16.89,654,437,166,19,13,27,42,21,21,0,0,20,99,59,93,133,89,0,0,-
3,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20142015/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,81,2144.4166666667,15,40,22,18,55,50.93,201,7.46,8.97,390,256,104,13,5,25,26,13,13,0,0,17,45,25,53,131,209,0,1,0.00
4,8470642,Shea Weber,NSH,D,https://assets.nhle.com/mugs/nhl/20142015/NSH/8470642.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,6,sheaweber,78,2056.8,15,30,11,19,45,46.88,237,6.33,11.96,476,336,86,9,8,18,72,29,26,2,1,15,53,23,166,60,147,0,0,-
5,8474056,P.K. Subban,MTL,D,https://assets.nhle.com/mugs/nhl/20142015/MTL/8474056.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,76,pksubban,82,2148.6666666667,15,45,21,24,60,49.18,170,8.82,7.33,414,256,65,6,10,16,74,36,36,0,0,23,112,29,97,157,142,0,0,-
6,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20142015/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,2,duncankeith,80,2045.1166666667,10,35,19,16,45,42.86,171,5.85,10.25,405,242,99,14,6,15,20,10,10,0,0,3,63,43,16,126,113,0,0,-
7,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20142015/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,58,krisletang,69,1759.2833333333,11,43,20,23,54,51.43,197,5.58,12.08,382,256,105,32,5,24,79,30,27,1,2,20,60,39,131,147,117,0,1,0.00
8,8474565,Alex Pietrangelo,STL,D,https://assets.nhle.com/mugs/nhl/20142015/STL/8474565.png,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,7,alexpietrangelo,81,2058.1166666667,7,39,16,23,46,51.11,195,3.59,11.82,365,284,105,22,6,26,26,13,13,0,0,19,38,33,70,186,161,0,0,-
9,8475171,Oliver Ekman-Larsson,ARI,D,https://assets.nhle.com/mugs/nhl/20142015/ARI/8475171.png,https://assets.nhle.com/logos/nhl/svg/ARI_20142015-20202021_light.svg,95,oliverekmanlarsson,82,2067.45,23,20,13,7,43,47.78,264,8.71,16.29,571,391,148,29,15,34,38,19,19,0,0,17,46,30,167,174,77,0,0,-
