,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8478469,Thomas Chabot,OTT,D,https://assets.nhle.com/mugs/nhl/20192020/OTT/8478469.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,72,thomaschabot,71.0,1846.2666666667,6.0,33.0,17.0,16.0,39.0,45.35,186.0,3.23,8.98,418.0,264.0,111.0,20.0,6.0,23.0,42.0,21.0,21.0,0.0,0.0,11.0,87.0,42.0,79.0,132.0,85.0,0.0,0.0,-
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20192020/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,8,drewdoughty,67.0,1730.1833333333,7.0,28.0,12.0,16.0,35.0,47.95,141.0,4.96,8.7,301.0,202.0,74.0,16.0,5.0,23.0,36.0,18.0,18.0,0.0,0.0,9.0,82.0,15.0,106.0,97.0,87.0,0.0,0.0,-
2,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20192020/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,69.0,1778.75,16.0,49.0,28.0,21.0,65.0,58.04,260.0,6.15,14.25,525.0,355.0,171.0,18.0,6.0,31.0,41.0,19.0,18.0,1.0,0.0,16.0,68.0,34.0,52.0,107.0,108.0,0.0,0.0,-
3,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20192020/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,58,krisletang,61.0,1569.25,15.0,29.0,14.0,15.0,44.0,44.90,177.0,8.47,10.56,340.0,235.0,84.0,10.0,6.0,28.0,38.0,19.0,19.0,0.0,0.0,10.0,80.0,31.0,101.0,123.0,91.0,0.0,0.0,-
4,8476472,Oscar Klefbom,EDM,D,https://assets.nhle.com/mugs/nhl/20192020/EDM/8476472.png,https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg,77,oscarklefbom,62.0,1575.5,5.0,29.0,9.0,20.0,34.0,33.66,159.0,3.14,6.33,314.0,221.0,63.0,10.0,2.0,11.0,24.0,11.0,11.0,0.0,0.0,7.0,58.0,36.0,45.0,132.0,180.0,0.0,0.0,-
5,8470613,Brent Burns,SJS,D,https://assets.nhle.com/mugs/nhl/20192020/SJS/8470613.png,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,8,brentburns,70.0,1777.3333333333,12.0,33.0,17.0,16.0,45.0,50.56,225.0,5.33,12.23,517.0,324.0,125.0,26.0,4.0,43.0,34.0,17.0,17.0,0.0,0.0,8.0,76.0,49.0,72.0,39.0,115.0,0.0,0.0,-
6,8477495,Seth Jones,CBJ,D,https://assets.nhle.com/mugs/nhl/20192020/CBJ/8477495.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,3,sethjones,56.0,1415.6833333333,6.0,24.0,13.0,11.0,30.0,44.12,126.0,4.76,5.91,244.0,169.0,57.0,10.0,7.0,11.0,20.0,10.0,10.0,0.0,0.0,4.0,37.0,29.0,62.0,92.0,123.0,0.0,0.0,-
7,8478500,Ivan Provorov,PHI,D,https://assets.nhle.com/mugs/nhl/20192020/PHI/8478500.png,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,9,ivanprovorov,69.0,1714.15,13.0,23.0,13.0,10.0,36.0,34.62,150.0,8.67,7.58,275.0,191.0,65.0,16.0,6.0,22.0,24.0,12.0,12.0,0.0,0.0,14.0,67.0,16.0,84.0,117.0,111.0,0.0,0.0,-
8,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20192020/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,22,ryansuter,69.0,1700.15,8.0,40.0,18.0,22.0,48.0,47.06,111.0,7.21,6.0,253.0,158.0,65.0,7.0,2.0,20.0,12.0,6.0,6.0,0.0,0.0,5.0,27.0,19.0,48.0,28.0,93.0,0.0,0.0,-
9,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20192020/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,74,johncarlson,69.0,1699.6833333333,15.0,60.0,38.0,22.0,75.0,60.98,189.0,7.94,11.37,369.0,272.0,95.0,16.0,4.0,27.0,26.0,13.0,13.0,0.0,0.0,8.0,80.0,42.0,55.0,58.0,108.0,0.0,1.0,0.00
