,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8466285,Brian Campbell,FLA,D,https://assets.nhle.com/mugs/nhl/20112012/FLA/8466285.png,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,51,briancampbell,82,2205.5166666667,4,49,23,26,53,52.48,131,3.05,7.16,274,187,80,6,3,16,6,3,3,0,0,14,46,29,46,165,118,0,0,-
1,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20112012/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,2,duncankeith,74,1990.2,4,36,17,19,40,35.09,162,2.47,7.44,378,252,82,9,7,10,42,17,16,0,1,10,50,48,45,113,121,0,0,-
2,8470600,Ryan Suter,NSH,D,https://assets.nhle.com/mugs/nhl/20112012/NSH/8470600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,22,ryansuter,79,2093.9166666667,7,39,20,19,46,38.98,134,5.22,8.48,242,180,77,15,3,12,30,15,15,0,0,4,42,37,46,37,116,0,1,0.00
3,8471958,Dan Girardi,NYR,D,https://assets.nhle.com/mugs/nhl/20112012/NYR/8471958.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,5,dangirardi,82,2152.2666666667,5,24,10,14,29,33.72,122,4.10,6.0,245,170,64,6,3,14,20,10,10,0,0,9,61,37,211,189,185,0,0,-
4,8470642,Shea Weber,NSH,D,https://assets.nhle.com/mugs/nhl/20112012/NSH/8470642.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,6,sheaweber,78,2040.5666666667,19,30,19,11,49,39.84,230,8.26,13.5,434,335,83,10,10,22,46,23,23,0,0,10,46,51,177,63,140,0,0,-
5,8470151,Jay Bouwmeester,CGY,D,https://assets.nhle.com/mugs/nhl/20112012/CGY/8470151.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,19,jaybouwmeester,82,2128.5166666667,5,24,13,11,29,39.19,107,4.67,6.11,240,164,65,9,0,11,26,12,12,0,0,14,60,25,69,105,118,0,0,-
6,8467096,Dan Boyle,SJS,D,https://assets.nhle.com/mugs/nhl/20112012/SJS/8467096.png,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,22,danboyle,81,2071.5,9,39,13,26,48,39.67,252,3.57,15.82,520,350,132,23,6,24,57,19,16,1,2,15,66,21,58,92,137,0,0,-
7,8467400,Francois Beauchemin,ANA,D,https://assets.nhle.com/mugs/nhl/20112012/ANA/8467400.png,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,23,francoisbeauchemin,82,2095.3833333333,8,14,7,7,22,29.33,139,5.76,6.53,285,198,55,13,5,7,48,17,14,2,1,14,47,30,154,110,194,1,1,50.00
8,8474578,Erik Karlsson,OTT,D,https://assets.nhle.com/mugs/nhl/20112012/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,65,erikkarlsson,81,2050.6666666667,19,59,36,23,78,57.78,261,7.28,13.97,594,372,143,19,7,37,42,21,21,0,0,18,84,67,60,103,65,0,1,0.00
9,8470602,Dion Phaneuf,TOR,D,https://assets.nhle.com/mugs/nhl/20112012/TOR/8470602.png,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,3,dionphaneuf,82,2073.7166666667,12,32,14,18,44,44.00,202,5.94,10.06,424,293,91,8,7,15,92,36,31,4,1,33,76,30,214,117,127,0,0,-
10,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20112012/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,33,zdenochara,79,1975.4,12,40,20,20,52,45.22,224,5.36,9.87,461,310,94,10,12,30,86,33,28,4,1,21,68,28,166,109,87,0,1,0.00
11,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20112012/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,8,drewdoughty,77,1916.6833333333,10,26,15,11,36,48.00,168,5.95,11.6,356,247,99,23,6,23,69,29,27,1,1,21,65,26,124,123,70,0,0,-
12,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20112012/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,58,krisletang,51,1266.7666666667,10,32,16,16,42,41.58,142,7.04,8.03,264,186,75,11,4,20,34,17,17,0,0,21,34,28,83,114,86,0,0,-
13,8470222,James Wisniewski,CBJ,D,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8470222.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,21,jameswisniewski,48,1190.2833333333,6,21,10,11,27,54.00,99,6.06,6.48,215,154,49,7,1,8,37,17,16,1,0,15,22,15,50,59,74,0,1,0.00
