,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,8,zachwerenski,81.0,2166.3666666667,23.0,59.0,32.0,27.0,82.0,61.19,298.0,7.72,20.11,638.0,434.0,223.0,53.0,27.0,51.0,31.0,14.0,13.0,1.0,0.0,15.0,120.0,49.0,19.0,133.0,131.0,0.0,0.0,-
1,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20242025/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,43,quinnhughes,68.0,1749.5833333333,16.0,60.0,34.0,26.0,76.0,62.30,193.0,8.29,10.12,493.0,304.0,144.0,12.0,7.0,37.0,29.0,9.0,7.0,1.0,1.0,16.0,97.0,25.0,13.0,81.0,67.0,0.0,0.0,-
2,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20242025/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,calemakar,80.0,2057.3,30.0,62.0,34.0,28.0,92.0,61.33,246.0,12.20,19.22,623.0,392.0,253.0,45.0,14.0,53.0,14.0,7.0,7.0,0.0,0.0,26.0,113.0,60.0,51.0,45.0,128.0,0.0,0.0,-
3,8482122,Brock Faber,MIN,D,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482122.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,7,brockfaber,78.0,1990.95,10.0,19.0,6.0,13.0,29.0,33.33,124.0,8.06,5.94,298.0,188.0,96.0,18.0,7.0,28.0,23.0,10.0,9.0,1.0,0.0,10.0,109.0,29.0,35.0,97.0,115.0,0.0,0.0,-
4,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,4,miroheiskanen,50.0,1258.0166666667,5.0,20.0,5.0,15.0,25.0,35.71,108.0,4.63,8.62,287.0,164.0,92.0,16.0,6.0,23.0,10.0,5.0,5.0,0.0,0.0,9.0,67.0,28.0,17.0,103.0,85.0,0.0,0.0,-
5,8479410,Mikhail Sergachev,UTA,D,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479410.png,https://assets.nhle.com/logos/nhl/svg/UTA_20242025-20242025_light.svg,98,mikhailsergachev,77.0,1934.0,15.0,38.0,22.0,16.0,53.0,43.44,132.0,11.36,8.07,367.0,224.0,97.0,7.0,13.0,28.0,32.0,16.0,16.0,0.0,0.0,6.0,126.0,32.0,61.0,87.0,140.0,0.0,0.0,-
6,8476875,Mike Matheson,MTL,D,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476875.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,8,michaelmatheson,80.0,2006.45,6.0,25.0,16.0,9.0,31.0,31.63,149.0,4.03,9.29,366.0,217.0,90.0,17.0,17.0,20.0,51.0,20.0,18.0,1.0,1.0,14.0,107.0,43.0,59.0,106.0,168.0,0.0,0.0,-
7,8481542,Moritz Seider,DET,D,https://assets.nhle.com/mugs/nhl/20242025/DET/8481542.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,53,moritzseider,82.0,2055.9166666667,8.0,38.0,14.0,24.0,46.0,38.66,162.0,4.94,10.44,368.0,256.0,93.0,16.0,12.0,24.0,40.0,20.0,20.0,0.0,0.0,21.0,85.0,30.0,210.0,113.0,181.0,0.0,0.0,-
8,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20242025/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,53.0,1326.7166666667,9.0,29.0,19.0,10.0,38.0,51.35,150.0,6.00,11.41,368.0,234.0,121.0,27.0,10.0,24.0,18.0,9.0,9.0,0.0,0.0,8.0,75.0,23.0,42.0,57.0,95.0,0.0,0.0,-
9,8477495,Seth Jones,FLA,D,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477495.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,3,sethjones,63.0,1552.4166666667,9.0,27.0,17.0,10.0,36.0,43.37,129.0,6.98,6.95,305.0,191.0,87.0,10.0,7.0,24.0,22.0,11.0,11.0,0.0,0.0,5.0,82.0,26.0,96.0,101.0,109.0,0.0,0.0,-
10,8478038,Devon Toews,COL,D,https://assets.nhle.com/mugs/nhl/20242025/COL/8478038.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,7,devontoews,76.0,1868.8,10.0,34.0,14.0,20.0,44.0,41.12,138.0,7.25,8.09,342.0,216.0,103.0,20.0,12.0,23.0,26.0,12.0,12.0,0.0,0.0,11.0,81.0,35.0,40.0,50.0,103.0,0.0,0.0,-
11,8477948,Travis Sanheim,PHI,D,https://assets.nhle.com/mugs/nhl/20242025/PHI/8477948.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,6,travissanheim,82.0,2008.6166666667,8.0,22.0,9.0,13.0,30.0,31.25,139.0,5.76,10.21,306.0,213.0,121.0,27.0,12.0,24.0,40.0,20.0,20.0,0.0,0.0,18.0,127.0,51.0,84.0,160.0,170.0,0.0,0.0,-
12,8482105,Jake Sanderson,OTT,D,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482105.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,85,jakesanderson,80.0,1955.3666666667,11.0,46.0,20.0,26.0,57.0,54.29,195.0,5.64,9.16,421.0,275.0,113.0,10.0,18.0,24.0,12.0,6.0,6.0,0.0,0.0,8.0,98.0,53.0,38.0,195.0,163.0,0.0,0.0,-
13,8477504,Josh Morrissey,WPG,D,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477504.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,44,joshmorrissey,80.0,1951.3,14.0,48.0,19.0,29.0,62.0,49.60,172.0,8.14,9.08,433.0,272.0,95.0,10.0,7.0,27.0,22.0,11.0,11.0,0.0,0.0,11.0,78.0,32.0,49.0,95.0,113.0,0.0,0.0,-
14,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,rasmusdahlin,73.0,1769.2,17.0,51.0,27.0,24.0,68.0,58.62,200.0,8.50,11.23,433.0,277.0,134.0,28.0,15.0,42.0,54.0,27.0,27.0,0.0,0.0,26.0,105.0,39.0,100.0,147.0,98.0,0.0,0.0,-
15,8477346,MacKenzie Weegar,CGY,D,https://assets.nhle.com/mugs/nhl/20242025/CGY/8477346.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,52,mackenzieweegar,81.0,1957.3166666667,8.0,39.0,15.0,24.0,47.0,42.34,184.0,4.35,9.49,474.0,279.0,127.0,14.0,16.0,35.0,33.0,15.0,14.0,1.0,0.0,14.0,159.0,52.0,221.0,174.0,192.0,0.0,1.0,0.00
16,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20242025/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,8,drewdoughty,30.0,724.1,4.0,13.0,3.0,10.0,17.0,41.46,46.0,8.70,3.3,115.0,66.0,41.0,6.0,7.0,9.0,20.0,10.0,10.0,0.0,0.0,0.0,48.0,7.0,26.0,43.0,45.0,0.0,0.0,-
17,8478397,Rasmus Andersson,CGY,D,https://assets.nhle.com/mugs/nhl/20242025/CGY/8478397.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,4,rasmusandersson,81.0,1942.8,11.0,20.0,7.0,13.0,31.0,43.06,163.0,6.75,8.0,378.0,258.0,113.0,21.0,7.0,32.0,60.0,26.0,25.0,0.0,1.0,20.0,107.0,30.0,36.0,114.0,196.0,0.0,0.0,-
18,8479425,Filip Hronek,VAN,D,https://assets.nhle.com/mugs/nhl/20242025/VAN/8479425.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,17,filiphronek,61.0,1457.55,5.0,28.0,12.0,16.0,33.0,44.00,83.0,6.02,4.97,240.0,154.0,61.0,8.0,2.0,18.0,40.0,16.0,15.0,0.0,1.0,5.0,74.0,14.0,89.0,99.0,75.0,1.0,0.0,100.00
