,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8470834,Dustin Byfuglien,WPG,D,https://assets.nhle.com/mugs/nhl/20162017/WPG/8470834.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,33,dustinbyfuglien,80,2195.5666666667,13,39,20,19,52,42.98,241,5.39,15.39,452,342,130,52,12,22,115,44,39,3,2,19,85,65,183,61,124,0,0,-
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20162017/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,8,drewdoughty,82,2225.8333333333,12,32,16,16,44,44.44,181,6.63,10.36,365,245,97,14,1,24,46,23,23,0,0,15,86,24,129,130,109,1,0,100.00
2,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20162017/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,22,ryansuter,82,2207.8166666667,9,31,10,21,40,31.75,164,5.49,8.75,332,226,87,17,7,20,34,17,17,0,0,5,38,41,72,45,105,0,0,-
3,8474578,Erik Karlsson,OTT,D,https://assets.nhle.com/mugs/nhl/20162017/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,65,erikkarlsson,77,2066.4833333333,17,54,25,29,71,63.39,218,7.80,13.3,506,337,124,23,10,38,28,14,14,0,0,22,106,59,67,84,201,0,0,-
4,8477499,Rasmus Ristolainen,BUF,D,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477499.png,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,55,rasmusristolainen,79,2090.9666666667,6,39,17,22,45,42.06,186,3.23,9.82,359,247,91,20,9,24,58,18,14,2,2,13,59,25,195,135,161,0,0,-
5,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20162017/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,2,duncankeith,80,2049.3333333333,6,47,19,28,53,47.32,183,3.28,7.71,384,243,73,5,1,16,16,8,8,0,0,1,73,32,24,81,107,0,0,-
6,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20162017/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,58,krisletang,41,1046.2333333333,5,29,9,20,34,53.13,122,4.10,6.66,227,163,60,15,2,12,32,16,16,0,0,14,43,30,70,94,70,0,0,-
7,8474565,Alex Pietrangelo,STL,D,https://assets.nhle.com/mugs/nhl/20162017/STL/8474565.png,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,7,alexpietrangelo,80,2022.55,14,34,17,17,48,44.86,181,7.73,9.41,335,240,82,14,7,12,24,12,12,0,0,7,27,53,38,130,158,0,1,0.00
8,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20162017/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,72,1805.3833333333,12,37,20,17,49,45.79,218,5.50,11.4,410,286,110,18,6,23,18,9,9,0,0,15,41,16,54,88,119,0,0,-
9,8470642,Shea Weber,MTL,D,https://assets.nhle.com/mugs/nhl/20162017/MTL/8470642.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,6,sheaweber,78,1954.7666666667,17,25,9,16,42,47.19,183,9.29,7.82,425,284,64,3,7,17,38,19,19,0,0,6,80,11,140,94,157,0,0,-
