,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20232024/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,74,johncarlson,82.0,2123.1166666667,10.0,42.0,16.0,26.0,52.0,46.85,176.0,5.68,12.36,439.0,274.0,144.0,27.0,10.0,50.0,40.0,16.0,15.0,0.0,1.0,16.0,82.0,58.0,69.0,103.0,194.0,0.0,0.0,-
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,8,drewdoughty,82.0,2115.0666666667,15.0,35.0,14.0,21.0,50.0,43.86,135.0,11.11,8.3,306.0,184.0,84.0,12.0,7.0,27.0,44.0,22.0,22.0,0.0,0.0,13.0,45.0,20.0,109.0,132.0,142.0,0.0,0.0,-
2,8476875,Mike Matheson,MTL,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476875.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,8,michaelmatheson,82.0,2095.3333333333,11.0,51.0,24.0,27.0,62.0,57.94,187.0,5.88,10.1,403.0,252.0,115.0,23.0,6.0,30.0,58.0,29.0,29.0,0.0,0.0,23.0,76.0,49.0,61.0,129.0,186.0,0.0,0.0,-
3,8477495,Seth Jones,CHI,D,https://assets.nhle.com/mugs/nhl/20232024/CHI/8477495.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,3,sethjones,67.0,1707.45,8.0,23.0,12.0,11.0,31.0,39.24,172.0,4.65,9.25,377.0,238.0,110.0,12.0,10.0,37.0,34.0,17.0,17.0,0.0,0.0,7.0,60.0,40.0,78.0,91.0,131.0,0.0,0.0,-
4,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,rasmusdahlin,81.0,2059.2166666667,20.0,39.0,24.0,15.0,59.0,53.15,235.0,8.51,14.61,474.0,326.0,139.0,20.0,9.0,38.0,66.0,29.0,28.0,0.0,1.0,27.0,44.0,42.0,195.0,175.0,154.0,0.0,0.0,-
5,8482122,Brock Faber,MIN,D,https://assets.nhle.com/mugs/nhl/20232024/MIN/8482122.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,7,brockfaber,82.0,2047.8833333333,8.0,39.0,18.0,21.0,47.0,42.34,136.0,5.88,7.44,293.0,186.0,88.0,15.0,3.0,23.0,26.0,13.0,13.0,0.0,0.0,6.0,35.0,15.0,65.0,142.0,150.0,0.0,0.0,-
6,8479325,Charlie McAvoy,BOS,D,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479325.png,https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg,73,charliemcavoy,74.0,1838.6,12.0,35.0,16.0,19.0,47.0,43.93,133.0,9.02,9.19,288.0,198.0,114.0,23.0,6.0,25.0,76.0,31.0,28.0,2.0,1.0,32.0,57.0,29.0,159.0,191.0,159.0,0.0,0.0,-
7,8475167,Victor Hedman,TBL,D,https://assets.nhle.com/mugs/nhl/20232024/TBL/8475167.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,77,victorhedman,78.0,1934.7333333333,13.0,63.0,32.0,31.0,76.0,50.33,168.0,7.74,12.44,403.0,268.0,133.0,20.0,6.0,34.0,76.0,26.0,23.0,0.0,3.0,9.0,54.0,29.0,65.0,70.0,102.0,0.0,0.0,-
8,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20232024/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,calemakar,77.0,1907.2666666667,21.0,69.0,28.0,41.0,90.0,59.60,231.0,9.09,15.59,539.0,352.0,178.0,23.0,13.0,38.0,16.0,8.0,8.0,0.0,0.0,25.0,42.0,70.0,37.0,30.0,148.0,0.0,0.0,-
9,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20232024/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,58,krisletang,82.0,2024.45,10.0,41.0,18.0,23.0,51.0,46.79,164.0,6.10,7.94,416.0,239.0,102.0,15.0,6.0,34.0,62.0,27.0,26.0,0.0,1.0,15.0,64.0,47.0,137.0,131.0,136.0,0.0,0.0,-
