,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,5001:59,31,37,14,27,76,0.463,4399,4893,47.34,3326,3771,46.86,2395,2722,46.8,228,266,46.15,217.19,256.93,45.81,2164,2463,46.77,1302,1520,46.14,180,205,46.75,13.82,86.51,872,1003,46.51,669,733,47.72,127,132,49.03,18.98,81.99,1292,1460,46.95,633,787,44.58,53,73,42.06,8.37,90.72,1954,2159,47.51,941,1072,46.75,41,54,43.16,4.36,94.96,9.52,90.23,0.997
1,Arizona Coyotes,82,4969:26,25,50,7,24,57,0.348,3905,5121,43.26,2969,3972,42.77,2121,2903,42.22,206,308,40.08,199.6,268.09,42.68,1926,2591,42.64,1181,1581,42.76,169,246,40.72,14.31,84.44,819,1101,42.66,589,805,42.25,108,151,41.7,18.34,81.24,1107,1490,42.63,592,776,43.27,61,95,39.1,10.3,87.76,1756,2285,43.45,850,1199,41.48,33,56,37.08,3.88,95.33,9.71,89.39,0.991
2,Boston Bruins,82,4959:37,51,26,5,49,107,0.652,4897,4272,53.41,3896,3255,54.48,2963,2356,55.71,253,218,53.72,250.65,206.76,54.8,2434,2044,54.35,1566,1177,57.09,211,175,54.66,13.47,85.13,937,781,54.54,733,580,55.83,130,116,52.85,17.74,80.0,1497,1263,54.24,833,597,58.25,81,59,57.86,9.72,90.12,2270,2021,52.9,1245,1045,54.37,41,36,53.25,3.29,96.56,8.54,90.75,0.993
3,Buffalo Sabres,82,4974:19,32,39,11,29,75,0.457,4238,4534,48.31,3280,3637,47.42,2453,2703,47.58,229,287,44.38,204.91,245.28,45.52,2025,2291,46.92,1235,1466,45.72,176,236,42.72,14.25,83.9,809,1017,44.3,602,767,43.97,104,149,41.11,17.28,80.57,1216,1274,48.84,633,699,47.52,72,87,45.28,11.37,87.55,1966,2042,49.05,1101,1118,49.62,45,42,51.72,4.09,96.24,9.34,89.38,0.987
4,Carolina Hurricanes,82,4969:22,54,20,8,53,116,0.707,5117,4059,55.77,3974,3201,55.39,2798,2310,54.78,277,200,58.07,284.06,228.27,55.44,2519,2079,54.78,1456,1273,53.35,233,171,57.67,16.0,86.57,1128,928,54.86,775,683,53.16,158,124,56.03,20.39,81.84,1391,1151,54.72,681,590,53.58,75,47,61.48,11.01,92.03,2325,1727,57.38,1219,911,57.23,37,26,58.73,3.04,97.15,9.9,91.34,1.012
5,Columbus Blue Jackets,82,4971:55,37,38,7,33,81,0.494,4554,4915,48.09,3441,3842,47.25,2464,2889,46.03,258,297,46.49,224.52,264.31,45.93,2179,2544,46.14,1288,1639,44.0,205,244,45.66,15.92,85.11,807,1054,43.36,604,813,42.63,125,153,44.96,20.7,81.18,1372,1490,47.94,684,826,45.3,80,91,46.78,11.7,88.98,2094,2145,49.4,1022,1133,47.42,44,50,46.81,4.31,95.59,10.47,89.72,1.002
6,Calgary Flames,82,4966:13,50,21,11,48,111,0.677,5228,4233,55.26,4022,3277,55.1,2909,2375,55.05,291,206,58.55,273.17,213.12,56.17,2625,2075,55.85,1621,1261,56.25,238,174,57.77,14.68,86.2,1019,793,56.24,764,591,56.38,142,100,58.68,18.59,83.08,1606,1282,55.61,857,670,56.12,96,74,56.47,11.2,88.96,2359,1963,54.58,1143,972,54.04,42,25,62.69,3.67,97.43,10.0,91.33,1.013
7,Chicago Blackhawks,82,4996:18,28,42,12,22,68,0.415,4267,4921,46.44,3132,3621,46.38,2362,2703,46.63,213,289,42.43,205.28,242.12,45.88,2093,2420,46.38,1293,1452,47.1,178,229,43.73,13.77,84.23,774,871,47.05,594,661,47.33,111,138,44.58,18.69,79.12,1319,1549,45.99,699,791,46.91,67,91,42.41,9.59,88.5,1946,2253,46.34,970,1147,45.82,33,49,40.24,3.4,95.73,9.02,89.31,0.983
8,Colorado Avalanche,82,4967:37,56,19,7,52,119,0.726,5159,4593,52.9,3820,3509,52.12,2874,2627,52.25,308,232,57.04,259.97,233.75,52.66,2580,2196,54.02,1569,1365,53.48,238,182,56.67,15.17,86.67,962,998,49.08,714,731,49.41,141,126,52.81,19.75,82.76,1618,1198,57.46,855,634,57.42,97,56,63.4,11.35,91.17,2297,2085,52.42,1157,1117,50.88,61,41,59.8,5.27,96.33,10.72,91.17,1.019
9,Dallas Stars,82,4990:44,46,30,6,41,98,0.598,4633,4695,49.67,3483,3525,49.7,2486,2546,49.4,233,244,48.85,248.6,225.85,52.4,2438,2229,52.24,1423,1361,51.11,198,187,51.43,13.91,86.26,1061,884,54.55,753,650,53.67,150,109,57.92,19.92,83.23,1377,1345,50.59,670,711,48.52,48,78,38.1,7.16,89.03,1902,2104,47.48,912,1036,46.82,24,48,33.33,2.63,95.37,9.37,90.42,0.998
