,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
10,Detroit Red Wings,82,4982:05,32,40,10,29,74,0.451,4200,4809,46.62,3194,3718,46.21,2415,2762,46.65,227,310,42.27,224.27,265.39,45.8,2130,2557,45.44,1307,1574,45.37,183,246,42.66,14.0,84.37,875,1090,44.53,666,800,45.43,109,154,41.44,16.37,80.75,1255,1467,46.11,641,774,45.3,74,92,44.58,11.54,88.11,1839,2088,46.83,972,1074,47.51,39,47,45.35,4.01,95.62,9.4,88.78,0.982
11,Edmonton Oilers,82,4979:13,49,27,6,44,104,0.634,4961,4571,52.05,3764,3553,51.44,2791,2647,51.32,285,251,53.17,273.64,241.95,53.07,2476,2397,50.81,1520,1463,50.96,234,196,54.42,15.39,86.6,1075,950,53.09,802,703,53.29,159,126,55.79,19.83,82.08,1401,1447,49.19,718,760,48.58,75,70,51.72,10.45,90.79,2224,1962,53.13,1148,1051,52.21,48,49,49.48,4.18,95.34,10.21,90.52,1.007
12,Florida Panthers,82,4984:13,58,18,6,55,122,0.744,5374,4300,55.55,4051,3305,55.07,3062,2515,54.9,337,242,58.2,298.19,239.02,55.51,2893,2261,56.13,1822,1443,55.8,279,203,57.88,15.31,85.93,1190,1006,54.19,925,765,54.73,187,135,58.07,20.22,82.35,1703,1255,57.57,897,678,56.95,92,68,57.5,10.26,89.97,2190,1790,55.03,1101,924,54.37,51,33,60.71,4.63,96.43,11.01,90.38,1.014
13,Los Angeles Kings,82,4992:13,44,27,11,40,99,0.604,5087,4334,54.0,3930,3243,54.79,2866,2343,55.02,235,232,50.32,267.2,235.65,53.14,2556,2304,52.59,1518,1351,52.91,183,195,48.41,12.06,85.57,1047,983,51.58,750,723,50.92,130,128,50.39,17.33,82.3,1509,1321,53.32,768,628,55.01,53,67,44.17,6.9,89.33,2783,2166,56.23,1219,868,58.41,40,32,55.56,3.28,96.31,8.2,90.1,0.983
14,Minnesota Wild,82,4996:24,53,22,7,48,113,0.689,4730,4632,50.52,3588,3517,50.5,2669,2577,50.88,305,249,55.05,234.75,226.81,50.86,2359,2108,52.81,1469,1310,52.86,245,189,56.45,16.68,85.57,904,810,52.74,694,603,53.51,146,125,53.87,21.04,79.27,1455,1298,52.85,775,707,52.29,99,64,60.74,12.77,90.95,2116,2210,48.91,1083,1130,48.94,53,49,51.96,4.89,95.66,11.43,90.34,1.018
15,Montreal Canadiens,82,4972:13,22,49,11,19,55,0.335,4339,4989,46.52,3232,3805,45.93,2443,2824,46.38,218,317,40.75,218.4,272.71,44.47,2147,2651,44.75,1273,1612,44.12,176,262,40.18,13.83,83.75,892,1100,44.78,640,814,44.02,102,175,36.82,15.94,78.5,1255,1551,44.73,633,798,44.23,74,87,45.96,11.69,89.1,1900,2065,47.92,1026,1076,48.81,38,45,45.78,3.7,95.82,8.92,88.77,0.977
16,New Jersey Devils,82,4978:32,27,46,9,24,63,0.384,4718,4541,50.96,3576,3520,50.39,2562,2540,50.22,245,302,44.79,232.78,236.18,49.64,2458,2307,51.58,1442,1368,51.32,209,245,46.04,14.49,82.09,946,839,53.0,688,627,52.32,138,150,47.92,20.06,76.08,1512,1468,50.74,754,741,50.43,71,95,42.77,9.42,87.18,2362,2311,50.55,1021,1041,49.52,31,51,37.8,3.04,95.1,9.56,88.11,0.977
17,Nashville Predators,82,4977:21,45,30,7,41,97,0.591,4503,4779,48.51,3457,3619,48.86,2440,2647,47.97,262,250,51.17,230.35,242.86,48.68,2251,2392,48.48,1355,1493,47.58,216,198,52.17,15.94,86.74,844,850,49.82,629,651,49.14,145,118,55.13,23.05,81.87,1407,1542,47.71,726,842,46.3,71,80,47.02,9.78,90.5,2058,2164,48.74,981,1050,48.3,38,43,46.91,3.87,95.9,10.74,90.56,1.013
18,New York Islanders,82,4970:13,37,35,10,35,84,0.512,4245,4872,46.56,3211,3637,46.89,2368,2670,47.0,229,231,49.78,224.76,243.98,47.95,2264,2595,46.59,1357,1513,47.28,182,184,49.73,13.41,87.84,928,985,48.51,703,745,48.55,121,120,50.21,17.21,83.89,1336,1610,45.35,654,768,45.99,61,64,48.8,9.33,91.67,1776,2085,46.0,894,1052,45.94,37,35,51.39,4.14,96.67,9.67,91.35,1.01
19,New York Rangers,82,4970:45,52,24,6,48,110,0.671,4273,4677,47.74,3287,3510,48.36,2392,2528,48.62,250,204,55.07,233.76,232.68,50.12,2178,2435,47.21,1298,1402,48.07,205,167,55.11,15.79,88.09,965,988,49.41,711,721,49.65,145,112,56.42,20.39,84.47,1213,1447,45.6,587,681,46.29,60,55,52.17,10.22,91.92,1911,2052,48.22,988,1011,49.42,38,35,52.05,3.85,96.54,10.45,91.93,1.024
20,Ottawa Senators,82,4967:02,33,42,7,30,73,0.445,4498,4920,47.76,3411,3722,47.82,2465,2740,47.36,224,264,45.9,233.92,261.47,47.22,2295,2515,47.71,1355,1530,46.97,178,224,44.28,13.14,85.36,965,1000,49.11,690,746,48.05,120,137,46.69,17.39,81.64,1330,1515,46.75,665,784,45.89,58,87,40.0,8.72,88.9,1953,2138,47.74,978,1075,47.64,37,35,51.39,3.78,96.74,9.09,90.36,0.995
21,Philadelphia Flyers,82,4968:44,25,46,11,24,61,0.372,4499,5009,47.32,3403,3775,47.41,2540,2786,47.69,210,294,41.67,224.0,265.92,45.72,2084,2509,45.37,1289,1533,45.68,171,229,42.75,13.27,85.06,895,1007,47.06,670,754,47.05,119,143,45.42,17.76,81.03,1189,1502,44.18,619,779,44.28,52,86,37.68,8.4,88.96,2070,2236,48.07,1074,1111,49.15,36,56,39.13,3.35,94.96,8.27,89.45,0.977
22,Pittsburgh Penguins,82,4992:38,46,25,11,43,103,0.628,4902,4522,52.02,3810,3428,52.64,2850,2577,52.52,269,222,54.79,263.99,228.66,53.59,2569,2214,53.71,1640,1387,54.18,225,187,54.61,13.72,86.52,1054,874,54.67,841,684,55.15,151,129,53.93,17.95,81.14,1515,1340,53.06,799,703,53.2,74,58,56.06,9.26,91.75,2088,2092,49.95,1064,1067,49.93,34,31,52.31,3.2,97.09,9.44,91.39,1.008
23,San Jose Sharks,82,4975:39,32,37,13,29,77,0.47,4345,5062,46.19,3304,3693,47.22,2400,2622,47.79,211,261,44.7,214.33,252.33,45.93,2200,2507,46.74,1291,1425,47.53,159,219,42.06,12.32,84.63,896,982,47.71,644,686,48.42,103,134,43.46,15.99,80.47,1304,1525,46.09,647,739,46.68,56,85,39.72,8.66,88.5,2391,2879,45.37,951,1051,47.5,46,32,58.97,4.84,96.96,8.79,90.05,0.988
24,Seattle Kraken,82,4949:49,27,49,6,24,60,0.366,4428,4325,50.59,3317,3294,50.17,2381,2368,50.14,213,284,42.86,208.93,232.08,47.37,2120,2145,49.71,1265,1252,50.26,164,235,41.1,12.96,81.23,845,859,49.59,628,630,49.92,104,151,40.78,16.56,76.03,1275,1286,49.79,637,622,50.6,60,84,41.67,9.42,86.5,2094,1950,51.78,1032,988,51.09,43,41,51.19,4.17,95.85,8.95,88.01,0.97
25,St Louis Blues,82,4964:10,49,22,11,47,109,0.665,4278,4621,48.07,3323,3619,47.87,2492,2590,49.04,309,239,56.39,241.05,250.95,48.99,2437,2483,49.53,1534,1492,50.69,258,195,56.95,16.82,86.93,871,957,47.65,668,688,49.26,142,112,55.91,21.26,83.72,1566,1526,50.65,866,804,51.86,116,83,58.29,13.39,89.68,1660,1948,46.01,825,989,45.48,44,40,52.38,5.33,95.96,12.4,90.77,1.032
26,Tampa Bay Lightning,81,4928:03,50,23,8,48,108,0.667,4559,4398,50.9,3562,3355,51.5,2535,2433,51.03,285,227,55.66,252.58,229.04,52.44,2523,2363,51.64,1499,1388,51.92,240,187,56.21,16.01,86.53,1060,900,54.08,760,668,53.22,155,129,54.58,20.39,80.69,1463,1463,50.0,739,720,50.65,85,58,59.44,11.5,91.94,2282,2216,50.73,956,946,50.26,41,32,56.16,4.29,96.62,11.24,90.67,1.019
27,Toronto Maple Leafs,81,4908:30,54,20,7,51,115,0.71,5091,4353,53.91,3904,3381,53.59,2835,2512,53.02,312,252,55.32,276.79,217.71,55.97,2861,2203,56.5,1722,1375,55.6,267,219,54.94,15.51,84.07,1141,879,56.49,828,648,56.1,164,135,54.85,19.81,79.17,1720,1324,56.5,894,727,55.15,103,84,55.08,11.52,88.45,2042,1931,51.4,1004,1004,50.0,35,32,52.24,3.49,96.81,11.01,89.97,1.01
28,Vancouver Canucks,82,4983:43,40,30,12,37,92,0.561,4782,4727,50.29,3577,3551,50.18,2623,2612,50.11,246,231,51.57,242.04,243.97,49.8,2420,2463,49.56,1428,1499,48.79,204,194,51.26,14.29,87.06,882,972,47.57,641,729,46.79,122,122,50.0,19.03,83.26,1538,1491,50.78,787,770,50.55,82,72,53.25,10.42,90.65,2035,1972,50.79,1066,993,51.77,39,33,54.17,3.66,96.68,9.38,91.16,1.005
29,Vegas Golden Knights,82,4979:45,43,31,8,39,94,0.573,5064,4667,52.04,3823,3357,53.25,2830,2459,53.51,262,244,51.78,266.33,242.94,52.3,2517,2429,50.89,1531,1381,52.58,212,194,52.22,13.85,85.95,1073,1004,51.66,792,728,52.11,143,137,51.07,18.06,81.18,1444,1425,50.33,739,653,53.09,69,57,54.76,9.34,91.27,2234,1926,53.7,1147,937,55.04,42,45,48.28,3.66,95.2,9.26,90.08,0.993
30,Winnipeg Jets,82,4976:58,39,32,11,37,89,0.543,4726,4796,49.63,3638,3707,49.53,2645,2721,49.29,250,253,49.7,262.54,264.0,49.86,2530,2527,50.03,1501,1513,49.8,199,203,49.5,13.26,86.58,1033,1091,48.63,754,781,49.12,130,145,47.27,17.24,81.43,1497,1436,51.04,747,732,50.51,69,58,54.33,9.24,92.08,2028,2036,49.9,1034,1058,49.43,40,41,49.38,3.87,96.12,9.45,90.7,1.002
31,Washington Capitals,82,4991:47,44,26,12,39,100,0.61,4668,4500,50.92,3588,3350,51.72,2578,2380,52.0,270,242,52.73,243.55,223.45,52.15,2305,2242,50.69,1371,1310,51.14,208,201,50.86,15.17,84.66,901,907,49.83,634,641,49.73,124,139,47.15,19.56,78.32,1404,1335,51.26,737,669,52.42,84,62,57.53,11.4,90.73,2118,2004,51.38,1077,948,53.19,50,37,57.47,4.64,96.1,10.47,89.83,1.003
