,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Pittsburgh Penguins,48,2898:25,36,12,0,33,72,0.75,2635,2686,49.52,1985,1951,50.43,1438,1403,50.62,162,119,57.65,131.63,117.82,52.77,1293,1170,52.5,795,717,52.58,126,101,55.51,15.85,85.91,491,484,50.36,362,365,49.79,72,71,50.35,19.89,80.55,802,686,53.9,433,352,55.16,54,30,64.29,12.47,91.48,1206,1308,47.97,619,638,49.24,32,16,66.67,5.17,97.49,11.27,91.52,1.028
1,Philadelphia Flyers,48,2900:54,23,22,3,22,49,0.51,2600,2760,48.51,1916,1976,49.23,1395,1371,50.43,132,139,48.71,122.59,128.27,48.87,1144,1235,48.09,697,732,48.78,104,117,47.06,14.92,84.02,465,473,49.57,348,345,50.22,70,71,49.65,20.11,79.42,679,762,47.12,349,387,47.42,34,46,42.5,9.74,88.11,1215,1306,48.2,628,601,51.1,24,22,52.17,3.82,96.34,9.46,89.86,0.993
2,Ottawa Senators,48,2930:31,25,17,6,21,56,0.583,3008,2642,53.24,2189,2026,51.93,1591,1502,51.44,112,100,52.83,130.19,121.98,51.63,1268,1160,52.22,759,726,51.11,80,81,49.69,10.54,88.84,491,482,50.46,384,362,51.47,49,52,48.51,12.76,85.64,777,678,53.4,375,364,50.74,31,29,51.67,8.27,92.03,1528,1291,54.2,801,740,51.98,30,17,63.83,3.75,97.7,7.04,93.34,1.004
3,Winnipeg Jets,48,2917:25,24,21,3,22,51,0.531,2741,2720,50.19,1998,2007,49.89,1390,1424,49.4,126,141,47.19,126.38,129.34,49.42,1237,1272,49.3,723,782,48.04,97,113,46.19,13.42,85.55,491,523,48.42,350,385,47.62,68,79,46.26,19.43,79.48,746,749,49.9,373,397,48.44,29,34,46.03,7.77,91.44,1251,1197,51.1,626,605,50.85,28,26,51.85,4.47,95.7,9.06,90.1,0.992
4,Chicago Blackhawks,48,2945:25,36,7,5,30,77,0.802,2686,2345,53.39,1994,1693,54.08,1494,1258,54.29,149,97,60.57,121.3,108.69,52.74,1268,1084,53.91,817,668,55.02,119,78,60.41,14.57,88.32,464,434,51.67,379,352,51.85,72,58,55.38,19.0,83.52,804,650,55.3,438,316,58.09,47,20,70.15,10.73,93.67,1246,1091,53.32,655,551,54.31,29,17,63.04,4.43,96.91,9.97,92.29,1.023
5,Los Angeles Kings,48,2917:09,27,16,5,25,59,0.615,2797,2230,55.64,2087,1719,54.83,1431,1198,54.43,131,114,53.47,129.6,107.73,54.61,1234,1035,54.39,709,612,53.67,96,90,51.61,13.54,85.29,487,427,53.28,355,323,52.36,59,65,47.58,16.62,79.88,747,608,55.13,354,289,55.05,37,25,59.68,10.45,91.35,1323,1012,56.66,678,541,55.62,32,22,59.26,4.72,95.93,9.15,90.48,0.996
6,New York Rangers,48,2927:14,26,18,4,22,56,0.583,2778,2676,50.94,2049,1903,51.85,1483,1353,52.29,126,108,53.85,135.23,126.57,51.65,1313,1218,51.88,788,707,52.71,106,81,56.68,13.45,88.54,602,499,54.68,446,354,55.75,78,52,60.0,17.49,85.31,711,719,49.72,342,353,49.21,28,29,49.12,8.19,91.78,1240,1215,50.51,657,590,52.69,20,22,47.62,3.04,96.27,8.5,92.02,1.005
7,Boston Bruins,48,2923:04,28,14,6,24,62,0.646,2929,2547,53.49,2168,1897,53.33,1557,1374,53.12,127,106,54.51,130.29,117.16,52.65,1292,1137,53.19,784,708,52.55,108,88,55.1,13.78,87.57,494,463,51.62,378,351,51.85,76,56,57.58,20.11,84.05,798,674,54.21,406,357,53.21,32,32,50.0,7.88,91.04,1406,1223,53.48,697,619,52.96,18,16,52.94,2.58,97.42,8.16,92.29,1.004
8,Toronto Maple Leafs,48,2911:09,26,17,5,26,57,0.594,2489,3039,45.03,1811,2213,45.0,1264,1549,44.93,145,128,53.11,110.42,132.86,45.39,1099,1286,46.08,653,730,47.22,113,98,53.55,17.3,86.58,410,509,44.61,313,371,45.76,76,67,53.15,24.28,81.94,689,777,47.0,340,359,48.64,37,31,54.41,10.88,91.36,1224,1517,44.66,585,773,43.08,31,28,52.54,5.3,96.38,11.47,91.74,1.032
9,Montreal Canadiens,48,2917:52,29,14,5,26,63,0.656,2809,2488,53.03,2048,1786,53.42,1468,1294,53.15,146,124,54.07,130.44,108.61,54.57,1216,1118,52.1,687,637,51.89,116,99,53.95,16.89,84.46,559,434,56.29,394,319,55.26,83,64,56.46,21.07,79.94,657,684,48.99,293,318,47.95,33,35,48.53,11.26,88.99,1350,1173,53.51,733,613,54.46,27,22,55.1,3.68,96.41,9.95,90.42,1.004
