,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
10,New Jersey Devils,48,2937:37,19,19,10,17,48,0.5,2566,2003,56.16,1921,1488,56.35,1363,1110,55.12,110,122,47.41,123.97,97.98,55.86,1189,976,54.92,705,611,53.57,92,107,46.23,13.05,82.49,504,370,57.67,369,296,55.49,57,65,46.72,15.45,78.04,685,606,53.06,336,315,51.61,35,42,45.45,10.42,86.67,1201,863,58.19,630,458,57.9,16,15,51.61,2.54,96.72,8.07,89.01,0.971
11,New York Islanders,48,2927:16,24,17,7,20,55,0.573,2763,2691,50.66,2011,1925,51.09,1485,1352,52.34,135,136,49.82,147.35,125.8,53.95,1438,1292,52.67,906,776,53.86,113,105,51.83,12.47,86.47,618,534,53.65,471,409,53.52,71,76,48.3,15.07,81.42,820,758,51.96,435,367,54.24,42,29,59.15,9.66,92.1,1095,1164,48.47,542,538,50.19,17,26,39.53,3.14,95.17,9.09,89.94,0.99
12,Washington Capitals,48,2909:31,27,18,3,24,57,0.594,2610,2825,48.02,1903,2060,48.02,1350,1551,46.54,146,130,52.9,120.09,131.75,47.69,1201,1238,49.24,712,761,48.34,108,97,52.68,15.17,87.25,459,505,47.61,342,399,46.15,60,64,48.39,17.54,83.96,742,733,50.31,370,362,50.55,48,33,59.26,12.97,90.88,1200,1390,46.33,595,753,44.14,36,30,54.55,6.05,96.02,10.81,91.62,1.024
13,Tampa Bay Lightning,48,2904:18,18,26,4,17,40,0.417,2410,2737,46.82,1826,2057,47.03,1323,1451,47.69,147,147,50.0,113.94,128.23,47.05,1147,1273,47.4,726,777,48.3,121,120,50.21,16.67,84.56,485,497,49.39,371,359,50.82,81,73,52.6,21.83,79.67,662,776,46.04,355,418,45.92,40,47,45.98,11.27,88.76,1119,1281,46.63,572,622,47.91,26,25,50.98,4.55,95.98,11.11,89.87,1.01
14,Carolina Hurricanes,48,2898:24,19,25,4,18,42,0.438,2977,2828,51.28,2187,2161,50.3,1545,1548,49.95,127,159,44.41,148.27,151.79,49.41,1399,1393,50.11,836,822,50.42,105,126,45.45,12.56,84.67,575,608,48.61,410,462,47.02,71,102,41.04,17.32,77.92,824,785,51.21,426,360,54.2,34,24,58.62,7.98,93.33,1306,1239,51.32,649,696,48.25,19,29,39.58,2.93,95.83,8.22,89.73,0.979
15,Florida Panthers,48,2914:47,15,27,6,12,36,0.375,2512,2652,48.64,1906,2047,48.22,1401,1504,48.23,109,170,39.07,112.97,134.16,45.71,1090,1254,46.5,725,821,46.9,84,132,38.89,11.59,83.92,425,523,44.83,343,407,45.73,57,74,43.51,16.62,81.82,665,731,47.64,382,414,47.99,27,58,31.76,7.07,85.99,1239,1214,50.51,624,644,49.21,21,37,36.21,3.37,94.25,7.78,88.7,0.965
16,Detroit Red Wings,48,2927:44,24,16,8,22,56,0.583,2735,2340,53.89,2060,1780,53.65,1448,1322,52.27,122,110,52.59,127.25,110.47,53.53,1271,1135,52.83,734,685,51.73,99,92,51.83,13.49,86.57,531,476,52.73,398,373,51.62,72,69,51.06,18.09,81.5,740,659,52.89,336,312,51.85,27,23,54.0,8.04,92.63,1270,1024,55.36,682,581,54.0,21,17,55.26,3.08,97.07,8.43,91.68,1.001
17,St Louis Blues,48,2919:48,29,17,2,24,60,0.625,2526,2328,52.04,1875,1651,53.18,1336,1161,53.5,124,114,52.1,109.19,104.84,51.02,1087,1064,50.53,663,614,51.92,93,91,50.54,14.03,85.18,406,421,49.09,305,320,48.8,62,68,47.69,20.33,78.75,681,643,51.44,358,294,54.91,31,23,57.41,8.66,92.18,1222,1036,54.12,642,503,56.07,30,22,57.69,4.67,95.63,9.28,90.18,0.995
18,Columbus Blue Jackets,48,2949:52,24,17,7,19,55,0.573,2416,2559,48.56,1736,1932,47.33,1283,1436,47.19,115,115,50.0,102.32,116.85,46.69,1021,1103,48.07,616,705,46.63,86,86,50.0,13.96,87.8,423,453,48.29,336,346,49.27,59,61,49.17,17.56,82.37,598,650,47.92,280,359,43.82,27,25,51.92,9.64,93.04,1159,1212,48.88,635,688,48.0,29,27,51.79,4.57,96.08,8.96,91.99,1.01
19,Nashville Predators,48,2929:23,16,23,9,14,41,0.427,2284,2579,46.97,1708,1876,47.66,1244,1335,48.24,109,133,45.04,109.95,111.99,49.54,1050,1126,48.25,658,695,48.63,92,106,46.46,13.98,84.75,461,433,51.57,352,331,51.54,65,71,47.79,18.47,78.55,589,693,45.94,306,364,45.67,27,35,43.55,8.82,90.38,1024,1210,45.84,545,608,47.27,16,26,38.1,2.94,95.72,8.76,90.04,0.988
20,Phoenix Coyotes,48,2945:06,21,18,9,17,51,0.531,2780,2753,50.24,2085,2064,50.25,1483,1468,50.25,121,125,49.19,124.83,130.22,48.94,1175,1230,48.86,729,772,48.57,93,101,47.94,12.76,86.92,512,575,47.1,397,436,47.66,65,65,50.0,16.37,85.09,663,655,50.3,332,336,49.7,28,36,43.75,8.43,89.29,1328,1308,50.38,658,661,49.89,23,22,51.11,3.5,96.67,8.16,91.49,0.996
21,Dallas Stars,48,2906:00,22,22,4,20,48,0.5,2577,2790,48.02,1840,2119,46.48,1261,1489,45.85,128,141,47.58,120.48,139.35,46.37,1210,1310,48.02,694,789,46.8,105,116,47.51,15.13,85.3,516,589,46.7,378,441,46.15,72,82,46.75,19.05,81.41,694,721,49.05,316,348,47.59,33,34,49.25,10.44,90.23,1122,1247,47.36,521,646,44.64,23,21,52.27,4.41,96.75,10.15,90.53,1.007
22,Colorado Avalanche,48,2930:28,16,25,7,14,39,0.406,2583,2883,47.26,1923,2100,47.8,1415,1508,48.41,114,150,43.18,115.86,140.18,45.25,1150,1312,46.71,701,816,46.21,95,115,45.24,13.55,85.91,496,567,46.66,379,427,47.02,65,85,43.33,17.15,80.09,654,745,46.75,322,389,45.29,30,30,50.0,9.32,92.29,1205,1336,47.42,663,652,50.42,17,33,34.0,2.56,94.94,8.06,90.05,0.981
23,Minnesota Wild,48,2919:47,26,19,3,22,55,0.573,2511,2424,50.88,1876,1810,50.9,1382,1299,51.55,118,125,48.56,124.5,99.5,55.58,1175,1007,53.85,740,621,54.37,92,100,47.92,12.43,83.9,500,389,56.24,379,305,55.41,65,63,50.78,17.15,79.34,675,618,52.2,361,316,53.32,27,37,42.19,7.48,88.29,1138,1171,49.29,603,636,48.67,25,23,52.08,4.15,96.38,8.54,90.38,0.989
24,Anaheim Ducks,48,2936:18,30,12,6,24,66,0.688,2523,2743,47.91,1871,1967,48.75,1347,1340,50.13,134,115,53.82,123.6,123.79,49.96,1249,1269,49.6,798,704,53.13,113,86,56.78,14.16,87.78,518,525,49.66,422,382,52.49,89,62,58.94,21.09,83.77,731,744,49.56,376,322,53.87,24,24,50.0,6.38,92.55,1070,1293,45.28,492,588,45.56,15,26,36.59,3.05,95.58,9.95,91.42,1.014
25,Vancouver Canucks,48,2943:43,26,15,7,21,59,0.615,2624,2433,51.89,1914,1866,50.63,1351,1389,49.31,122,115,51.48,116.75,119.74,49.37,1168,1206,49.2,669,754,47.01,87,92,48.6,13.0,87.8,500,502,49.9,354,382,48.1,61,63,49.19,17.23,83.51,668,704,48.69,315,372,45.85,26,29,47.27,8.25,92.2,1219,1047,53.8,633,587,51.89,30,21,58.82,4.74,96.42,9.03,91.72,1.008
26,Buffalo Sabres,48,2946:07,21,21,6,14,48,0.5,2405,2938,45.01,1799,2220,44.76,1339,1606,45.47,118,139,45.91,111.34,142.78,43.81,1047,1351,43.66,672,861,43.84,102,110,48.11,15.18,87.22,419,584,41.77,342,439,43.79,68,71,48.92,19.88,83.83,628,767,45.02,330,422,43.88,34,39,46.58,10.3,90.76,1173,1372,46.09,638,706,47.47,14,28,33.33,2.19,96.03,8.81,91.34,1.002
27,San Jose Sharks,48,2948:19,25,16,7,17,57,0.594,2962,2760,51.77,2159,1960,52.42,1526,1390,52.33,116,112,50.88,137.87,117.13,54.07,1323,1143,53.65,767,679,53.04,93,85,52.25,12.13,87.48,544,430,55.85,399,329,54.81,65,51,56.03,16.29,84.5,779,713,52.21,368,350,51.25,28,34,45.16,7.61,90.29,1405,1379,50.47,703,663,51.46,22,25,46.81,3.13,96.23,7.6,91.94,0.995
28,Calgary Flames,48,2901:10,19,25,4,19,42,0.438,2440,2678,47.67,1811,1979,47.78,1293,1413,47.78,128,157,44.91,117.26,120.13,49.4,1155,1202,49.0,728,737,49.69,106,131,44.73,14.56,82.23,483,495,49.39,377,383,49.61,76,87,46.63,20.16,77.28,672,707,48.73,351,354,49.79,30,44,40.54,8.55,87.57,1112,1279,46.51,531,638,45.42,18,23,43.9,3.39,96.39,9.9,88.89,0.988
29,Edmonton Oilers,48,2923:42,19,22,7,17,45,0.469,2344,2943,44.34,1767,2190,44.66,1285,1573,44.96,123,131,48.43,117.06,147.2,44.3,1183,1493,44.21,746,918,44.83,100,100,50.0,13.4,89.11,461,586,44.03,356,436,44.95,65,62,51.18,18.26,85.78,722,907,44.32,390,482,44.72,35,38,47.95,8.97,92.12,1030,1228,45.62,513,611,45.64,22,27,44.9,4.29,95.58,9.57,91.67,1.012
