,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,4987:35,42,33,7,35,91,0.555,4336,4279,50.33,3465,3478,49.91,2481,2500,49.81,238,235,50.32,226.52,226.68,49.98,2161,2015,51.75,1365,1301,51.2,202,182,52.6,14.8,86.01,906,872,50.96,682,672,50.37,137,124,52.49,20.09,81.55,1255,1143,52.34,683,629,52.06,65,58,52.85,9.52,90.78,1896,2031,48.28,1019,1136,47.29,34,45,43.04,3.34,96.04,9.59,90.6,1.002
1,Atlanta Thrashers,82,4981:26,35,41,6,28,76,0.463,4122,4727,46.58,3155,3605,46.67,2306,2683,46.22,250,279,47.26,211.43,240.5,46.78,1978,2327,45.95,1307,1518,46.27,200,233,46.19,15.3,84.65,761,934,44.9,613,743,45.21,129,158,44.95,21.04,78.73,1217,1393,46.63,694,775,47.24,71,75,48.63,10.23,90.32,1902,2095,47.59,939,1123,45.54,43,44,49.43,4.58,96.08,10.84,89.6,1.004
2,Boston Bruins,82,4986:43,53,19,10,49,116,0.707,4459,4435,50.13,3398,3363,50.26,2482,2525,49.57,270,190,58.7,218.48,217.38,50.13,2009,2123,48.62,1313,1414,48.15,220,153,58.98,16.76,89.18,843,802,51.25,676,648,51.06,155,104,59.85,22.93,83.95,1166,1321,46.88,637,766,45.4,65,49,57.02,10.2,93.6,2121,1986,51.64,1091,1005,52.05,44,34,56.41,4.03,96.62,10.88,92.48,1.034
3,Buffalo Sabres,82,4998:08,41,32,9,33,91,0.555,4424,4611,48.97,3380,3528,48.93,2507,2575,49.33,242,229,51.38,205.48,206.37,49.89,1908,1904,50.05,1232,1248,49.68,203,182,52.73,16.48,85.42,807,794,50.41,646,628,50.71,146,120,54.89,22.6,80.89,1101,1110,49.8,586,620,48.59,57,62,47.9,9.73,90.0,2159,2331,48.08,1222,1251,49.41,37,42,46.84,3.03,96.64,9.65,91.11,1.008
4,Carolina Hurricanes,82,4986:02,45,30,7,42,97,0.591,5028,4635,52.03,3758,3441,52.2,2675,2419,52.51,236,221,51.64,232.67,224.31,50.91,2169,2091,50.92,1306,1260,50.9,173,176,49.57,13.25,86.03,937,837,52.82,685,618,52.57,136,122,52.71,19.85,80.26,1232,1254,49.56,621,642,49.17,37,54,40.66,5.96,91.59,2409,2154,52.79,1298,1096,54.22,61,41,59.8,4.7,96.26,8.82,90.86,0.997
5,Columbus Blue Jackets,82,5009:39,41,31,10,35,92,0.561,4231,4130,50.6,3229,3108,50.95,2371,2281,50.97,220,223,49.66,199.68,197.29,50.3,1864,1863,50.01,1180,1174,50.13,172,169,50.44,14.58,85.6,809,759,51.59,639,624,50.59,122,121,50.21,19.09,80.61,1055,1104,48.87,541,550,49.59,50,48,51.02,9.24,91.27,2007,1912,51.21,1143,1042,52.31,43,49,46.74,3.76,95.3,9.28,90.22,0.995
6,Calgary Flames,82,4964:01,46,30,6,43,98,0.598,4881,4174,53.9,3691,3386,52.15,2643,2441,51.99,251,246,50.5,232.54,219.74,51.41,2214,1898,53.84,1388,1280,52.02,207,199,50.99,14.91,84.45,921,846,52.12,716,655,52.22,140,142,49.65,19.55,78.32,1293,1052,55.14,672,625,51.81,67,57,54.03,9.97,90.88,2322,2000,53.73,1179,1095,51.85,40,45,47.06,3.39,95.89,9.5,89.92,0.994
7,Chicago Blackhawks,82,5012:16,46,24,12,42,104,0.634,4535,3894,53.8,3546,3049,53.77,2683,2344,53.37,260,209,55.44,219.66,207.88,51.38,1990,1835,52.03,1368,1270,51.86,197,166,54.27,14.4,86.93,824,797,50.83,685,671,50.52,133,124,51.75,19.42,81.52,1166,1038,52.9,683,599,53.28,64,42,60.38,9.37,92.99,2233,1810,55.23,1260,1028,55.07,55,42,56.7,4.37,95.91,9.69,91.08,1.008
8,Colorado Avalanche,82,4989:30,32,45,5,23,69,0.421,4184,4709,47.05,3187,3392,48.44,2359,2376,49.82,190,253,42.89,192.94,198.49,49.29,1945,1991,49.42,1267,1152,52.38,158,198,44.38,12.47,82.81,854,748,53.31,670,545,55.14,114,124,47.9,17.01,77.25,1091,1243,46.74,597,607,49.58,44,74,37.29,7.37,87.81,1851,2235,45.3,1013,1117,47.56,32,49,39.51,3.16,95.61,8.05,89.35,0.974
9,Dallas Stars,82,5004:33,36,35,11,30,83,0.506,4332,4243,50.52,3382,3261,50.91,2370,2304,50.71,224,251,47.16,195.37,203.51,48.98,1775,1927,47.95,1119,1202,48.21,183,197,48.16,16.35,83.61,741,796,48.21,572,607,48.52,137,138,49.82,23.95,77.27,1034,1131,47.76,547,595,47.9,46,59,43.81,8.41,90.08,2177,1953,52.71,1149,1033,52.66,38,51,42.7,3.31,95.06,9.45,89.11,0.986
