,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
10,Edmonton Oilers,82,4958:44,48,29,5,48,101,0.616,5183,4487,53.6,3783,3227,53.97,2623,2211,54.26,259,235,52.43,274.73,231.06,54.32,2481,2153,53.54,1344,1145,54.0,204,192,51.52,15.18,83.23,1045,801,56.61,681,498,57.76,130,105,55.32,19.09,78.92,1436,1352,51.51,663,647,50.61,74,87,45.96,11.16,86.55,3134,2641,54.27,1149,946,54.84,50,38,56.82,4.35,95.98,9.87,89.37,0.992
11,Florida Panthers,82,4973:20,47,31,4,41,98,0.598,5459,4336,55.73,3937,3250,54.78,2589,2148,54.65,246,223,52.45,274.4,225.38,54.9,2478,1920,56.34,1320,1059,55.49,183,168,52.14,13.86,84.14,1023,857,54.41,670,559,54.52,124,113,52.32,18.51,79.79,1455,1063,57.78,650,500,56.52,59,55,51.75,9.08,89.0,3430,2711,55.85,1166,936,55.47,57,45,55.88,4.89,95.19,9.5,89.62,0.991
12,Los Angeles Kings,82,4963:21,48,25,9,47,105,0.64,5055,4503,52.89,3627,3201,53.12,2304,2093,52.4,249,203,55.09,249.61,214.71,53.76,2276,2072,52.35,1112,1083,50.66,191,157,54.89,17.18,85.5,974,840,53.69,572,544,51.25,113,96,54.07,19.76,82.35,1302,1232,51.38,540,539,50.05,78,61,56.12,14.44,88.68,3051,2675,53.28,1054,874,54.67,46,41,52.87,4.36,95.31,10.81,90.3,1.011
13,Minnesota Wild,82,4976:24,45,30,7,42,97,0.591,4648,5101,47.68,3373,3646,48.06,2264,2427,48.26,225,236,48.81,228.66,230.05,49.85,2099,2215,48.66,1095,1179,48.15,167,182,47.85,15.25,84.56,871,841,50.88,540,548,49.63,93,101,47.94,17.22,81.57,1228,1374,47.19,555,631,46.8,74,81,47.74,13.33,87.16,2754,3296,45.52,1039,1125,48.01,42,48,46.67,4.04,95.73,9.94,90.28,1.002
14,Montreal Canadiens,82,4981:53,40,31,11,38,91,0.555,4572,5237,46.61,3246,3669,46.94,2096,2383,46.8,243,261,48.21,241.99,282.2,46.16,2194,2539,46.36,1116,1307,46.06,183,209,46.68,16.4,84.01,852,1062,44.51,518,661,43.94,98,127,43.56,18.92,80.79,1342,1477,47.61,598,646,48.07,85,82,50.9,14.21,87.31,2698,2963,47.66,874,946,48.02,53,45,54.08,6.06,95.24,11.59,89.05,1.006
15,New Jersey Devils,82,4963:28,42,33,7,40,91,0.555,5001,4671,51.71,3510,3394,50.84,2304,2163,51.58,240,220,52.17,263.29,237.98,52.52,2454,2152,53.28,1263,1119,53.02,204,171,54.4,16.15,84.72,990,896,52.49,617,553,52.74,110,107,50.69,17.83,80.65,1464,1256,53.82,646,566,53.3,94,64,59.49,14.55,88.69,2880,2840,50.35,925,929,49.89,33,43,43.42,3.57,95.37,10.42,89.83,1.002
16,Nashville Predators,82,4955:03,30,44,8,28,68,0.415,5004,4674,51.7,3563,3420,51.02,2403,2344,50.62,212,274,43.62,259.9,241.19,51.87,2348,2262,50.93,1188,1228,49.17,159,210,43.09,13.38,82.9,958,925,50.88,584,597,49.45,103,109,48.58,17.64,81.74,1390,1337,50.97,604,631,48.91,56,101,35.67,9.27,83.99,3010,2736,52.38,1094,990,52.5,45,54,45.45,4.11,94.55,8.82,88.31,0.971
17,New York Islanders,82,4978:02,35,35,12,33,82,0.5,5033,5047,49.93,3649,3588,50.42,2420,2357,50.66,222,257,46.35,253.3,248.65,50.46,2347,2317,50.32,1256,1201,51.12,180,185,49.32,14.33,84.6,975,961,50.36,614,609,50.2,110,112,49.55,17.92,81.61,1372,1356,50.29,642,592,52.03,70,73,48.95,10.9,87.67,3089,2927,51.35,1033,1031,50.05,33,60,35.48,3.19,94.18,9.17,89.1,0.983
18,New York Rangers,82,4949:47,39,36,7,38,85,0.518,4939,4993,49.73,3605,3657,49.64,2344,2451,48.88,255,255,50.0,256.16,270.92,48.6,2323,2431,48.86,1230,1351,47.66,202,217,48.21,16.42,83.94,943,1060,47.08,626,699,47.25,115,133,46.37,18.37,80.97,1380,1371,50.16,604,652,48.09,87,84,50.88,14.4,87.12,2976,2832,51.24,996,982,50.35,47,33,58.75,4.72,96.64,10.88,89.6,1.005
19,Ottawa Senators,82,4955:35,45,30,7,44,97,0.591,4940,4820,50.61,3546,3429,50.84,2403,2347,50.59,242,232,51.05,246.3,240.83,50.56,2318,2228,50.99,1233,1201,50.66,197,183,51.84,15.98,84.76,911,903,50.22,594,597,49.87,108,111,49.32,18.18,81.41,1407,1325,51.5,639,604,51.41,89,72,55.28,13.93,88.08,2987,2894,50.79,1043,1009,50.83,41,42,49.4,3.93,95.84,10.07,90.12,1.002
20,Philadelphia Flyers,82,4995:15,33,39,10,27,76,0.463,4580,4938,48.12,3334,3354,49.85,2212,2210,50.02,232,283,45.05,235.27,228.81,50.7,2179,2319,48.44,1194,1155,50.83,178,218,44.95,14.91,81.13,916,837,52.25,608,542,52.87,117,127,47.95,19.24,76.57,1263,1482,46.01,586,613,48.87,61,91,40.13,10.41,85.15,2734,2890,48.61,921,914,50.19,50,59,45.87,5.43,93.54,10.49,87.19,0.977
21,Pittsburgh Penguins,82,4982:33,34,36,12,33,80,0.488,4965,4984,49.9,3557,3655,49.32,2326,2472,48.48,242,287,45.75,262.47,259.1,50.32,2352,2403,49.46,1192,1322,47.41,191,231,45.26,16.02,82.53,1033,970,51.57,653,638,50.58,124,125,49.8,18.99,80.41,1319,1433,47.93,539,684,44.07,67,106,38.73,12.43,84.5,2988,2895,50.79,1004,1018,49.65,43,49,46.74,4.28,95.19,10.4,88.39,0.988
22,San Jose Sharks,82,4973:15,20,50,12,18,52,0.317,4628,5471,45.83,3292,3911,45.7,2203,2607,45.8,208,310,40.15,215.91,289.57,42.71,2128,2636,44.67,1078,1406,43.4,158,239,39.8,14.66,83.0,828,1034,44.47,500,663,42.99,82,125,39.61,16.4,81.15,1300,1602,44.8,578,743,43.75,76,114,40.0,13.15,84.66,2788,3219,46.41,980,1082,47.53,46,61,42.99,4.69,94.36,9.44,88.11,0.976
23,Seattle Kraken,82,4958:45,35,41,6,33,76,0.463,4788,5149,48.18,3488,3708,48.47,2243,2343,48.91,245,262,48.32,226.01,261.77,46.33,2062,2306,47.21,1077,1196,47.38,186,197,48.56,17.27,83.53,852,953,47.2,511,583,46.71,109,118,48.02,21.33,79.76,1210,1353,47.21,566,613,48.01,77,79,49.36,13.6,87.11,2990,3158,48.63,1032,1026,50.15,54,53,50.47,5.23,94.83,10.92,88.82,0.997
24,St Louis Blues,82,4981:23,44,30,8,40,96,0.585,4501,4743,48.69,3178,3351,48.68,2186,2236,49.43,250,231,51.98,220.54,224.43,49.56,2179,2189,49.89,1188,1090,52.15,202,179,53.02,17.0,83.58,838,836,50.06,537,523,50.66,116,106,52.25,21.6,79.73,1341,1353,49.78,651,567,53.45,86,73,54.09,13.21,87.13,2685,2865,48.38,872,1016,46.19,44,45,49.44,5.05,95.57,11.44,89.67,1.011
25,Tampa Bay Lightning,82,4965:55,47,27,8,45,102,0.622,4910,4693,51.13,3527,3395,50.95,2343,2312,50.33,292,216,57.48,262.51,237.5,52.5,2382,2157,52.48,1311,1200,52.21,228,168,57.58,17.39,86.0,1010,853,54.21,680,569,54.44,148,90,62.18,21.76,84.18,1372,1304,51.27,631,631,50.0,80,78,50.63,12.68,87.64,2893,2903,49.91,915,978,48.34,57,37,60.64,6.23,96.22,12.46,90.66,1.031
26,Toronto Maple Leafs,82,4960:35,52,26,4,51,108,0.659,4659,5199,47.26,3418,3703,48.0,2298,2406,48.85,267,229,53.83,249.95,263.08,48.72,2266,2386,48.71,1236,1196,50.82,221,179,55.25,17.88,85.03,938,927,50.29,611,565,51.96,127,105,54.74,20.79,81.42,1328,1459,47.65,625,631,49.76,94,74,55.95,15.04,88.27,2755,3123,46.87,924,1085,45.99,38,46,45.24,4.11,95.76,11.62,90.48,1.021
27,Utah Hockey Club,82,4994:13,38,31,13,37,89,0.543,5081,4752,51.67,3633,3371,51.87,2342,2272,50.76,240,247,49.28,258.19,249.62,50.84,2357,2212,51.59,1242,1125,52.47,188,194,49.21,15.14,82.76,914,885,50.81,609,559,52.14,108,122,46.96,17.73,78.18,1443,1327,52.09,633,566,52.79,80,72,52.63,12.64,87.28,3095,2841,52.14,985,1003,49.55,43,46,48.31,4.37,95.41,10.25,89.13,0.994
28,Vancouver Canucks,82,5000:21,38,30,14,35,90,0.549,4595,4725,49.3,3270,3419,48.89,2096,2198,48.81,233,251,48.14,227.02,235.15,49.12,2103,2144,49.52,1078,1103,49.43,184,185,49.86,17.07,83.23,855,914,48.33,548,562,49.37,118,117,50.21,21.53,79.18,1248,1230,50.36,530,541,49.49,66,68,49.25,12.45,87.43,2785,2872,49.23,892,958,48.22,40,54,42.55,4.48,94.36,11.12,88.58,0.997
29,Vegas Golden Knights,82,4967:46,50,22,10,49,110,0.671,4963,4789,50.89,3639,3394,51.74,2482,2141,53.69,274,214,56.15,256.06,224.79,53.25,2387,2174,52.34,1315,1074,55.04,225,166,57.54,17.11,84.54,989,870,53.2,618,508,54.88,129,101,56.09,20.87,80.12,1398,1304,51.74,697,566,55.19,96,65,59.63,13.77,88.52,2982,2838,51.24,1030,949,52.05,41,46,47.13,3.98,95.15,11.04,90.0,1.01
30,Winnipeg Jets,82,4959:55,56,22,4,54,116,0.707,4790,4840,49.74,3540,3462,50.56,2316,2229,50.96,275,190,59.14,249.87,232.91,51.76,2181,2091,51.05,1131,1071,51.36,212,138,60.57,18.74,87.11,989,867,53.29,622,519,54.51,140,82,63.06,22.51,84.2,1192,1224,49.34,509,552,47.97,72,56,56.25,14.15,89.86,2970,3024,49.55,1051,1021,50.72,57,40,58.76,5.42,96.08,11.87,91.48,1.033
31,Washington Capitals,82,4975:34,51,22,9,49,111,0.677,4884,4909,49.87,3536,3451,50.61,2268,2231,50.41,286,229,55.53,264.15,247.71,51.61,2341,2230,51.21,1201,1131,51.5,220,181,54.86,18.32,84.0,976,901,52.0,609,576,51.39,137,126,52.09,22.5,78.13,1365,1329,50.67,592,555,51.61,83,55,60.14,14.02,90.09,2865,3002,48.83,938,991,48.63,57,46,55.34,6.08,95.36,12.61,89.74,1.023
