,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,4989:16,35,37,10,31,80,0.488,4754,5549,46.14,3452,4040,46.08,2270,2649,46.15,217,261,45.4,237.6,287.68,45.23,2164,2664,44.82,1169,1390,45.68,164,218,42.93,14.03,84.32,861,1096,44.0,552,704,43.95,107,144,42.63,19.38,79.55,1303,1568,45.38,617,686,47.35,57,74,43.51,9.24,89.21,2720,3385,44.55,964,1153,45.54,45,36,55.56,4.67,96.88,9.56,90.15,0.997
1,Boston Bruins,82,4973:57,33,39,10,33,76,0.463,4603,4923,48.32,3285,3558,48.01,2174,2346,48.1,222,271,45.03,236.41,252.96,48.31,2139,2289,48.31,1099,1200,47.8,174,225,43.61,15.83,81.25,863,944,47.76,548,582,48.5,113,125,47.48,20.62,78.52,1276,1345,48.68,551,618,47.13,61,100,37.89,11.07,83.82,2780,3009,48.02,921,1017,47.52,40,38,51.28,4.34,96.26,10.21,88.45,0.987
2,Buffalo Sabres,82,4972:07,36,39,7,32,79,0.482,4860,4909,49.75,3510,3603,49.35,2280,2370,49.03,265,287,48.01,240.05,262.67,47.75,2221,2396,48.1,1141,1268,47.36,207,229,47.48,18.14,81.94,891,973,47.8,526,614,46.14,118,145,44.87,22.43,76.38,1330,1423,48.31,615,654,48.46,89,84,51.45,14.47,87.16,2966,2988,49.82,1021,966,51.38,50,45,52.63,4.9,95.34,11.62,87.89,0.995
3,Carolina Hurricanes,82,4950:20,47,30,5,47,99,0.604,5760,4082,58.52,4126,3048,57.51,2599,2046,55.95,266,230,53.63,288.09,236.95,54.87,2673,2050,56.6,1345,1156,53.78,206,181,53.23,15.32,84.34,1051,935,52.92,647,627,50.78,132,108,55.0,20.4,82.78,1622,1115,59.26,698,529,56.89,74,73,50.34,10.6,86.2,3563,2339,60.37,1146,763,60.03,54,45,54.55,4.71,94.1,10.23,88.76,0.99
4,Columbus Blue Jackets,82,4980:15,40,33,9,34,89,0.543,4869,5163,48.53,3493,3690,48.63,2382,2453,49.27,267,267,50.0,246.65,260.66,48.62,2172,2440,47.09,1206,1312,47.9,212,208,50.48,17.58,84.15,935,1033,47.51,628,683,47.9,133,124,51.75,21.18,81.84,1237,1407,46.79,578,629,47.89,79,84,48.47,13.67,86.65,2887,3084,48.35,1015,1040,49.39,49,53,48.04,4.83,94.9,11.21,89.12,1.003
5,Calgary Flames,82,5001:59,41,27,14,36,96,0.585,5204,4952,51.24,3620,3511,50.76,2414,2372,50.44,220,236,48.25,237.22,246.38,49.05,2319,2356,49.6,1184,1243,48.78,168,197,46.03,14.19,84.15,879,941,48.3,552,601,47.88,98,117,45.58,17.75,80.53,1440,1415,50.44,632,642,49.61,70,80,46.67,11.08,87.54,3205,3085,50.95,1094,1002,52.19,44,36,55.0,4.02,96.41,9.11,90.05,0.992
6,Chicago Blackhawks,82,4964:30,25,46,11,23,61,0.372,4042,5148,43.98,2925,3794,43.53,2004,2552,43.99,224,292,43.41,200.48,275.66,42.11,1875,2562,42.26,1028,1371,42.85,179,229,43.87,17.41,83.3,775,1074,41.91,515,707,42.14,105,143,42.34,20.39,79.77,1100,1488,42.5,513,664,43.59,74,86,46.25,14.42,87.05,2408,3062,44.02,873,1065,45.05,41,54,43.16,4.7,94.93,11.18,88.56,0.997
7,Colorado Avalanche,82,4968:08,49,29,4,45,102,0.622,5242,4506,53.78,3701,3187,53.73,2451,2126,53.55,273,231,54.17,258.16,237.73,52.06,2510,2065,54.86,1285,1111,53.63,202,180,52.88,15.72,83.8,940,890,51.37,594,570,51.03,106,118,47.32,17.85,79.3,1570,1175,57.19,691,541,56.09,96,62,60.76,13.89,88.54,3071,2748,52.78,1031,886,53.78,56,41,57.73,5.43,95.37,11.14,89.13,1.003
8,Dallas Stars,82,4960:58,50,26,6,48,106,0.646,4921,4851,50.36,3468,3589,49.14,2325,2382,49.39,275,222,55.33,270.41,253.54,51.61,2434,2298,51.44,1293,1183,52.22,224,184,54.9,17.32,84.45,1042,961,52.02,686,586,53.93,152,125,54.87,22.16,78.67,1392,1337,51.01,607,597,50.42,72,59,54.96,11.86,90.12,2894,2952,49.5,899,1051,46.1,41,36,53.25,4.56,96.57,11.83,90.68,1.025
9,Detroit Red Wings,82,4973:57,39,35,8,36,86,0.524,4680,4969,48.5,3405,3561,48.88,2250,2337,49.05,235,259,47.57,252.43,252.16,50.03,2204,2290,49.04,1193,1167,50.55,197,196,50.13,16.51,83.2,869,946,47.88,559,583,48.95,105,121,46.46,18.78,79.25,1335,1344,49.83,634,584,52.05,92,75,55.09,14.51,87.16,2828,3064,48.0,922,1051,46.73,35,57,38.04,3.8,94.58,10.44,88.92,0.994
