,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Florida Panthers,82,5025:48,38,26,18,32,94,0.573,4443,4433,50.06,3350,3391,49.7,2433,2505,49.27,197,216,47.7,191.83,206.37,48.17,1845,1909,49.15,1171,1228,48.81,149,157,48.69,12.72,87.21,687,763,47.38,522,600,46.52,93,105,46.97,17.82,82.5,1158,1146,50.26,649,628,50.82,56,52,51.85,8.63,91.72,2249,2198,50.57,1166,1194,49.41,44,55,44.44,3.77,95.39,8.1,91.38,0.995
1,Chicago Blackhawks,82,5016:10,45,26,11,38,101,0.616,4695,4229,52.61,3505,3200,52.27,2583,2343,52.44,241,231,51.06,222.45,203.59,52.21,2279,2046,52.69,1363,1288,51.41,195,191,50.52,14.31,85.17,872,872,50.0,676,703,49.02,124,134,48.06,18.34,80.94,1407,1174,54.51,687,585,54.01,71,57,55.47,10.33,90.26,2125,1897,52.83,1156,971,54.35,44,38,53.66,3.81,96.09,9.33,90.14,0.995
2,Vancouver Canucks,82,5021:54,51,22,9,43,111,0.677,4875,4318,53.03,3573,3299,51.99,2583,2526,50.56,241,191,55.79,209.07,216.38,49.14,2130,2135,49.94,1243,1361,47.73,177,159,52.68,14.24,88.32,869,931,48.28,636,738,46.29,124,116,51.67,19.5,84.28,1261,1204,51.16,607,623,49.35,53,43,55.21,8.73,93.1,2328,1875,55.39,1235,1071,53.56,60,30,66.67,4.86,97.2,9.33,92.44,1.018
3,Philadelphia Flyers,82,5001:57,47,26,9,43,103,0.628,4884,4511,51.99,3643,3303,52.45,2641,2329,53.14,260,225,53.61,256.29,220.77,53.72,2394,2060,53.75,1428,1215,54.03,210,189,52.63,14.71,84.44,1080,861,55.64,817,634,56.31,158,127,55.44,19.34,79.97,1314,1199,52.29,611,581,51.26,52,62,45.61,8.51,89.33,2101,2071,50.36,1103,1017,52.03,47,33,58.75,4.26,96.76,9.84,90.34,1.002
4,Los Angeles Kings,82,5017:42,40,27,15,34,95,0.579,4882,4244,53.5,3632,3275,52.58,2509,2248,52.74,188,170,52.51,220.49,199.45,52.5,2099,1865,52.95,1211,1093,52.56,142,139,50.53,11.73,87.28,839,745,52.97,597,521,53.4,99,95,51.03,16.58,81.77,1260,1120,52.94,614,572,51.77,43,44,49.43,7.0,92.31,2353,2018,53.83,1221,1066,53.39,40,31,56.34,3.28,97.09,7.49,92.44,0.999
5,New Jersey Devils,82,5012:26,48,28,6,36,102,0.622,3946,3840,50.68,3015,2912,50.87,2253,2200,50.6,216,205,51.31,200.13,183.57,52.16,1916,1787,51.74,1247,1127,52.53,179,166,51.88,14.35,85.27,743,728,50.51,598,572,51.11,116,118,49.57,19.4,79.37,1173,1059,52.55,649,555,53.9,63,48,56.76,9.71,91.35,1796,1778,50.25,974,997,49.42,35,36,49.3,3.59,96.39,9.59,90.68,1.003
6,Calgary Flames,82,5008:03,37,29,16,34,90,0.549,4203,4709,47.16,3083,3551,46.47,2259,2529,47.18,199,217,47.84,202.27,217.65,48.17,1879,2029,48.08,1212,1262,48.99,156,164,48.75,12.87,87.0,756,820,47.97,600,630,48.78,98,110,47.12,16.33,82.54,1123,1209,48.16,612,632,49.2,58,54,51.79,9.48,91.46,1975,2299,46.21,981,1178,45.44,40,50,44.44,4.08,95.76,8.81,91.42,1.002
7,Montreal Canadiens,82,5017:00,31,35,16,26,78,0.476,4474,4736,48.58,3241,3395,48.84,2340,2432,49.04,207,214,49.17,202.03,212.91,48.69,1971,2166,47.64,1140,1253,47.64,166,173,48.97,14.56,86.19,780,877,47.07,568,673,45.77,111,119,48.26,19.54,82.32,1191,1289,48.02,572,580,49.65,55,54,50.46,9.62,90.69,2090,2146,49.34,1085,1091,49.86,39,36,52.0,3.59,96.7,8.85,91.2,1.0
8,Winnipeg Jets,82,4985:29,37,35,10,33,84,0.512,4638,4689,49.73,3538,3492,50.33,2471,2470,50.01,221,242,47.73,219.44,233.72,48.42,2083,2193,48.71,1278,1334,48.93,179,195,47.86,14.01,85.38,881,881,50.0,653,680,48.99,128,127,50.2,19.6,81.32,1202,1312,47.81,625,654,48.87,51,68,42.86,8.16,89.6,2107,2075,50.38,1096,1051,51.05,39,44,46.99,3.56,95.81,8.94,90.2,0.991
9,New York Rangers,82,4998:03,51,24,7,47,109,0.665,4247,4565,48.2,3225,3227,49.98,2339,2281,50.63,222,182,54.95,241.46,216.11,52.77,2354,2212,51.55,1414,1247,53.14,175,147,54.35,12.38,88.21,1053,907,53.72,767,647,54.24,129,98,56.83,16.82,84.85,1301,1305,49.92,647,600,51.88,46,49,48.42,7.11,91.83,1644,2031,44.73,871,958,47.62,41,31,56.94,4.71,96.76,9.49,92.02,1.015
