,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Chicago Blackhawks,4,242:12,1,2,1,1,3,0.375,174,244,41.63,127,184,40.84,79,121,39.5,10,11,47.62,8.9,14.61,37.85,88,124,41.51,45,63,41.67,9,9,50.0,20.0,85.71,28,59,32.18,20,32,38.46,3,7,30.0,15.0,78.13,60,65,48.0,25,31,44.64,6,2,75.00,24.0,93.55,102,158,39.23,32,52,38.1,1,2,33.33,3.13,96.15,12.66,90.91,1.036
1,Florida Panthers,4,240:00,3,1,0,3,6,0.75,233,196,54.31,170,142,54.49,124,89,58.22,13,10,56.52,12.85,11.96,51.79,115,89,56.37,72,43,62.61,9,9,50.0,12.5,79.07,53,37,58.89,42,20,67.74,7,4,63.64,16.67,80.0,62,52,54.39,30,23,56.6,2,5,28.57,6.67,78.26,140,126,52.63,49,40,55.06,4,1,80.00,8.16,97.5,10.48,88.76,0.992
2,Pittsburgh Penguins,3,180:00,2,1,0,2,4,0.667,163,189,46.31,116,125,48.13,78,92,45.88,8,9,47.06,11.43,9.52,54.54,93,95,49.47,49,56,46.67,6,8,42.86,12.24,85.71,46,40,53.49,29,26,52.73,5,4,55.56,17.24,84.62,47,55,46.08,20,30,40.0,1,4,20.00,5.0,86.67,81,108,42.86,24,31,43.64,1,1,50.00,4.17,96.77,10.26,90.22,1.005
3,New York Rangers,4,240:00,2,2,0,2,4,0.5,251,227,52.51,175,161,52.08,123,108,53.25,10,5,66.67,12.3,12.59,49.42,118,104,53.15,63,55,53.39,8,3,72.73,12.7,94.55,51,40,56.04,32,25,56.14,5,2,71.43,15.63,92.0,67,64,51.15,31,30,50.82,3,1,75.00,9.68,96.67,146,135,51.96,50,46,52.08,1,1,50.00,2.0,97.83,8.13,95.37,1.035
4,Colorado Avalanche,4,245:00,3,0,1,3,7,0.875,261,235,52.62,184,169,52.12,126,109,53.62,13,7,65.0,11.91,9.9,54.61,116,101,53.46,63,51,55.26,10,5,66.67,15.87,90.2,47,40,54.02,27,28,49.09,4,3,57.14,14.81,89.29,69,61,53.08,36,23,61.02,6,2,75.00,16.67,91.3,175,152,53.52,60,55,52.17,3,2,60.00,5.0,96.36,10.32,93.58,1.039
5,Los Angeles Kings,4,250:00,1,2,1,0,3,0.375,248,226,52.32,166,165,50.15,117,111,51.32,11,15,42.31,11.27,11.31,49.91,125,97,56.31,65,48,57.52,10,8,55.56,15.38,83.33,51,45,53.13,35,26,57.38,6,5,54.55,17.14,80.77,74,52,58.73,30,22,57.69,4,3,57.14,13.33,86.36,139,159,46.64,45,60,42.86,1,7,12.50,2.22,88.33,9.4,86.49,0.959
6,Montreal Canadiens,3,180:00,2,1,0,2,4,0.667,167,154,52.02,115,113,50.44,76,80,48.72,10,8,55.56,10.08,9.22,52.24,90,79,53.25,45,48,48.39,8,7,53.33,17.78,85.42,37,28,56.92,22,21,51.16,4,6,40.0,18.18,71.43,53,51,50.96,23,27,46.0,4,1,80.00,17.39,96.3,90,83,52.02,27,29,48.21,2,1,66.67,7.41,96.55,13.16,90.0,1.032
7,Toronto Maple Leafs,3,180:00,1,2,0,1,2,0.333,172,174,49.71,122,126,49.19,90,81,52.63,10,11,47.62,8.86,10.14,46.63,89,88,50.28,57,49,53.77,10,9,52.63,17.54,81.63,32,38,45.71,26,26,50.0,8,5,61.54,30.77,80.77,57,50,53.27,31,23,57.41,2,4,33.33,6.45,82.61,103,92,52.82,27,28,49.09,0,0,-,0.0,100.0,11.11,86.42,0.975
8,Boston Bruins,4,242:12,3,1,0,3,6,0.75,244,243,50.1,194,171,53.15,119,105,53.13,13,9,59.09,13.99,12.1,53.62,102,116,46.79,52,56,48.15,10,8,55.56,19.23,85.71,37,43,46.25,25,24,51.02,5,4,55.56,20.0,83.33,65,73,47.1,27,32,45.76,5,4,55.56,18.52,87.5,171,156,52.29,54,47,53.47,3,1,75.00,5.56,97.87,10.92,91.43,1.024
9,Washington Capitals,3,180:00,2,1,0,2,4,0.667,202,196,50.75,133,146,47.67,86,93,48.04,6,5,54.55,12.7,9.16,58.1,99,86,53.51,47,45,51.09,6,3,66.67,12.77,93.33,39,31,55.71,25,25,50.0,2,2,50.0,8.0,92.0,60,55,52.17,22,20,52.38,4,1,80.00,18.18,95.0,114,128,47.11,35,41,46.05,0,2,0.00,0.0,95.12,6.98,94.62,1.016
