,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,4992:43,47,30,5,43,99,0.604,4093,5042,44.81,3219,3794,45.9,2334,2649,46.84,235,233,50.21,217.34,249.61,46.55,2040,2386,46.09,1333,1478,47.42,197,188,51.17,14.78,87.28,875,1004,46.57,697,751,48.14,143,131,52.19,20.52,82.56,1165,1382,45.74,636,727,46.66,54,57,48.65,8.49,92.16,1855,2330,44.32,945,1085,46.55,36,40,47.37,3.81,96.31,10.07,91.2,1.013
1,Atlanta Thrashers,82,5012:49,34,36,12,29,80,0.488,4656,4849,48.98,3532,3557,49.82,2581,2638,49.45,218,262,45.42,213.12,244.95,46.53,2009,2335,46.25,1318,1450,47.62,166,209,44.27,12.59,85.59,839,973,46.3,641,747,46.18,116,147,44.11,18.1,80.32,1170,1362,46.21,677,703,49.06,50,62,44.64,7.39,91.18,2261,2194,50.75,1172,1115,51.25,50,46,52.08,4.27,95.87,8.45,90.07,0.985
2,Boston Bruins,82,4980:04,46,25,11,44,103,0.628,4923,4791,50.68,3644,3619,50.17,2696,2683,50.12,244,189,56.35,220.25,223.01,49.69,2210,2255,49.5,1391,1434,49.24,199,158,55.74,14.31,88.98,833,850,49.49,662,682,49.26,134,108,55.37,20.24,84.16,1377,1405,49.5,729,752,49.22,65,50,56.52,8.92,93.35,2335,2180,51.72,1197,1140,51.22,41,29,58.57,3.43,97.46,9.05,92.96,1.02
3,Buffalo Sabres,82,4999:05,43,29,10,38,96,0.585,4689,4690,49.99,3567,3522,50.32,2690,2514,51.69,240,228,51.28,227.98,220.64,50.82,2159,2139,50.23,1402,1305,51.79,183,170,51.84,13.05,86.97,994,877,53.13,803,643,55.53,135,123,52.33,16.81,80.87,1165,1262,48.0,599,662,47.5,48,47,50.53,8.01,92.9,2201,2231,49.66,1213,1130,51.77,53,57,48.18,4.37,94.96,8.92,90.93,0.999
4,Carolina Hurricanes,82,4996:42,40,31,11,35,91,0.555,4935,5083,49.26,3562,3880,47.86,2517,2725,48.02,231,234,49.68,232.35,257.51,47.43,2268,2423,48.35,1295,1446,47.25,201,193,51.02,15.52,86.65,1008,1056,48.84,707,779,47.58,143,132,52.0,20.23,83.06,1260,1367,47.96,588,667,46.85,58,61,48.74,9.86,90.85,2200,2245,49.49,1114,1186,48.43,27,36,42.86,2.42,96.96,9.18,91.41,1.006
5,Columbus Blue Jackets,82,5011:33,34,35,13,29,81,0.494,4613,4424,51.05,3460,3310,51.11,2506,2447,50.6,210,250,45.65,223.19,211.76,51.31,2118,2073,50.54,1297,1286,50.21,155,203,43.3,11.95,84.21,882,844,51.1,685,646,51.47,106,145,42.23,15.47,77.55,1236,1229,50.14,612,640,48.88,49,58,45.79,8.01,90.94,2083,1962,51.5,1133,1111,50.49,49,44,52.69,4.32,96.04,8.38,89.78,0.982
6,Calgary Flames,82,5018:43,41,29,12,32,94,0.573,4742,4466,51.5,3549,3257,52.15,2502,2338,51.69,241,230,51.17,222.0,192.29,53.59,2028,1842,52.4,1286,1137,53.07,189,175,51.92,14.7,84.61,792,708,52.8,616,541,53.24,117,113,50.87,18.99,79.11,1236,1134,52.15,670,596,52.92,72,62,53.73,10.75,89.6,2321,2224,51.07,1138,1116,50.49,52,45,53.61,4.57,95.97,9.63,90.16,0.998
7,Chicago Blackhawks,82,5000:14,44,29,9,38,97,0.591,4728,4325,52.23,3565,3181,52.85,2637,2354,52.84,252,220,53.39,219.78,211.21,50.99,2234,2073,51.87,1421,1271,52.79,210,170,55.26,14.78,86.62,823,836,49.61,656,660,49.85,142,123,53.58,21.65,81.36,1411,1237,53.29,765,611,55.6,68,47,59.13,8.89,92.31,2177,1969,52.51,1171,1033,53.13,38,46,45.24,3.25,95.55,9.56,90.65,1.002
8,Colorado Avalanche,82,4990:29,30,44,8,24,68,0.415,4254,4816,46.9,3245,3640,47.13,2394,2609,47.85,221,287,43.5,216.85,235.07,47.98,2091,2238,48.3,1354,1361,49.87,178,228,43.84,13.15,83.25,937,911,50.7,738,709,51.0,134,167,44.52,18.16,76.45,1154,1327,46.51,616,652,48.58,44,61,41.9,7.14,90.64,1816,2200,45.22,953,1175,44.78,39,54,41.94,4.09,95.4,9.23,89.0,0.982
9,Dallas Stars,82,5002:12,42,29,11,37,95,0.579,4440,4692,48.62,3333,3488,48.86,2269,2504,47.54,222,226,49.55,206.42,214.43,49.05,2024,2051,49.67,1190,1270,48.37,171,172,49.85,14.37,86.46,829,868,48.85,578,641,47.42,113,122,48.09,19.55,80.97,1195,1183,50.25,612,629,49.32,58,50,53.7,9.48,92.05,1957,2173,47.38,972,1147,45.87,45,49,47.87,4.63,95.73,9.78,90.97,1.008
10,Detroit Red Wings,82,5004:36,47,25,10,43,104,0.634,5002,4344,53.52,3872,3427,53.05,2757,2514,52.31,257,237,52.02,237.37,212.48,52.77,2308,2001,53.56,1364,1287,51.45,184,186,49.73,13.49,85.55,910,832,52.24,688,676,50.44,123,123,50.0,17.88,81.8,1398,1169,54.46,676,611,52.53,61,63,49.19,9.02,89.69,2361,2024,53.84,1310,1126,53.78,70,48,59.32,5.34,95.74,9.32,90.57,0.999
11,Edmonton Oilers,82,4989:33,25,45,12,23,62,0.378,4180,4860,46.24,3029,3641,45.41,2189,2597,45.74,191,260,42.35,205.17,256.7,44.42,1935,2362,45.03,1186,1492,44.29,161,218,42.48,13.58,85.39,794,970,45.01,603,739,44.93,108,141,43.37,17.91,80.92,1141,1392,45.05,583,753,43.64,53,77,40.77,9.09,89.77,1910,2082,47.85,952,1023,48.2,29,33,46.77,3.05,96.77,8.73,89.99,0.987
12,Florida Panthers,82,5004:05,30,40,12,26,72,0.439,4609,4734,49.33,3441,3609,48.81,2493,2610,48.85,191,222,46.25,214.08,225.38,48.72,2148,2113,50.41,1384,1351,50.6,156,178,46.71,11.27,86.82,867,847,50.58,678,645,51.25,109,121,47.39,16.08,81.24,1281,1266,50.29,706,706,50.0,47,57,45.19,6.66,91.93,2106,2277,48.05,1044,1179,46.96,33,41,44.59,3.16,96.52,7.66,91.49,0.992
13,Los Angeles Kings,82,4993:38,46,30,6,36,98,0.598,4653,4286,52.05,3444,3254,51.42,2363,2288,50.81,209,196,51.6,201.81,192.89,51.13,1931,1889,50.55,1103,1141,49.15,161,147,52.27,14.6,87.12,796,724,52.37,573,539,51.53,118,98,54.63,20.59,81.82,1135,1165,49.35,530,602,46.82,43,49,46.74,8.11,91.86,2335,2052,53.23,1214,1070,53.15,42,44,48.84,3.46,95.89,8.84,91.43,1.003
14,Minnesota Wild,82,4985:05,39,35,8,36,86,0.524,4008,4764,45.69,3011,3635,45.31,2148,2625,45.0,203,228,47.1,183.49,217.52,45.76,1744,2122,45.11,1111,1333,45.46,162,177,47.79,14.58,86.72,672,841,44.42,519,653,44.28,112,127,46.86,21.58,80.55,1072,1281,45.56,592,680,46.54,50,50,50.0,8.45,92.65,1941,2300,45.77,983,1225,44.52,35,44,44.3,3.56,96.41,9.45,91.31,1.008
15,Montreal Canadiens,82,4973:59,44,30,8,41,96,0.585,4849,4736,50.59,3614,3464,51.06,2602,2538,50.62,213,206,50.84,216.18,225.81,48.91,2180,2222,49.52,1327,1351,49.55,174,171,50.43,13.11,87.34,865,944,47.82,663,730,47.6,107,124,46.32,16.14,83.01,1315,1278,50.71,664,621,51.67,67,47,58.77,10.09,92.43,2259,2169,51.02,1150,1116,50.75,38,33,53.52,3.3,97.04,8.19,91.88,1.001
