,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,71,4320:11,29,33,9,24,67,0.472,3916,4147,48.57,3011,3203,48.46,2108,2285,47.99,182,225,44.72,191.86,209.52,47.8,1912,2075,47.96,1135,1281,46.98,154,185,45.43,13.57,85.56,799,855,48.31,568,631,47.37,99,113,46.7,17.43,82.09,1113,1220,47.71,567,650,46.59,55,72,43.31,9.7,88.92,1720,1807,48.77,868,911,48.79,25,34,42.37,2.88,96.27,8.63,90.15,0.988
1,Arizona Coyotes,70,4260:02,33,29,8,28,74,0.529,3920,4160,48.51,2995,3202,48.33,2220,2270,49.44,190,183,50.94,186.67,194.79,48.94,1818,1974,47.94,1124,1162,49.17,146,160,47.71,12.99,86.23,742,809,47.84,551,572,49.07,90,115,43.9,16.33,79.9,1076,1165,48.01,573,590,49.27,56,45,55.45,9.77,92.37,1765,1878,48.45,942,989,48.78,36,18,66.67,3.82,98.18,8.56,91.94,1.005
2,Boston Bruins,70,4260:43,44,14,12,44,100,0.714,3985,3818,51.07,3068,2927,51.18,2247,2103,51.66,227,167,57.61,196.07,176.12,52.68,1889,1768,51.65,1154,1039,52.62,177,135,56.73,15.34,87.01,734,693,51.44,547,513,51.6,125,88,58.69,22.85,82.85,1155,1075,51.79,607,526,53.57,52,47,52.53,8.57,91.06,1804,1802,50.03,959,933,50.69,45,31,59.21,4.69,96.68,10.1,92.06,1.022
3,Buffalo Sabres,69,4184:23,30,31,8,28,68,0.493,3592,3673,49.44,2785,2914,48.87,2021,2149,48.47,193,215,47.3,168.45,189.56,47.05,1680,1750,48.98,1021,1142,47.2,151,181,45.48,14.79,84.15,674,749,47.36,515,587,46.73,96,131,42.29,18.64,77.68,1006,1001,50.12,506,555,47.69,55,50,52.38,10.87,90.99,1676,1694,49.73,899,906,49.81,36,29,55.38,4.0,96.8,9.55,90.0,0.995
4,Carolina Hurricanes,68,4129:03,38,25,5,33,81,0.596,4123,3511,54.01,3133,2728,53.46,2262,1995,53.14,217,193,52.93,222.69,193.13,53.55,2013,1734,53.72,1207,1121,51.85,185,167,52.56,15.33,85.1,892,785,53.19,650,599,52.04,130,121,51.79,20.0,79.8,1121,949,54.15,557,522,51.62,55,46,54.46,9.87,91.19,1765,1471,54.54,911,749,54.88,28,24,53.85,3.07,96.8,9.59,90.33,0.999
5,Columbus Blue Jackets,70,4261:48,33,22,15,33,81,0.579,3808,3927,49.23,2968,2867,50.87,2272,2092,52.06,180,183,49.59,184.24,165.8,52.63,1756,1783,49.62,1170,1036,53.04,146,147,49.83,12.48,85.81,651,636,50.58,520,481,51.95,92,83,52.57,17.69,82.74,1105,1147,49.07,650,555,53.94,54,64,45.76,8.31,88.47,1730,1816,48.79,965,934,50.82,30,33,47.62,3.11,96.47,7.92,91.25,0.992
6,Calgary Flames,70,4268:35,36,27,7,30,79,0.564,4097,4101,49.98,3097,3165,49.46,2213,2271,49.35,204,214,48.8,203.68,198.74,50.61,1966,2001,49.56,1192,1229,49.24,173,172,50.14,14.51,86.0,776,730,51.53,576,528,52.17,109,94,53.69,18.92,82.2,1190,1271,48.35,616,701,46.77,64,78,45.07,10.39,88.87,1841,1820,50.29,913,925,49.67,30,32,48.39,3.29,96.54,9.22,90.58,0.998
7,Chicago Blackhawks,70,4255:58,32,30,8,28,72,0.514,3987,4168,48.89,2953,3153,48.36,2227,2459,47.52,208,214,49.29,199.97,217.43,47.91,1986,2136,48.18,1249,1364,47.8,164,178,47.95,13.13,86.95,804,905,47.05,623,707,46.84,107,121,46.93,17.17,82.89,1182,1231,48.98,626,657,48.79,57,57,50.0,9.11,91.32,1704,1723,49.72,888,975,47.67,37,29,56.06,4.17,97.03,9.34,91.3,1.006
8,Colorado Avalanche,70,4239:38,42,20,8,41,92,0.657,4157,3980,51.09,3064,2950,50.95,2257,2194,50.71,236,190,55.4,196.22,184.74,51.51,2011,1818,52.52,1211,1111,52.15,181,151,54.52,14.95,86.41,726,732,49.79,555,558,49.87,95,105,47.5,17.12,81.18,1285,1086,54.2,656,553,54.26,86,46,65.15,13.11,91.68,1860,1829,50.42,958,939,50.5,48,34,58.54,5.01,96.38,10.46,91.34,1.018
9,Dallas Stars,69,4191:50,37,24,8,35,82,0.594,3911,4007,49.39,2882,2976,49.2,2115,2177,49.28,178,174,50.57,198.45,185.7,51.66,1965,1867,51.28,1181,1091,51.98,144,133,51.99,12.19,87.81,830,728,53.27,618,543,53.23,101,91,52.6,16.34,83.24,1135,1139,49.91,563,548,50.68,43,42,50.59,7.64,92.34,1585,1789,46.98,799,970,45.17,28,35,44.44,3.5,96.39,8.42,92.01,1.004
10,Detroit Red Wings,71,4290:28,17,49,5,14,39,0.275,3426,4056,45.79,2648,3151,45.66,1924,2330,45.23,142,265,34.89,164.43,220.79,42.68,1607,2008,44.45,980,1237,44.2,114,214,34.76,11.63,82.7,632,854,42.53,494,641,43.52,75,152,33.04,15.18,76.29,975,1154,45.8,486,596,44.92,39,62,38.61,8.02,89.6,1546,1810,46.07,807,995,44.78,24,44,35.29,2.97,95.58,7.38,88.63,0.96
