,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
15,Montreal Canadiens,82,4994:52,47,25,10,42,104,0.634,4452,4989,47.16,3307,3646,47.56,2383,2589,47.93,257,216,54.33,208.94,225.31,48.12,2296,2349,49.43,1327,1347,49.63,210,174,54.69,15.83,87.08,856,902,48.69,638,662,49.08,140,118,54.26,21.94,82.18,1440,1447,49.88,689,685,50.15,70,56,55.56,10.16,91.82,1873,2248,45.45,976,1149,45.93,46,39,54.12,4.71,96.61,10.78,91.66,1.024
16,New Jersey Devils,82,5002:15,46,29,7,38,99,0.604,4269,3869,52.46,3269,3039,51.82,2362,2257,51.14,198,193,50.64,207.33,191.9,51.93,1995,1774,52.93,1256,1184,51.48,160,154,50.96,12.74,86.99,776,732,51.46,613,602,50.45,110,105,51.16,17.94,82.56,1219,1042,53.91,643,582,52.49,50,49,50.51,7.78,91.58,1951,1821,51.72,1033,1019,50.34,35,37,48.61,3.39,96.37,8.38,91.45,0.998
17,Nashville Predators,82,4982:50,41,32,9,38,91,0.555,4257,4105,50.91,3310,3232,50.6,2425,2440,49.85,227,224,50.33,219.75,205.84,51.64,1954,1894,50.78,1294,1262,50.63,181,188,49.05,13.99,85.1,771,750,50.69,616,588,51.16,106,123,46.29,17.21,79.08,1183,1144,50.84,678,674,50.15,75,65,53.57,11.06,90.36,1961,1910,50.66,1060,1110,48.85,44,32,57.89,4.15,97.12,9.36,90.82,1.002
18,New York Islanders,82,4987:18,35,38,9,30,79,0.482,4428,4587,49.12,3272,3453,48.65,2435,2488,49.46,189,240,44.06,212.0,234.39,47.49,2013,2275,46.94,1291,1430,47.45,147,192,43.36,11.39,86.57,876,921,48.75,680,702,49.2,101,120,45.7,14.85,82.91,1137,1354,45.64,611,728,45.63,46,72,38.98,7.53,90.11,1935,1878,50.75,1042,965,51.92,38,43,46.91,3.65,95.54,7.76,90.35,0.981
19,New York Rangers,81,4957:38,42,26,13,34,97,0.599,4598,3942,53.84,3576,2929,54.97,2579,2124,54.84,205,190,51.9,235.74,199.17,54.2,2320,2003,53.67,1482,1274,53.77,168,148,53.16,11.34,88.38,937,893,51.2,712,694,50.64,104,108,49.06,14.61,84.44,1383,1110,55.48,770,580,57.04,64,40,61.54,8.31,93.1,1912,1582,54.72,1032,757,57.69,36,40,47.37,3.49,94.72,7.95,91.05,0.99
20,Ottawa Senators,81,4918:32,42,31,8,39,92,0.568,4562,4344,51.22,3406,3333,50.54,2471,2456,50.15,258,242,51.6,220.4,220.01,50.04,2187,2289,48.86,1283,1374,48.29,202,193,51.14,15.74,85.95,868,845,50.67,652,655,49.89,146,134,52.14,22.39,79.54,1319,1444,47.74,631,719,46.74,56,59,48.7,8.87,91.79,2073,1767,53.98,1130,1001,53.03,52,44,54.17,4.6,95.6,10.44,90.15,1.006
21,Philadelphia Flyers,82,4985:18,42,29,11,39,95,0.579,4268,4699,47.6,3236,3526,47.86,2359,2609,47.48,245,227,51.91,208.52,213.59,49.4,1910,1984,49.05,1200,1255,48.88,195,179,52.14,16.25,85.74,815,786,50.91,628,615,50.52,143,120,54.37,22.77,80.49,1095,1198,47.75,572,640,47.19,52,59,46.85,9.09,90.78,1956,2313,45.82,1046,1265,45.26,46,48,48.94,4.4,96.21,10.39,91.3,1.017
22,Phoenix Coyotes,82,4994:56,38,37,7,33,83,0.506,4395,4533,49.23,3390,3515,49.09,2500,2518,49.82,209,225,48.16,209.6,222.56,48.5,1907,2084,47.78,1253,1336,48.4,166,182,47.7,13.25,86.38,739,781,48.62,581,598,49.28,113,119,48.71,19.45,80.1,1168,1303,47.27,672,738,47.66,53,63,45.69,7.89,91.46,2140,2157,49.8,1143,1102,50.91,39,37,51.32,3.41,96.64,8.36,91.06,0.994
23,Pittsburgh Penguins,82,4985:32,47,27,8,40,102,0.622,4064,4683,46.46,3165,3554,47.11,2269,2523,47.35,240,212,53.1,215.52,208.53,50.82,2055,2054,50.01,1323,1272,50.98,193,175,52.45,14.59,86.24,883,796,52.59,700,613,53.31,147,121,54.85,21.0,80.26,1172,1258,48.23,623,659,48.6,46,54,46.0,7.38,91.81,1765,2235,44.13,906,1168,43.68,42,33,56.0,4.64,97.17,10.58,91.6,1.022
24,San Jose Sharks,82,4999:49,49,23,10,43,108,0.659,4314,3760,53.43,3356,2768,54.8,2428,1981,55.07,216,187,53.6,233.82,177.18,56.89,2173,1639,57.0,1403,1044,57.34,182,152,54.49,12.97,85.44,909,654,58.16,721,517,58.24,123,100,55.16,17.06,80.66,1264,985,56.2,682,527,56.41,59,52,53.15,8.65,90.13,1907,1808,51.33,996,872,53.32,33,33,50.0,3.31,96.22,8.9,90.56,0.995
25,St Louis Blues,82,4979:04,33,36,13,30,79,0.482,3761,4285,46.74,2961,3245,47.71,2141,2249,48.77,202,232,46.54,183.48,215.6,45.98,1742,2130,44.99,1118,1318,45.89,150,179,45.59,13.42,86.42,639,743,46.24,494,575,46.21,98,105,48.28,19.84,81.74,1103,1387,44.3,624,743,45.65,52,74,41.27,8.33,90.04,1741,1803,49.13,957,857,52.76,46,48,48.94,4.81,94.4,9.43,89.68,0.991
26,Tampa Bay Lightning,82,4963:12,31,42,9,29,71,0.433,4230,4271,49.76,3228,3199,50.23,2354,2312,50.45,221,266,45.38,198.54,196.41,50.27,2035,2070,49.57,1255,1271,49.68,185,208,47.07,14.74,83.63,764,753,50.36,602,580,50.93,124,136,47.69,20.6,76.55,1271,1317,49.11,653,691,48.59,61,72,45.86,9.34,89.58,1944,1925,50.25,1030,972,51.45,33,52,38.82,3.2,94.65,9.39,88.49,0.979
27,Toronto Maple Leafs,82,4990:52,36,35,11,33,83,0.506,4669,4458,51.16,3557,3393,51.18,2542,2403,51.41,228,256,47.11,218.33,232.82,48.39,2251,2238,50.14,1307,1325,49.66,176,199,46.93,13.47,84.98,821,896,47.82,629,668,48.5,119,139,46.12,18.92,79.19,1430,1342,51.59,678,657,50.79,57,60,48.72,8.41,90.87,2091,1932,51.98,1127,990,53.24,50,52,49.02,4.44,94.75,8.97,89.35,0.983
28,Vancouver Canucks,82,5005:22,39,33,10,33,88,0.537,4036,4303,48.4,3140,3315,48.64,2252,2367,48.76,207,206,50.12,197.64,211.64,48.29,1864,1927,49.17,1157,1198,49.13,165,169,49.4,14.26,85.89,838,804,51.04,632,582,52.06,112,116,49.12,17.72,80.07,1026,1123,47.74,525,616,46.01,53,53,50.0,10.1,91.4,1818,1976,47.92,1010,1110,47.64,38,36,51.35,3.76,96.76,9.19,91.3,1.005
29,Washington Capitals,82,4986:55,43,31,8,39,94,0.573,4727,4080,53.67,3545,3075,53.55,2538,2259,52.91,238,227,51.18,222.11,196.79,53.02,2351,1893,55.4,1437,1170,55.12,194,184,51.32,13.5,84.27,823,737,52.76,639,570,52.85,113,128,46.89,17.68,77.54,1528,1156,56.93,798,600,57.08,81,56,59.12,10.15,90.67,2071,1869,52.56,1041,1009,50.78,39,41,48.75,3.75,95.94,9.38,89.95,0.993
