,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,4971:59,35,37,10,32,80,0.488,4394,5051,46.52,3278,3855,45.96,2272,2727,45.45,196,248,44.14,204.05,267.99,43.23,2057,2582,44.34,1204,1594,43.03,159,211,42.97,13.21,86.76,835,1116,42.8,591,839,41.33,110,139,44.18,18.61,83.43,1222,1466,45.46,613,755,44.81,49,72,40.5,7.99,90.46,1912,2049,48.27,923,1015,47.63,33,30,52.38,3.58,97.04,8.63,90.91,0.995
1,Arizona Coyotes,82,4980:21,39,35,8,35,86,0.524,4725,4855,49.32,3527,3557,49.79,2521,2527,49.94,209,220,48.72,229.5,226.28,50.35,2125,2223,48.87,1265,1292,49.47,164,178,47.95,12.96,86.22,903,987,47.78,646,701,47.96,95,124,43.38,14.71,82.31,1222,1236,49.72,619,591,51.16,69,54,56.1,11.15,90.86,2096,2132,49.57,1070,1083,49.7,39,36,52.0,3.64,96.68,8.29,91.29,0.996
2,Boston Bruins,82,4983:31,49,24,9,47,107,0.652,4848,4376,52.56,3734,3326,52.89,2680,2416,52.59,257,212,54.8,230.06,210.78,52.19,2163,2021,51.7,1362,1319,50.8,208,162,56.22,15.27,87.72,878,839,51.14,673,658,50.56,135,109,55.33,20.06,83.43,1285,1182,52.09,689,661,51.04,73,53,57.94,10.6,91.98,2295,1996,53.48,1162,954,54.91,44,42,51.16,3.79,95.6,9.59,91.23,1.008
3,Buffalo Sabres,82,4994:21,33,39,10,28,76,0.463,4688,4644,50.24,3659,3641,50.12,2698,2704,49.94,221,268,45.19,215.11,228.29,48.51,2120,2137,49.8,1320,1386,48.78,181,226,44.47,13.71,83.69,869,933,48.22,647,706,47.82,115,138,45.45,17.77,80.45,1251,1204,50.96,673,680,49.74,66,88,42.86,9.81,87.06,2137,2065,50.86,1235,1174,51.27,36,34,51.43,2.91,97.1,8.19,90.09,0.983
4,Carolina Hurricanes,82,4957:55,46,29,7,44,99,0.604,5350,4355,55.13,4036,3311,54.93,2822,2343,54.64,243,221,52.37,285.87,223.98,56.07,2477,2052,54.69,1469,1217,54.69,194,185,51.19,13.21,84.8,1158,959,54.7,814,687,54.23,129,134,49.05,15.85,80.49,1319,1093,54.68,655,530,55.27,65,51,56.03,9.92,90.38,2374,1862,56.04,1203,964,55.51,39,26,60.0,3.24,97.3,8.61,90.57,0.992
5,Columbus Blue Jackets,82,4953:25,47,31,4,45,98,0.598,4573,4403,50.95,3566,3327,51.73,2592,2418,51.74,256,231,52.57,231.01,212.67,52.07,2187,2060,51.5,1442,1328,52.06,205,192,51.64,14.22,85.54,889,856,50.95,684,667,50.63,123,121,50.41,17.98,81.86,1298,1204,51.88,758,661,53.42,82,71,53.59,10.82,89.26,1967,1909,50.75,1004,962,51.07,37,36,50.68,3.69,96.26,9.88,90.45,1.003
6,Calgary Flames,82,4950:55,50,25,7,50,107,0.652,4968,4275,53.75,3693,3242,53.25,2656,2302,53.57,289,223,56.45,250.71,209.77,54.45,2369,2087,53.16,1491,1278,53.85,235,176,57.18,15.76,86.23,1013,888,53.29,782,653,54.49,172,114,60.14,21.99,82.54,1356,1199,53.07,709,625,53.15,63,62,50.4,8.89,90.08,2152,1800,54.45,1046,867,54.68,44,43,50.57,4.21,95.04,10.88,90.31,1.012
7,Chicago Blackhawks,82,4979:19,36,34,12,33,84,0.512,4770,4874,49.46,3512,3759,48.3,2671,2852,48.36,267,291,47.85,226.46,268.16,45.78,2304,2535,47.61,1422,1602,47.02,215,233,47.99,15.12,85.46,870,1168,42.69,681,905,42.94,129,154,45.58,18.94,82.98,1434,1367,51.2,741,697,51.53,86,79,52.12,11.61,88.67,2089,1955,51.66,1145,1119,50.57,45,52,46.39,3.93,95.35,10.0,89.8,0.998
8,Colorado Avalanche,82,4972:42,38,30,14,36,90,0.549,4762,4863,49.48,3547,3539,50.06,2676,2619,50.54,258,244,51.39,224.4,227.14,49.7,2297,2195,51.14,1429,1330,51.79,204,189,51.91,14.28,85.79,948,915,50.89,712,685,50.97,133,129,50.76,18.68,81.17,1349,1280,51.31,717,645,52.64,71,60,54.2,9.9,90.7,2062,2182,48.59,1107,1131,49.46,48,47,50.53,4.34,95.84,9.64,90.68,1.003
9,Dallas Stars,82,4962:34,43,32,7,42,93,0.567,4551,4869,48.31,3375,3578,48.54,2520,2591,49.31,209,200,51.1,224.45,223.29,50.13,2215,2206,50.1,1360,1315,50.84,159,149,51.62,11.69,88.67,961,868,52.54,719,659,52.18,116,89,56.59,16.13,86.49,1254,1338,48.38,641,656,49.42,43,60,41.75,6.71,90.85,1903,2134,47.14,1015,1106,47.85,43,40,51.81,4.24,96.38,8.29,92.28,1.006
10,Detroit Red Wings,82,4996:59,32,40,10,29,74,0.451,4368,4927,46.99,3291,3824,46.25,2394,2761,46.44,224,272,45.16,203.1,258.34,44.01,2062,2389,46.33,1264,1510,45.57,186,205,47.57,14.72,86.42,824,1041,44.18,619,777,44.34,119,138,46.3,19.22,82.24,1238,1348,47.87,645,733,46.81,67,67,50.0,10.39,90.86,1860,2109,46.86,945,1104,46.12,32,58,35.56,3.39,94.75,9.36,90.15,0.995
11,Edmonton Oilers,82,4967:38,35,38,9,32,79,0.482,4425,4725,48.36,3280,3551,48.02,2392,2599,47.93,229,271,45.8,217.55,236.64,47.9,2165,2273,48.78,1310,1356,49.14,198,211,48.41,15.11,84.44,909,990,47.87,679,698,49.31,122,136,47.29,17.97,80.52,1256,1283,49.47,631,658,48.95,76,75,50.33,12.04,88.6,1881,1993,48.55,972,1090,47.14,30,51,37.04,3.09,95.32,9.57,89.57,0.991
12,Florida Panthers,82,5001:00,36,32,14,33,86,0.524,4746,4636,50.59,3661,3498,51.14,2705,2517,51.8,264,273,49.16,228.98,235.39,49.31,2129,2128,50.01,1350,1295,51.04,212,227,48.29,15.7,82.47,845,926,47.71,636,680,48.33,145,147,49.66,22.8,78.38,1284,1202,51.65,714,615,53.72,67,80,45.58,9.38,86.99,2161,2050,51.32,1183,1065,52.62,47,38,55.29,3.97,96.43,9.76,89.15,0.989
13,Los Angeles Kings,82,4980:44,31,42,9,28,71,0.433,4492,4843,48.12,3338,3673,47.61,2359,2578,47.78,199,259,43.45,204.99,230.18,47.11,2035,2265,47.33,1166,1314,47.02,152,207,42.34,13.04,84.25,798,879,47.58,556,643,46.37,95,130,42.22,17.09,79.78,1237,1386,47.16,610,671,47.62,57,77,42.54,9.34,88.52,2019,2174,48.15,1038,1103,48.48,40,43,48.19,3.85,96.1,8.44,89.95,0.984
14,Minnesota Wild,82,4968:06,37,36,9,36,83,0.506,4704,4645,50.32,3530,3424,50.76,2567,2419,51.48,210,233,47.4,221.15,205.65,51.82,2111,1935,52.17,1303,1124,53.69,172,185,48.18,13.2,83.54,933,759,55.14,700,549,56.04,112,120,48.28,16.0,78.14,1178,1176,50.04,603,575,51.19,60,65,48.0,9.95,88.7,2118,2172,49.37,1137,1143,49.87,33,43,43.42,2.9,96.24,8.18,90.37,0.985
15,Montreal Canadiens,82,4957:43,44,30,8,41,96,0.585,5279,4627,53.29,3832,3457,52.57,2796,2549,52.31,246,236,51.04,236.11,214.82,52.36,2321,2154,51.87,1394,1308,51.59,193,202,48.86,13.85,84.56,973,906,51.78,716,657,52.15,133,119,52.78,18.58,81.89,1348,1248,51.93,678,651,51.02,60,83,41.96,8.85,87.25,2464,2049,54.6,1243,1107,52.89,46,31,59.74,3.7,97.2,8.8,90.74,0.995
16,New Jersey Devils,82,4984:24,31,41,10,28,72,0.439,4338,4796,47.49,3390,3638,48.24,2488,2594,48.96,219,271,44.69,218.35,232.75,48.4,2016,2189,47.94,1312,1353,49.23,169,207,44.95,12.88,84.7,860,816,51.31,647,616,51.23,106,132,44.54,16.38,78.57,1156,1373,45.71,665,737,47.43,63,75,45.65,9.47,89.82,1922,2154,47.15,1044,1111,48.45,42,56,42.86,4.02,94.96,8.8,89.55,0.984
17,Nashville Predators,82,4967:24,47,29,6,43,100,0.61,4900,4487,52.2,3696,3408,52.03,2679,2460,52.13,236,212,52.68,232.56,222.35,51.12,2222,2149,50.84,1336,1351,49.72,187,175,51.66,14.0,87.05,892,908,49.56,665,691,49.04,118,111,51.53,17.74,83.94,1330,1241,51.73,671,660,50.41,69,64,51.88,10.28,90.3,2227,1885,54.16,1210,968,55.56,38,35,52.05,3.14,96.38,8.81,91.38,1.002
18,New York Islanders,82,4983:07,48,27,7,43,103,0.628,4328,4779,47.52,3229,3484,48.1,2360,2535,48.21,223,191,53.86,224.45,222.92,50.17,2256,2310,49.41,1392,1394,49.96,194,149,56.56,13.94,89.31,1027,935,52.34,781,731,51.65,138,111,55.42,17.67,84.82,1229,1375,47.2,611,663,47.96,56,38,59.57,9.17,94.27,1698,2029,45.56,857,1019,45.68,20,37,35.09,2.33,96.37,9.45,92.47,1.019
19,New York Rangers,82,5002:39,32,36,14,26,78,0.476,4272,5029,45.93,3248,3816,45.98,2393,2774,46.31,221,267,45.29,222.18,260.33,46.05,2083,2516,45.29,1280,1533,45.5,178,220,44.72,13.91,85.65,964,1107,46.55,727,801,47.58,127,141,47.39,17.47,82.4,1119,1409,44.26,553,732,43.04,51,79,39.23,9.22,89.21,1756,2069,45.91,958,1088,46.82,38,42,47.5,3.97,96.14,9.24,90.37,0.996
20,Ottawa Senators,82,4944:39,29,47,6,29,64,0.39,4377,5385,44.84,3312,4004,45.27,2429,2931,45.32,242,301,44.57,215.99,247.09,46.64,2087,2424,46.26,1266,1424,47.06,203,237,46.14,16.03,83.36,941,1000,48.48,704,746,48.55,142,147,49.13,20.17,80.29,1146,1424,44.59,562,678,45.32,61,90,40.4,10.85,86.73,1836,2479,42.55,985,1373,41.77,32,52,38.1,3.25,96.21,9.96,89.73,0.997
21,Philadelphia Flyers,82,4963:49,37,37,8,34,82,0.5,4740,4857,49.39,3552,3580,49.8,2583,2665,49.22,241,280,46.26,231.52,232.54,49.89,2150,2222,49.18,1312,1340,49.47,198,222,47.14,15.09,83.43,938,883,51.51,709,674,51.27,132,134,49.62,18.62,80.12,1212,1339,47.51,603,666,47.52,66,88,42.86,10.95,86.79,2082,2159,49.09,1087,1145,48.7,38,48,44.19,3.5,95.81,9.33,89.49,0.988
22,Pittsburgh Penguins,82,4981:30,44,26,12,42,100,0.61,4796,4902,49.45,3644,3673,49.8,2732,2729,50.03,271,238,53.24,243.84,230.6,51.4,2357,2194,51.79,1538,1391,52.51,227,196,53.66,14.76,85.91,1052,894,54.06,828,685,54.73,141,124,53.21,17.03,81.9,1305,1300,50.1,710,706,50.14,86,72,54.43,12.11,89.8,1998,2243,47.11,1048,1168,47.29,37,33,52.86,3.53,97.17,9.92,91.28,1.012
23,San Jose Sharks,82,4962:08,46,27,9,46,101,0.616,5144,4314,54.39,3815,3237,54.1,2708,2324,53.82,289,258,52.83,253.86,223.45,53.19,2450,2114,53.68,1487,1319,52.99,238,214,52.65,16.01,83.78,1072,939,53.31,800,704,53.19,164,148,52.56,20.5,78.98,1378,1175,53.98,687,615,52.76,74,66,52.86,10.77,89.27,2194,1764,55.43,1081,866,55.52,44,38,53.66,4.07,95.61,10.67,88.9,0.996
24,St Louis Blues,82,4980:59,45,28,9,42,99,0.604,4693,4385,51.7,3531,3247,52.1,2604,2345,52.62,244,220,52.59,233.49,209.06,52.76,2382,2164,52.4,1471,1333,52.46,199,180,52.51,13.53,86.5,977,821,54.34,727,626,53.73,130,118,52.42,17.88,81.15,1405,1343,51.13,744,707,51.27,69,62,52.67,9.27,91.23,1911,1853,50.77,1008,897,52.91,38,34,52.78,3.77,96.21,9.37,90.62,1.0
25,Tampa Bay Lightning,82,4979:34,62,16,4,56,128,0.78,4725,4667,50.31,3604,3542,50.43,2621,2633,49.89,319,221,59.07,234.29,212.89,52.39,2432,2290,51.5,1521,1487,50.57,270,193,58.32,17.75,87.02,921,888,50.91,696,658,51.4,157,125,55.67,22.56,81.0,1511,1402,51.87,825,829,49.88,113,68,62.43,13.7,91.8,2015,2051,49.56,984,1031,48.83,43,27,61.43,4.37,97.38,12.17,91.61,1.038
26,Toronto Maple Leafs,82,4959:59,46,28,8,46,100,0.61,5387,4960,52.06,3975,3847,50.82,2737,2718,50.17,286,249,53.46,263.26,235.26,52.81,2835,2389,54.27,1620,1410,53.47,238,205,53.72,14.69,85.46,1115,913,54.98,819,658,55.45,149,129,53.6,18.19,80.4,1720,1476,53.82,801,752,51.58,89,76,53.94,11.11,89.89,2120,2190,49.19,993,1155,46.23,46,35,56.79,4.63,96.97,10.45,90.84,1.013
27,Vancouver Canucks,82,5009:56,35,36,11,29,81,0.494,4527,4818,48.44,3395,3585,48.64,2433,2597,48.37,219,248,46.9,204.6,228.39,47.25,2090,2456,45.97,1216,1457,45.49,174,203,46.15,14.31,86.07,808,962,45.65,588,735,44.44,101,126,44.49,17.18,82.86,1282,1494,46.18,628,722,46.52,73,77,48.67,11.62,89.34,1993,2016,49.71,1042,1042,50.0,39,44,46.99,3.74,95.78,9.0,90.45,0.995
