,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Pittsburgh Penguins,56,3399:45,37,16,3,34,77,0.688,2908,2886,50.19,2238,2222,50.18,1685,1680,50.07,193,155,55.46,149.95,145.15,50.81,1446,1355,51.62,918,885,50.92,164,127,56.36,17.86,85.65,580,602,49.07,471,489,49.06,113,89,55.94,23.99,81.8,866,753,53.49,447,396,53.02,51,38,57.3,11.41,90.4,1268,1338,48.66,685,714,48.96,21,25,45.65,3.07,96.5,11.45,90.77,1.022
1,Philadelphia Flyers,56,3420:50,25,23,8,22,58,0.518,3133,2877,52.13,2357,2208,51.63,1692,1636,50.84,160,197,44.82,144.6,142.3,50.4,1416,1368,50.86,837,843,49.82,137,157,46.6,16.37,81.38,563,582,49.17,448,459,49.39,92,107,46.23,20.54,76.69,853,786,52.04,389,384,50.32,45,50,47.37,11.57,86.98,1490,1322,52.99,750,716,51.16,18,35,33.96,2.4,95.11,9.46,87.96,0.974
2,Chicago Blackhawks,56,3415:20,24,25,7,22,55,0.491,2839,3241,46.69,2084,2465,45.81,1635,1888,46.41,159,184,46.36,138.14,169.02,44.97,1427,1678,45.96,927,1070,46.42,136,151,47.39,14.67,85.89,548,690,44.26,443,556,44.34,86,107,44.56,19.41,80.76,879,988,47.08,484,514,48.5,50,44,53.19,10.33,91.44,1206,1358,47.04,637,738,46.33,18,29,38.3,2.83,96.07,9.72,90.25,1.0
3,Tampa Bay Lightning,56,3389:18,36,17,3,35,75,0.67,2973,2747,51.98,2297,2102,52.22,1692,1583,51.66,180,145,55.38,157.21,134.66,53.86,1523,1446,51.3,972,902,51.87,147,118,55.47,15.12,86.92,575,543,51.43,470,431,52.16,100,71,58.48,21.28,83.53,948,903,51.22,502,471,51.59,47,47,50.0,9.36,90.02,1278,1133,53.01,662,609,52.08,27,22,55.1,4.08,96.39,10.64,90.84,1.015
4,Montreal Canadiens,56,3409:14,24,21,11,23,59,0.527,3265,2879,53.14,2399,2195,52.22,1746,1580,52.5,158,165,48.92,145.02,145.26,49.96,1571,1419,52.54,898,848,51.43,129,138,48.31,14.37,83.73,580,584,49.83,427,433,49.65,88,88,50.0,20.61,79.68,991,835,54.27,471,415,53.16,41,50,45.05,8.7,87.95,1480,1236,54.49,775,640,54.77,26,23,53.06,3.35,96.41,9.05,89.56,0.986
5,Toronto Maple Leafs,56,3386:10,35,14,7,34,77,0.688,3124,2897,51.89,2411,2189,52.41,1751,1559,52.9,186,148,55.69,173.77,136.32,56.04,1811,1453,55.48,1118,819,57.72,159,122,56.58,14.22,85.1,735,528,58.19,556,387,58.96,102,81,55.74,18.35,79.07,1076,925,53.77,562,432,56.54,57,41,58.16,10.14,90.51,1150,1250,47.92,573,663,46.36,26,23,53.06,4.54,96.53,10.62,90.51,1.011
6,Vancouver Canucks,56,3389:14,23,29,4,20,50,0.446,2965,3370,46.8,2238,2565,46.6,1629,1870,46.56,148,187,44.18,141.53,181.16,43.86,1421,1811,43.97,819,1091,42.88,123,156,44.09,15.02,85.7,537,682,44.05,380,504,42.99,71,103,40.8,18.68,79.56,884,1129,43.91,439,587,42.79,52,53,49.52,11.85,90.97,1305,1358,49.0,700,707,49.75,21,24,46.67,3.0,96.61,9.09,90.0,0.991
7,Edmonton Oilers,56,3369:04,35,19,2,35,72,0.643,3025,3132,49.13,2284,2331,49.49,1676,1717,49.4,183,154,54.3,159.72,145.88,52.27,1512,1559,49.23,929,937,49.79,152,128,54.29,16.36,86.34,624,589,51.44,473,429,52.44,83,73,53.21,17.55,82.98,888,970,47.79,456,508,47.3,69,55,55.65,15.13,89.17,1292,1359,48.74,663,691,48.97,22,24,47.83,3.32,96.53,10.92,91.03,1.019
8,St Louis Blues,56,3415:30,27,20,9,25,63,0.563,2885,3085,48.32,2145,2325,47.99,1622,1670,49.27,167,167,50.0,132.44,158.7,45.49,1367,1464,48.29,846,883,48.93,135,137,49.63,15.96,84.48,475,625,43.18,359,432,45.39,80,87,47.9,22.28,79.86,892,839,51.53,487,451,51.92,55,50,52.38,11.29,88.91,1289,1390,48.11,695,718,49.19,29,27,51.79,4.17,96.24,10.3,90.0,1.003
9,Colorado Avalanche,56,3378:39,39,13,4,39,82,0.732,3613,2635,57.83,2657,1958,57.57,1937,1423,57.65,197,132,59.88,178.79,120.84,59.67,1790,1197,59.93,1079,729,59.68,163,106,60.59,15.11,85.46,702,481,59.34,512,369,58.12,93,55,62.84,18.16,85.09,1088,716,60.31,567,360,61.17,70,51,57.85,12.35,85.83,1608,1220,56.86,792,613,56.37,30,22,57.69,3.79,96.41,10.17,90.72,1.009
