,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,4995:52,39,32,11,34,89,0.543,4363,4771,47.77,3422,3828,47.2,2472,2737,47.46,233,243,48.95,222.64,250.8,47.03,2122,2264,48.38,1354,1430,48.64,199,179,52.65,14.7,87.48,878,1030,46.02,669,793,45.76,132,123,51.76,19.73,84.49,1244,1234,50.2,685,637,51.82,67,56,54.47,9.78,91.21,1964,2242,46.7,1037,1244,45.46,29,58,33.33,2.8,95.34,9.43,91.12,1.005
1,Atlanta Thrashers,82,4987:59,35,34,13,31,83,0.506,4349,4672,48.21,3251,3603,47.43,2410,2717,47.01,230,250,47.92,208.11,251.93,45.24,2019,2320,46.53,1323,1552,46.02,183,199,47.91,13.83,87.18,777,1025,43.12,618,834,42.56,119,140,45.95,19.26,83.21,1242,1295,48.96,705,718,49.54,64,59,52.03,9.08,91.78,2032,2076,49.46,1014,1106,47.83,45,45,50.0,4.44,95.93,9.54,90.8,1.003
2,Boston Bruins,82,5032:31,39,30,13,29,91,0.555,4686,4210,52.68,3531,3238,52.16,2599,2445,51.53,196,191,50.65,203.68,195.1,51.07,1926,1834,51.22,1231,1247,49.68,154,153,50.16,12.51,87.73,812,750,51.98,638,614,50.96,112,110,50.45,17.55,82.08,1114,1084,50.68,593,633,48.37,42,43,49.41,7.08,93.21,2346,2075,53.06,1258,1100,53.35,40,34,54.05,3.18,96.91,7.54,92.19,0.997
3,Buffalo Sabres,82,4991:46,45,27,10,41,100,0.61,4564,4541,50.13,3492,3545,49.62,2588,2574,50.14,231,201,53.47,218.11,221.35,49.63,2151,2067,51.0,1379,1319,51.11,185,151,55.06,13.42,88.55,959,930,50.77,748,710,51.3,147,109,57.42,19.65,84.65,1192,1137,51.18,631,609,50.89,38,42,47.5,6.02,93.1,2095,2147,49.39,1155,1171,49.66,44,47,48.35,3.81,95.99,8.93,92.19,1.011
4,Carolina Hurricanes,82,4991:41,35,37,10,31,80,0.488,4628,4842,48.87,3413,3666,48.21,2402,2574,48.27,226,251,47.38,237.54,259.36,47.8,2181,2433,47.27,1262,1404,47.34,183,204,47.29,14.5,85.47,976,1102,46.97,687,776,46.96,131,150,46.62,19.07,80.67,1205,1331,47.52,575,628,47.8,52,54,49.06,9.04,91.4,2004,2070,49.19,1049,1095,48.93,40,41,49.38,3.81,96.26,9.41,90.25,0.997
5,Columbus Blue Jackets,82,4997:20,32,35,15,30,79,0.482,4053,4475,47.53,3093,3446,47.3,2338,2515,48.18,214,249,46.22,199.94,215.52,48.12,1836,2065,47.06,1191,1291,47.99,166,203,44.99,13.94,84.28,843,838,50.15,681,662,50.71,120,131,47.81,17.62,80.21,993,1227,44.73,510,629,44.78,46,72,38.98,9.02,88.55,1840,2043,47.39,1075,1159,48.12,44,43,50.57,4.09,96.29,9.15,90.1,0.993
6,Calgary Flames,82,4979:54,40,32,10,37,90,0.549,4572,4400,50.96,3356,3338,50.13,2351,2372,49.78,201,203,49.75,195.58,199.9,49.45,1848,1807,50.56,1123,1168,49.02,157,159,49.68,13.98,86.39,723,772,48.36,550,599,47.87,105,116,47.51,19.09,80.63,1125,1035,52.08,573,569,50.18,52,43,54.74,9.08,92.44,2279,2165,51.28,1138,1125,50.29,38,41,48.1,3.34,96.36,8.55,91.44,1.0
7,Chicago Blackhawks,82,5012:32,52,22,8,43,112,0.683,4979,3866,56.29,3781,2799,57.46,2799,2058,57.63,262,203,56.34,235.83,189.09,55.5,2319,1894,55.04,1464,1152,55.96,216,163,56.99,14.75,85.85,911,730,55.51,743,602,55.24,150,115,56.6,20.19,80.9,1408,1164,54.74,721,550,56.73,66,48,57.89,9.15,91.27,2349,1707,57.91,1292,858,60.09,45,37,54.88,3.48,95.69,9.36,90.14,0.995
8,Colorado Avalanche,82,4995:06,43,30,9,36,95,0.579,3994,4845,45.19,3053,3619,45.76,2288,2629,46.53,237,228,50.97,207.47,225.04,47.97,1958,2167,47.47,1271,1300,49.44,202,188,51.79,15.89,85.54,872,902,49.15,702,684,50.65,144,133,51.99,20.51,80.56,1086,1265,46.19,569,616,48.02,58,55,51.33,10.19,91.07,1732,2278,43.19,953,1247,43.32,34,38,47.22,3.57,96.95,10.36,91.33,1.017
9,Dallas Stars,82,5017:58,37,31,14,30,88,0.537,4598,4771,49.08,3519,3621,49.29,2524,2560,49.65,230,244,48.52,215.29,214.96,50.04,2080,2092,49.86,1303,1301,50.04,185,195,48.68,14.2,85.01,902,853,51.4,676,647,51.1,131,135,49.25,19.38,79.13,1178,1239,48.74,627,654,48.95,54,60,47.37,8.61,90.83,2086,2288,47.69,1109,1193,48.18,41,45,47.67,3.7,96.23,9.11,90.47,0.996
