,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,4985:38,23,47,12,20,58,0.354,4234,5565,43.21,3184,4364,42.18,2326,3208,42.03,206,335,38.08,218.47,322.95,40.35,2097,2995,41.18,1216,1867,39.44,164,262,38.5,13.49,85.97,878,1357,39.28,623,1004,38.29,102,175,36.82,16.37,82.57,1219,1638,42.67,593,863,40.73,62,87,41.61,10.46,89.92,1778,2340,43.18,887,1220,42.1,39,67,36.79,4.4,94.51,8.86,89.56,0.984
1,Arizona Coyotes,82,4991:49,28,40,14,25,70,0.427,3954,5229,43.06,2963,4003,42.54,2121,2875,42.45,225,295,43.27,205.79,294.71,41.12,2056,2819,42.17,1210,1655,42.23,188,246,43.32,15.54,85.14,823,1161,41.48,576,815,41.41,109,154,41.44,18.92,81.1,1233,1658,42.65,634,840,43.01,79,92,46.2,12.46,89.05,1688,2193,43.49,809,1103,42.31,35,44,44.3,4.33,96.01,10.61,89.74,1.003
2,Boston Bruins,82,4982:45,65,12,5,61,135,0.823,4833,4567,51.41,3653,3421,51.64,2704,2447,52.49,301,174,63.37,270.46,228.78,54.17,2674,2354,53.18,1611,1331,54.76,243,144,62.79,15.08,89.18,1098,941,53.85,804,673,54.43,142,94,60.17,17.66,86.03,1576,1413,52.73,807,658,55.09,101,50,66.89,12.52,92.4,1974,1966,50.1,969,947,50.57,50,26,65.79,5.16,97.25,11.13,92.89,1.04
3,Buffalo Sabres,82,4976:53,42,33,7,39,91,0.555,4777,4587,51.01,3630,3660,49.79,2666,2711,49.58,293,297,49.66,268.91,272.77,49.64,2551,2526,50.25,1516,1573,49.08,237,244,49.27,15.63,84.49,1018,1125,47.5,725,823,46.83,139,153,47.6,19.17,81.41,1533,1401,52.25,791,750,51.33,98,91,51.85,12.39,87.87,1996,1873,51.59,1005,1011,49.85,49,48,50.52,4.88,95.25,10.99,89.04,1.0
4,Carolina Hurricanes,82,4990:32,52,21,9,48,113,0.689,5606,3757,59.87,4225,2923,59.11,2852,2133,57.21,262,210,55.51,296.28,218.59,57.54,2771,1920,59.07,1551,1215,56.07,216,178,54.82,13.93,85.35,1237,942,56.77,832,670,55.39,137,111,55.24,16.47,83.43,1534,978,61.07,719,545,56.88,79,67,54.11,10.99,87.71,2543,1517,62.64,1200,750,61.54,40,28,58.82,3.33,96.27,9.19,90.15,0.993
5,Columbus Blue Jackets,82,4967:00,25,48,9,24,59,0.36,4544,5422,45.6,3376,4079,45.29,2400,2906,45.23,213,329,39.3,233.14,287.46,44.78,2242,2758,44.84,1302,1596,44.93,165,269,38.02,12.67,83.15,901,1134,44.28,618,802,43.52,97,164,37.16,15.7,79.55,1341,1624,45.23,684,794,46.28,68,105,39.31,9.94,86.78,1986,2368,45.61,956,1181,44.74,43,52,45.26,4.5,95.6,8.88,88.68,0.976
6,Calgary Flames,82,4998:38,38,27,17,36,93,0.567,5527,4193,56.86,4115,3169,56.49,2949,2243,56.8,258,247,51.09,284.62,231.09,55.19,2736,2275,54.6,1619,1359,54.37,212,211,50.12,13.09,84.47,1081,932,53.7,773,651,54.28,135,119,53.15,17.46,81.72,1655,1343,55.2,846,708,54.44,77,92,45.56,9.1,87.01,2387,1638,59.3,1130,745,60.27,43,33,56.58,3.81,95.57,8.75,88.99,0.977
7,Chicago Blackhawks,82,4967:25,26,49,7,24,59,0.36,4075,5068,44.57,3063,3785,44.73,2210,2758,44.48,202,299,40.32,207.16,274.26,43.03,1948,2679,42.1,1157,1564,42.52,174,237,42.34,15.04,84.85,796,1101,41.96,560,795,41.33,112,153,42.26,20.0,80.75,1152,1578,42.2,597,769,43.7,62,84,42.47,10.39,89.08,1848,2078,47.07,930,1065,46.62,26,51,33.77,2.8,95.21,9.14,89.16,0.983
8,Colorado Avalanche,82,4996:46,51,24,7,45,109,0.665,5004,4525,52.51,3674,3411,51.86,2729,2540,51.79,274,223,55.13,255.04,238.37,51.69,2525,2196,53.48,1510,1339,53.0,218,181,54.64,14.44,86.48,998,1016,49.55,735,729,50.2,139,122,53.26,18.91,83.26,1527,1180,56.41,775,610,55.96,79,59,57.25,10.19,90.33,2207,2003,52.42,1118,1059,51.36,49,36,57.65,4.38,96.6,10.04,91.22,1.013
9,Dallas Stars,82,4993:03,47,21,14,43,108,0.659,4986,4599,52.02,3635,3448,51.32,2618,2454,51.62,281,215,56.65,272.97,231.7,54.09,2618,2245,53.84,1531,1308,53.93,224,177,55.86,14.63,86.47,1119,937,54.43,792,665,54.36,158,113,58.3,19.95,83.01,1499,1308,53.4,739,643,53.47,66,64,50.77,8.93,90.05,2015,1994,50.26,948,998,48.72,46,34,57.5,4.85,96.59,10.73,91.24,1.02
