,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
10,Detroit Red Wings,82,4983:15,35,37,10,32,80,0.488,4289,4812,47.13,3203,3530,47.57,2312,2496,48.09,237,275,46.29,226.45,243.19,48.22,2096,2457,46.04,1225,1363,47.33,189,219,46.32,15.43,83.93,841,1021,45.17,625,693,47.42,115,134,46.18,18.4,80.66,1255,1436,46.64,600,670,47.24,74,85,46.54,12.33,87.31,1937,2070,48.34,946,984,49.02,43,51,45.74,4.55,94.82,10.25,88.98,0.992
11,Edmonton Oilers,82,4963:39,50,23,9,50,109,0.665,4900,4511,52.07,3708,3474,51.63,2755,2573,51.71,325,256,55.94,295.87,247.41,54.46,2721,2342,53.74,1654,1404,54.09,279,215,56.48,16.87,84.69,1217,940,56.42,882,686,56.25,167,133,55.67,18.93,80.61,1504,1402,51.75,772,718,51.81,112,82,57.73,14.51,88.58,1957,1945,50.15,964,1010,48.83,43,36,54.43,4.46,96.44,11.8,90.05,1.018
12,Florida Panthers,82,4960:09,42,32,8,40,92,0.561,5481,4637,54.17,4127,3573,53.6,3021,2604,53.71,288,272,51.43,310.93,269.86,53.54,2875,2368,54.84,1711,1450,54.13,236,205,53.51,13.79,85.86,1301,1081,54.62,914,775,54.11,164,130,55.78,17.94,83.23,1574,1287,55.02,797,675,54.14,72,75,48.98,9.03,88.89,2302,1993,53.6,1153,1013,53.23,46,61,42.99,3.99,93.98,9.53,89.55,0.991
13,Los Angeles Kings,82,4989:20,47,25,10,41,104,0.634,4870,4579,51.54,3669,3271,52.87,2659,2289,53.74,274,254,51.89,250.08,230.77,52.01,2461,2364,51.01,1434,1277,52.9,214,206,50.95,14.92,83.87,992,912,52.1,720,624,53.57,127,129,49.61,17.64,79.33,1469,1452,50.29,714,653,52.23,87,77,53.05,12.18,88.21,2822,2461,53.42,1102,874,55.77,52,45,53.61,4.72,94.85,10.3,88.9,0.992
14,Minnesota Wild,82,5018:28,46,25,11,39,103,0.628,4794,4819,49.87,3607,3501,50.75,2535,2552,49.83,239,219,52.18,256.52,237.36,51.94,2345,2295,50.54,1357,1372,49.73,193,176,52.3,14.22,87.17,1004,918,52.24,716,670,51.66,138,113,54.98,19.27,83.13,1341,1377,49.34,641,702,47.73,55,63,46.61,8.58,91.03,2115,2256,48.39,1016,1058,48.99,40,38,51.28,3.94,96.41,9.43,91.42,1.008
15,Montreal Canadiens,82,4973:37,31,45,6,26,68,0.415,4213,5207,44.72,3063,3797,44.65,2237,2753,44.83,227,305,42.67,215.11,299.69,41.79,2063,2763,42.75,1165,1607,42.03,181,265,40.58,15.54,83.51,846,1202,41.31,581,846,40.71,106,185,36.43,18.24,78.13,1217,1561,43.81,584,761,43.42,75,80,48.39,12.84,89.49,1853,2162,46.15,938,1020,47.91,41,32,56.16,4.37,96.86,10.15,88.92,0.991
16,New Jersey Devils,82,4987:50,52,22,8,50,112,0.683,5274,4552,53.67,3898,3332,53.91,2822,2315,54.93,289,222,56.56,295.07,232.77,55.9,2733,2233,55.03,1620,1212,57.2,229,181,55.85,14.14,85.07,1134,887,56.11,821,592,58.1,149,118,55.81,18.15,80.07,1599,1346,54.3,799,620,56.31,80,63,55.94,10.01,89.84,2867,2569,52.74,1069,965,52.56,55,37,59.78,5.14,96.17,10.24,90.41,1.007
17,Nashville Predators,82,4990:21,42,32,8,36,92,0.561,4671,5159,47.52,3448,3837,47.33,2419,2729,46.99,223,236,48.58,248.86,283.91,46.71,2428,2770,46.71,1336,1609,45.37,175,201,46.54,13.1,87.51,996,1085,47.86,679,764,47.05,117,118,49.79,17.23,84.55,1432,1685,45.94,657,845,43.74,58,83,41.13,8.83,90.18,1999,2136,48.34,970,980,49.74,42,32,56.76,4.33,96.73,9.22,91.35,1.006
18,New York Islanders,82,4973:15,42,31,9,41,93,0.567,4863,4941,49.6,3540,3618,49.46,2525,2545,49.8,242,217,52.72,250.44,266.02,48.49,2519,2505,50.14,1437,1418,50.33,192,176,52.17,13.36,87.59,1063,1104,49.05,731,779,48.41,117,117,50.0,16.01,84.98,1456,1401,50.96,706,639,52.49,75,59,55.97,10.62,90.77,2020,2113,48.87,955,981,49.33,42,34,55.26,4.4,96.53,9.58,91.47,1.011
19,New York Rangers,82,4989:58,47,22,13,43,107,0.652,4812,4552,51.39,3632,3347,52.04,2583,2405,51.78,273,216,55.83,266.13,242.77,52.29,2557,2403,51.55,1415,1375,50.72,218,176,55.33,15.41,87.2,1084,1034,51.18,729,728,50.03,141,115,55.08,19.34,84.2,1473,1369,51.83,686,647,51.46,77,61,55.8,11.22,90.57,2025,1887,51.76,1054,909,53.69,49,38,56.32,4.65,95.82,10.57,91.02,1.016
20,Ottawa Senators,82,4965:16,39,35,8,37,86,0.524,5097,4802,51.49,3836,3548,51.95,2746,2572,51.64,259,270,48.96,287.69,261.67,52.37,2664,2559,51.01,1509,1458,50.86,221,224,49.66,14.65,84.64,1147,1029,52.71,800,700,53.33,145,135,51.79,18.13,80.71,1517,1530,49.79,709,758,48.33,76,89,46.06,10.72,88.26,2043,1925,51.49,1041,957,52.1,32,41,43.84,3.07,95.72,9.43,89.5,0.989
21,Philadelphia Flyers,82,4972:59,31,38,13,29,75,0.457,4463,5076,46.79,3349,3665,47.75,2416,2586,48.3,220,276,44.35,224.23,262.3,46.09,2130,2584,45.18,1223,1421,46.26,179,223,44.53,14.64,84.31,933,1090,46.12,631,726,46.5,122,131,48.22,19.33,81.96,1197,1494,44.48,592,695,46.0,57,92,38.26,9.63,86.76,2023,2236,47.5,1048,1018,50.73,38,43,46.91,3.63,95.78,9.11,89.33,0.984
22,Pittsburgh Penguins,82,4966:13,40,31,11,39,91,0.555,5206,4858,51.73,3892,3636,51.7,2818,2687,51.19,261,263,49.81,297.79,262.64,53.14,2735,2450,52.75,1581,1484,51.58,214,214,50.0,13.54,85.58,1253,1066,54.03,878,777,53.05,156,144,52.0,17.77,81.47,1482,1384,51.71,703,707,49.86,58,70,45.31,8.25,90.1,2148,2115,50.39,1058,1052,50.14,43,44,49.43,4.06,95.82,9.26,90.21,0.995
23,San Jose Sharks,82,4984:44,22,44,16,21,60,0.366,4607,5012,47.89,3384,3704,47.74,2418,2640,47.81,233,315,42.52,255.86,275.97,48.11,2496,2644,48.56,1435,1523,48.51,188,272,40.87,13.1,82.14,1070,1059,50.26,731,741,49.66,117,151,43.66,16.01,79.62,1426,1585,47.36,704,782,47.38,71,121,36.98,10.09,84.53,2479,2745,47.45,863,990,46.57,39,38,50.65,4.52,96.16,9.64,88.07,0.977
24,Seattle Kraken,82,4965:39,46,28,8,46,100,0.61,4747,4353,52.16,3559,3226,52.45,2498,2217,52.98,289,252,53.42,246.33,228.59,51.87,2263,2184,50.89,1311,1193,52.36,236,213,52.56,18.0,82.15,897,942,48.78,623,626,49.88,130,139,48.33,20.87,77.8,1366,1242,52.38,688,567,54.82,106,74,58.89,15.41,86.95,2149,1917,52.85,1051,888,54.2,45,33,57.69,4.28,96.28,11.57,88.63,1.002
25,St Louis Blues,82,4969:28,37,38,7,34,81,0.494,4196,4894,46.16,3200,3721,46.24,2341,2653,46.88,260,298,46.59,220.43,278.1,44.22,2258,2602,46.46,1351,1544,46.67,219,242,47.51,16.21,84.33,843,1074,43.97,620,765,44.77,118,166,41.55,19.03,78.3,1415,1528,48.08,731,779,48.41,101,76,57.06,13.82,90.24,1718,2031,45.83,855,985,46.47,37,47,44.05,4.33,95.23,11.11,88.77,0.999
26,Tampa Bay Lightning,82,4966:04,46,30,6,43,98,0.598,4914,4656,51.35,3700,3508,51.33,2621,2582,50.37,280,252,52.63,273.99,259.93,51.32,2650,2471,51.75,1518,1450,51.15,222,205,51.99,14.62,85.86,1107,1020,52.05,772,749,50.76,149,126,54.18,19.3,83.18,1543,1451,51.54,746,701,51.55,73,79,48.03,9.79,88.73,2711,2507,51.95,994,1024,49.26,51,44,53.68,5.13,95.7,10.68,90.24,1.009
27,Toronto Maple Leafs,82,4964:53,50,21,11,49,111,0.677,4767,4615,50.81,3639,3401,51.69,2629,2420,52.07,278,220,55.82,281.64,239.22,54.07,2763,2344,54.1,1611,1309,55.17,241,179,57.38,14.96,86.33,1225,991,55.28,884,679,56.56,158,99,61.48,17.87,85.42,1538,1353,53.2,727,630,53.57,83,80,50.92,11.42,87.3,1804,2021,47.16,914,978,48.31,33,36,47.83,3.61,96.32,10.57,90.91,1.015
28,Vancouver Canucks,82,4991:47,38,37,7,32,83,0.506,4514,4656,49.23,3387,3517,49.06,2438,2527,49.1,270,296,47.7,245.67,258.32,48.75,2390,2440,49.48,1412,1438,49.54,223,237,48.48,15.79,83.52,1020,1045,49.39,737,745,49.73,152,155,49.51,20.62,79.19,1370,1395,49.55,675,693,49.34,71,82,46.41,10.52,88.17,1876,1940,49.16,910,940,49.19,40,50,44.44,4.4,94.68,11.07,88.29,0.994
29,Vegas Golden Knights,82,4997:30,51,22,9,46,111,0.677,4786,5056,48.63,3524,3563,49.72,2587,2534,50.52,267,225,54.27,257.25,239.22,51.82,2433,2462,49.7,1464,1321,52.57,228,182,55.61,15.57,86.22,1069,915,53.88,773,646,54.47,145,108,57.31,18.76,83.28,1364,1547,46.86,691,675,50.59,83,74,52.87,12.01,89.04,2020,2304,46.72,965,1071,47.4,32,38,45.71,3.32,96.45,10.32,91.12,1.014
30,Winnipeg Jets,82,4951:37,46,33,3,45,95,0.579,4837,4557,51.49,3626,3444,51.29,2486,2487,49.99,246,224,52.34,267.42,251.25,51.56,2502,2301,52.09,1397,1364,50.6,207,174,54.33,14.82,87.24,1084,998,52.07,714,672,51.52,129,119,52.02,18.07,82.29,1418,1303,52.11,683,692,49.67,78,55,58.65,11.42,92.05,2020,1944,50.96,968,977,49.77,35,44,44.3,3.62,95.5,9.9,90.99,1.009
31,Washington Capitals,82,4977:17,35,37,10,33,80,0.488,4861,4886,49.87,3579,3612,49.77,2549,2549,50.0,253,261,49.22,253.93,268.9,48.57,2428,2420,50.08,1406,1396,50.18,214,205,51.07,15.22,85.32,1014,1030,49.61,719,708,50.39,134,143,48.38,18.64,79.8,1414,1390,50.43,687,688,49.96,80,62,56.34,11.64,90.99,2093,2156,49.26,983,1016,49.17,32,49,39.51,3.26,95.18,9.93,89.76,0.997
