,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20102011/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,2,duncankeith,42,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
1,8467096,Dan Boyle,SJS,D,https://assets.nhle.com/mugs/nhl/20102011/SJS/8467096.png,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,22,danboyle,49,1976-07-12,Ottawa,ON,CAN,CAN,71,194,-,-,-,-,-
2,8470151,Jay Bouwmeester,CGY,D,https://assets.nhle.com/mugs/nhl/20102011/CGY/8470151.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,19,jaybouwmeester,41,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
3,8471686,Marc Staal,NYR,D,https://assets.nhle.com/mugs/nhl/20102011/NYR/8471686.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,18,marcstaal,38,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
4,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20102011/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20102011_light.svg,8,drewdoughty,35,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
5,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20102011/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,33,zdenochara,48,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
6,8470309,Ryan Whitney,EDM,D,https://assets.nhle.com/mugs/nhl/20102011/EDM/8470309.png,https://assets.nhle.com/logos/nhl/svg/EDM_19971998-20102011_light.svg,6,ryanwhitney,42,1983-02-19,Boston,MA,USA,USA,76,209,2002,PIT,1,5,5
7,8470642,Shea Weber,NSH,D,https://assets.nhle.com/mugs/nhl/20102011/NSH/8470642.png,https://assets.nhle.com/logos/nhl/svg/NSH_19981999-20102011_light.svg,6,sheaweber,39,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
8,8470602,Dion Phaneuf,TOR,D,https://assets.nhle.com/mugs/nhl/20102011/TOR/8470602.png,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,3,dionphaneuf,40,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
9,8470600,Ryan Suter,NSH,D,https://assets.nhle.com/mugs/nhl/20102011/NSH/8470600.png,https://assets.nhle.com/logos/nhl/svg/NSH_19981999-20102011_light.svg,22,ryansuter,40,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
