,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8470834,Dustin Byfuglien,WPG,D,https://assets.nhle.com/mugs/nhl/20162017/WPG/8470834.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,33,dustinbyfuglien,40,1985-03-27,Roseau,MN,USA,USA,77,260,2003,CHI,8,16,245
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20162017/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,8,drewdoughty,35,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
2,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20162017/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,22,ryansuter,40,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
3,8474578,Erik Karlsson,OTT,D,https://assets.nhle.com/mugs/nhl/20162017/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,65,erikkarlsson,35,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
4,8477499,Rasmus Ristolainen,BUF,D,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477499.png,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,55,rasmusristolainen,30,1994-10-27,Turku,,FIN,FIN,76,221,2013,BUF,1,8,8
5,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20162017/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,2,duncankeith,42,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
6,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20162017/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,58,krisletang,38,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
7,8474565,Alex Pietrangelo,STL,D,https://assets.nhle.com/mugs/nhl/20162017/STL/8474565.png,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,7,alexpietrangelo,35,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
8,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20162017/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,35,1990-06-01,Bern,,CHE,CHE,73,201,2008,NSH,2,8,38
9,8470642,Shea Weber,MTL,D,https://assets.nhle.com/mugs/nhl/20162017/MTL/8470642.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,6,sheaweber,39,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
10,8476885,Jacob Trouba,WPG,D,https://assets.nhle.com/mugs/nhl/20162017/WPG/8476885.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,65,jaketrouba,31,1994-02-26,Rochester,MI,USA,USA,75,203,2012,WPG,1,9,9
11,8470613,Brent Burns,SJS,D,https://assets.nhle.com/mugs/nhl/20162017/SJS/8470613.png,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,8,brentburns,40,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
12,8475764,Cam Fowler,ANA,D,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475764.png,https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg,17,camfowler,33,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,ANA,1,12,12
13,8475171,Oliver Ekman-Larsson,ARI,D,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475171.png,https://assets.nhle.com/logos/nhl/svg/ARI_20142015-20202021_light.svg,95,oliverekmanlarsson,34,1991-07-17,Karlskrona,,SWE,SWE,74,200,2009,PHX,1,6,6
14,8475167,Victor Hedman,TBL,D,https://assets.nhle.com/mugs/nhl/20162017/TBL/8475167.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,77,victorhedman,34,1990-12-18,Ornskoldsvik,,SWE,SWE,79,244,2009,T.B,1,2,2
15,8474056,P.K. Subban,NSH,D,https://assets.nhle.com/mugs/nhl/20162017/NSH/8474056.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,76,pksubban,36,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,MTL,2,13,43
16,8474151,Ryan McDonagh,NYR,D,https://assets.nhle.com/mugs/nhl/20162017/NYR/8474151.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,27,ryanmcdonagh,36,1989-06-13,St. Paul,MN,USA,USA,73,215,2007,MTL,1,12,12
17,8471303,Alexander Edler,VAN,D,https://assets.nhle.com/mugs/nhl/20162017/VAN/8471303.png,https://assets.nhle.com/logos/nhl/svg/VAN_20072008-20182019_light.svg,2,alexedler,39,1986-04-21,Ostersund,,SWE,SWE,76,210,2004,VAN,3,26,91
18,8474716,Jared Spurgeon,MIN,D,https://assets.nhle.com/mugs/nhl/20162017/MIN/8474716.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,46,jaredspurgeon,35,1989-11-29,Edmonton,AB,CAN,CAN,69,166,2008,NYI,6,5,156
19,8475176,Ryan Ellis,NSH,D,https://assets.nhle.com/mugs/nhl/20162017/NSH/8475176.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,94,ryanellis,34,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,NSH,1,11,11
20,8470966,Mark Giordano,CGY,D,https://assets.nhle.com/mugs/nhl/20162017/CGY/8470966.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,55,markgiordano,41,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
21,8474673,TJ Brodie,CGY,D,https://assets.nhle.com/mugs/nhl/20162017/CGY/8474673.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,78,tjbrodie,35,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,CGY,4,23,114
22,8471242,Mike Green,DET,D,https://assets.nhle.com/mugs/nhl/20162017/DET/8471242.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,27,michaelgreen,39,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,WSH,1,29,29
23,8475218,Mattias Ekholm,NSH,D,https://assets.nhle.com/mugs/nhl/20162017/NSH/8475218.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,14,mattiasekholm,35,1990-05-24,Borlange,,SWE,SWE,76,215,2009,NSH,4,11,102
24,8476958,Jaccob Slavin,CAR,D,https://assets.nhle.com/mugs/nhl/20162017/CAR/8476958.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,74,jaccobslavin,31,1994-05-01,Denver,CO,USA,USA,75,207,2012,CAR,4,29,120
25,8477495,Seth Jones,CBJ,D,https://assets.nhle.com/mugs/nhl/20162017/CBJ/8477495.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,3,sethjones,30,1994-10-03,Arlington,TX,USA,USA,76,213,2013,NSH,1,4,4
26,8475906,John Klingberg,DAL,D,https://assets.nhle.com/mugs/nhl/20162017/DAL/8475906.png,https://assets.nhle.com/logos/nhl/svg/DAL_20122013-20202021_light.svg,3,johnklingberg,32,1992-08-14,Gothenburg,,SWE,SWE,75,190,2010,DAL,5,11,131
27,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20162017/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,33,zdenochara,48,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
28,8471274,Alex Goligoski,ARI,D,https://assets.nhle.com/mugs/nhl/20162017/ARI/8471274.png,https://assets.nhle.com/logos/nhl/svg/ARI_20142015-20202021_light.svg,33,alexgoligoski,40,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
29,8475197,Tyson Barrie,COL,D,https://assets.nhle.com/mugs/nhl/20162017/COL/8475197.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,tysonbarrie,34,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,COL,3,3,64
30,8476879,Cody Ceci,OTT,D,https://assets.nhle.com/mugs/nhl/20162017/OTT/8476879.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,44,codyceci,31,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,OTT,1,15,15
31,8475753,Justin Faulk,CAR,D,https://assets.nhle.com/mugs/nhl/20162017/CAR/8475753.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,72,justinfaulk,33,1992-03-20,South St.Paul,MN,USA,USA,72,214,2010,CAR,2,7,37
32,8470602,Dion Phaneuf,OTT,D,https://assets.nhle.com/mugs/nhl/20162017/OTT/8470602.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,3,dionphaneuf,40,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
33,8471873,Anton Stralman,TBL,D,https://assets.nhle.com/mugs/nhl/20162017/TBL/8471873.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,86,antonstralman,39,1986-08-01,Tibro,,SWE,SWE,71,193,2005,TOR,7,22,216
34,8475181,Nick Leddy,NYI,D,https://assets.nhle.com/mugs/nhl/20162017/NYI/8475181.png,https://assets.nhle.com/logos/nhl/svg/NYI_20102011-20162017_light.svg,4,nickleddy,34,1991-03-20,Eden Prairie,MN,USA,USA,72,205,2009,MIN,1,16,16
35,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20162017/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,74,johncarlson,35,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
