,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20222023/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,calemakar,26.0,1998-10-30,Calgary,AB,CAN,CAN,71.0,187.0,2017,COL,1,4,4
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20222023/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,8,drewdoughty,35.0,1989-12-08,London,ON,CAN,CAN,73.0,210.0,2008,L.A,1,2,2
2,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20222023/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,rasmusdahlin,25.0,2000-04-13,Trollhattan,,SWE,SWE,75.0,202.0,2018,BUF,1,1,1
3,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20222023/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,43,quinnhughes,25.0,1999-10-14,Orlando,FL,USA,USA,70.0,180.0,2018,VAN,1,7,7
4,8474578,Erik Karlsson,SJS,D,https://assets.nhle.com/mugs/nhl/20222023/SJS/8474578.png,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,65,erikkarlsson,35.0,1990-05-31,Landsbro,,SWE,SWE,72.0,190.0,2008,OTT,1,15,15
5,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20222023/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,4,miroheiskanen,26.0,1999-07-18,Espoo,,FIN,FIN,73.0,195.0,2017,DAL,1,3,3
6,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20222023/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,35.0,1990-06-01,Bern,,CHE,CHE,73.0,201.0,2008,NSH,2,8,38
7,8478038,Devon Toews,COL,D,https://assets.nhle.com/mugs/nhl/20222023/COL/8478038.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,7,devontoews,31.0,1994-02-21,Abbotsford,BC,CAN,CAN,73.0,191.0,2014,NYI,4,18,108
8,8478469,Thomas Chabot,OTT,D,https://assets.nhle.com/mugs/nhl/20222023/OTT/8478469.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,72,thomaschabot,28.0,1997-01-30,Sainte-Marie,QC,CAN,CAN,74.0,195.0,2015,OTT,1,18,18
9,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20222023/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,58,krisletang,38.0,1987-04-24,Montreal,QC,CAN,CAN,72.0,201.0,2005,PIT,3,1,62
