,PlayerID,Player,Position,Team,Age,ATOI,Gper1kChunk,A1per1kChunk,A2per1kChunk
0,8475625,Matt Irwin,D,WSH,28,74.95157148205877,2.979529776224276,2.8701754314143484,2.8941987200481134
1,8470378,Andre Benoit,D,STL,31,45.23980090563266,1.136297947022973,2.1806830894656297,2.350542952374714
2,8470222,James Wisniewski,D,CAR,31,33.821812497393196,2.70159748705422,3.8781795327256363,4.11937156537684
3,8474578,Erik Karlsson,D,PIT,25,29.063817456098146,3.367121461891854,7.36557819788843,6.523797832415467
4,8470600,Ryan Suter,D,DAL,30,28.58908956380073,1.7060358125350739,4.478344007904569,4.691598484471453
5,8474563,Drew Doughty,D,LAK,26,28.023022676962796,3.0468341941848553,3.9173582496662425,4.13498926353659
6,8471724,Kris Letang,D,PIT,28,27.018267338450034,4.135821330755258,5.956330436821533,7.048222289434719
7,8474056,P.K. Subban,D,NJD,26,26.4108783579725,1.9512491110694958,6.057087600040066,6.198292786819743
8,8474565,Alex Pietrangelo,D,VGK,25,26.37000038584343,1.8689352174294929,4.932863067203283,3.0350093485591567
9,8470613,Brent Burns,D,CAR,30,25.992003721115857,6.365372374283896,5.893863309522126,5.422354244760356
10,8474600,Roman Josi,D,NSH,25,25.473698324602697,3.3862601592649755,7.943864620315432,3.3952887074125955
11,8477499,Rasmus Ristolainen,D,PHI,21,25.468562481965648,2.1707495517803816,3.6179159196339694,4.1003047089184985
12,8470642,Shea Weber,D,MTL,30,25.348900793991138,4.9857919535324795,4.234273658236864,3.5449443953330517
13,8474673,TJ Brodie,D,TOR,25,25.306217599252108,1.729591516520426,4.4075719168192435,6.098416801380482
14,8470834,Dustin Byfuglien,D,WPG,30,25.290843970532023,4.66085087971669,4.893200264761589,3.4410544385121504
15,8470281,Duncan Keith,D,EDM,32,25.2407220906786,2.547562925669436,4.481388811608327,5.441389670057016
16,8467400,Francois Beauchemin,D,ANA,35,25.153365968108286,1.9450049840752714,1.4587537380564535,4.862512460188179
17,8470966,Mark Giordano,D,TOR,32,24.79372262032291,5.164738770792088,4.180979004926928,4.426918946393219
18,8471702,Matt Niskanen,D,PHI,29,24.774462842424015,1.2362467548522684,2.9669922116454446,3.7087402645568055
19,8475171,Oliver Ekman-Larsson,D,FLA,24,24.77367778616345,5.52764477946271,4.232163496841589,4.731432317303093
20,8471303,Alexander Edler,D,LAK,29,24.507521352788185,2.4342194489459335,1.7553942704644456,3.909672851085535
21,8471677,Jack Johnson,D,COL,28,24.1906069930932,2.0437289066144375,1.5461909827519367,2.2611242578527357
22,8465009,Zdeno Chara,D,NYI,38,24.10742635768942,2.336216164277168,3.839290941734505,3.3395979248314633
23,8475753,Justin Faulk,D,STL,23,24.06928592357972,4.760359265219539,3.4250063162367597,3.8376916648061767
24,8474612,Travis Hamonic,D,OTT,25,23.907250304052628,1.517371558399001,1.6579738272227642,3.2304155724135875
25,8471274,Alex Goligoski,D,MIN,30,23.84361354291993,1.279339519650677,3.5821506550218953,4.605622270742437
26,8467496,Andrei Markov,D,MTL,37,23.792753684432398,1.2790776997066866,5.883757418650758,4.093048639061397
27,8474590,John Carlson,D,WSH,25,23.758758352401777,3.02703025253432,5.835856409435606,5.019787470953462
28,8474584,Michael Del Zotto,D,OTT,25,23.55626302478666,1.8901633894284555,2.427098369960474,2.558202405254045
29,8473446,Erik Johnson,D,BUF,27,23.448923638138194,3.1870711223520556,2.6452304681740686,2.124048083157212
30,8476853,Morgan Rielly,D,TOR,21,23.380401849418213,2.362680154361729,2.1001601372104255,4.987880325874761
31,8475197,Tyson Barrie,D,NSH,24,23.309773257802544,3.5798245245339912,5.520408507132322,4.4867335473365975
32,8475233,David Savard,D,MTL,25,23.24691467957697,1.3996811546211354,2.9731628456876615,3.776352458267638
33,8471709,Marc-Edouard Vlasic,D,SJS,28,23.205596522376126,2.4548135131096247,3.762158120133119,5.1533461604320685
34,8470151,Jay Bouwmeester,D,STL,32,23.129970582193547,0.933934435610055,2.0985110794584494,2.67431139945455
35,8474162,Jake Muzzin,D,TOR,26,23.12160608968739,2.1152829190904283,3.9661554732945534,4.494976203067161
36,8475167,Victor Hedman,D,TBL,25,23.10293505619095,2.7925752618696724,6.0777876849449175,4.190743666488382
37,8471729,Kris Russell,D,EDM,28,23.07170068618206,1.418407011423354,2.6576667556980356,3.0814727721247066
38,8472382,Andy Greene,D,NYI,33,22.935235669483436,1.0624734381640457,1.3280917977050575,1.0624734381640457
39,8476850,Ryan Murray,D,EDM,22,22.907404066348125,1.0675871640436831,2.1351743280873663,3.4696582831419707
40,8475764,Cam Fowler,D,ANA,24,22.8674073423987,1.6133804417184199,3.5237804524954615,3.9579232457659854
41,8470607,Brent Seabrook,D,CHI,30,22.851000174379564,3.7722709065145974,4.044891212107348,5.387267832917119
42,8471436,Matt Hunwick,D,BUF,30,22.77690175306893,0.8277610684870772,2.005234386638672,1.4247272129575028
43,8475181,Nick Leddy,D,STL,24,22.757107285007706,1.3822579613660315,5.172370369942986,4.3662352599532905
44,8475906,John Klingberg,D,TOR,23,22.733967999629808,2.8321161075163213,5.757765852002131,7.572372695277196
45,8474716,Jared Spurgeon,D,MIN,26,22.703232199307642,3.1181032338938186,2.330633831477472,2.869042785996
46,8476457,Adam Larsson,D,SEA,23,22.592445707554553,0.8125236986078761,1.6250473972157522,2.4375710958236283
47,8474628,Michael Stone,D,CGY,25,22.577741365248638,1.8302153636257064,4.262085889042688,4.268984574242147
48,8474574,Tyler Myers,D,VAN,25,22.576439242757726,2.660073118735898,2.1725222796109653,3.2811376498095135
