,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
22,Semyon Varlamov,NYI,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
23,Jacob Markstrom,VAN,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
24,Jake Allen,STL,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
25,Michael Hutchinson,"COL, TOR",G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
26,Braden Holtby,WSH,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
27,Martin Jones,S.J,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
28,Mikko Koskinen,EDM,G,37,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
29,Anders Nilsson,OTT,G,35,1990-03-19,Lulea,,SWE,SWE,78,232,2009,NYI,3,1,62
30,Robin Lehner,"CHI, VGK",G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
31,Darcy Kuemper,ARI,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
32,Carter Hutton,BUF,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
33,Cam Talbot,CGY,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
34,Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
35,Calvin Pickard,DET,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
36,Jack Campbell,"L.A, TOR",G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
37,Philipp Grubauer,COL,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
38,Louis Domingue,"N.J, VAN",G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
39,Petr Mrazek,CAR,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
40,Frederik Andersen,TOR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
41,Keith Kinkaid,MTL,G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
42,Laurent Brossoit,WPG,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
43,Anton Forsberg,CAR,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
44,Garret Sparks,VGK,G,32,1993-06-28,Elmhurst,IL,USA,USA,75,220,2011,TOR,7,9,190
45,Jordan Binnington,STL,G,32,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
46,John Gibson,ANA,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
47,Oscar Dansk,VGK,G,31,1994-02-28,Stockholm,,SWE,SWE,75,204,2012,CBJ,2,1,31
48,Malcolm Subban,"CHI, VGK",G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
49,Andrei Vasilevskiy,T.B,G,31,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
50,Matt Murray,PIT,G,31,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
51,Chris Driedger,FLA,G,31,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
52,Joonas Korpisalo,CBJ,G,31,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
53,Anthony Stolarz,ANA,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
54,Connor Hellebuyck,WPG,G,32,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
55,Linus Ullmark,BUF,G,32,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
56,Aaron Dell,S.J,G,36,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-
57,Antti Raanta,ARI,G,36,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
58,Antoine Bibeau,COL,G,31,1994-05-01,Victoriaville,QC,CAN,CAN,75,205,2013,TOR,6,21,172
59,Cal Petersen,L.A,G,30,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
60,Marcus Hogberg,OTT,G,30,1994-11-25,Orebro,,SWE,SWE,77,222,2013,OTT,3,17,78
61,Juuse Saros,NSH,G,30,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
62,Tristan Jarry,PIT,G,30,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
63,Eric Comrie,DET,G,30,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
64,Thatcher Demko,VAN,G,29,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
65,Alex Nedeljkovic,CAR,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
66,Jonas Johansson,BUF,G,29,1995-09-19,Gävle,,SWE,SWE,77,220,2014,BUF,3,1,61
67,Elvis Merzlikins,CBJ,G,31,1994-04-13,Riga,,LVA,LVA,75,183,2014,CBJ,3,16,76
68,Kaapo Kahkonen,MIN,G,28,1996-08-16,Helsinki,,FIN,FIN,74,217,2014,MIN,4,19,109
69,Igor Shesterkin,NYR,G,29,1995-12-30,Moscow,,RUS,RUS,73,189,2014,NYR,4,28,118
70,Mackenzie Blackwood,N.J,G,28,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,N.J,2,12,42
71,Sam Montembeault,FLA,G,28,1996-10-30,Bécancour,QC,CAN,CAN,75,214,2015,FLA,3,16,77
72,Ilya Samsonov,WSH,G,28,1997-02-22,Magnitogorsk,,RUS,RUS,75,214,2015,WSH,1,22,22
73,Adin Hill,ARI,G,29,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
74,David Ayres,CAR,G,-,-,-,-,-,-,-,-,-,-,-,-,-
75,Kasimir Kaskisuo,TOR,G,31,1993-10-02,Vantaa,,FIN,FIN,75,203,-,-,-,-,-
76,Charlie Lindgren,MTL,G,31,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
77,Alex Lyon,PHI,G,32,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-
78,Carter Hart,PHI,G,27,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48
79,David Rittich,CGY,G,32,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
80,Adam Werner,COL,G,28,1997-05-02,Mariestad,,SWE,SWE,77,205,2016,COL,5,10,131
81,Michael Dipietro,VAN,G,26,1999-06-09,Windsor,ON,CAN,CAN,72,200,2017,VAN,3,2,64
82,Cayden Primeau,MTL,G,26,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199
83,Matiss Kivlenieks,CBJ,G,28,1996-08-26,Riga,,LVA,USA,74,183,-,-,-,-,-
84,Gilles Senn,N.J,G,29,1996-03-01,Bülach,,CHE,CHE,77,191,2017,N.J,5,5,129
85,Alexandar Georgiev,NYR,G,29,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-
86,Pavel Francouz,COL,G,35,1990-06-03,Plzen,,CZE,CSK,72,179,-,-,-,-,-
