,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
35,Al Montoya,WPG,G,40,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6
36,Devan Dubnyk,EDM,G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
37,Cory Schneider,VAN,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
38,Justin Peters,CAR,G,38,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38
39,Thomas Greiss,S.J,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
40,Anton Khudobin,BOS,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
41,Daniel Taylor,CGY,G,39,1986-04-28,Plymouth,,GBR,GBR,72,198,2004,L.A,7,28,221
42,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
43,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
44,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
45,Jeff Frazee,N.J,G,38,1987-05-13,Edina,MN,USA,USA,72,195,2005,N.J,2,8,38
46,Ondrej Pavelec,WPG,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
47,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
48,Ben Bishop,"OTT, T.B",G,38,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85
49,Alex Stalock,S.J,G,38,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
50,Niklas Backstrom,MIN,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
51,Leland Irving,CGY,G,37,1988-04-11,Barrhead,AB,CAN,CAN,72,177,2006,CGY,1,26,26
52,Chad Johnson,PHX,G,39,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125
53,Steve Mason,"CBJ, PHI",G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
54,James Reimer,TOR,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
55,Jhonas Enroth,BUF,G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
56,Jonathan Bernier,L.A,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
57,Semyon Varlamov,COL,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
58,Michal Neuvirth,WSH,G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
59,Richard Bachman,DAL,G,38,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120
60,Cedrick Desjardins,T.B,G,39,1985-09-30,Edmundston,NB,CAN,CAN,72,188,-,-,-,-,-
61,Jonas Hiller,ANA,G,43,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-
62,Antti Niemi,S.J,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
63,Jacob Markstrom,FLA,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
64,Jake Allen,STL,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
65,Braden Holtby,WSH,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
66,Kevin Poulin,NYI,G,35,1990-04-12,Montreal,QC,CAN,CAN,74,206,2008,NYI,5,5,126
67,Anders Lindback,T.B,G,37,1988-05-03,Gävle,,SWE,SWE,78,215,2008,NSH,7,26,207
68,Robin Lehner,OTT,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
69,Matt Hackett,MIN,G,35,1990-03-07,London,ON,CAN,CAN,74,179,2009,MIN,3,16,77
70,Darcy Kuemper,MIN,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
71,Jonas Gustavsson,DET,G,40,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-
72,Carter Hutton,CHI,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
73,Jussi Rynnas,TOR,G,38,1987-05-22,Pori,,FIN,FIN,77,210,-,-,-,-,-
74,Ben Scrivens,TOR,G,38,1986-09-11,Spruce Grove,AB,CAN,CAN,74,181,-,-,-,-,-
75,Sergei Bobrovsky,CBJ,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
76,Sami Aittokallio,COL,G,33,1992-08-06,Tampere,,FIN,FIN,73,185,2010,COL,4,17,107
77,Philipp Grubauer,WSH,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
78,Petr Mrazek,DET,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
79,Keith Kinkaid,N.J,G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
80,Viktor Fasth,ANA,G,43,1982-08-08,Kalix,,SWE,SWE,72,181,-,-,-,-,-
81,Cristopher Nilstorp,DAL,G,41,1984-02-16,Malmö,,SWE,SWE,75,190,-,-,-,-,-
