,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
1,Nikolai Khabibulin,EDM,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
2,Jose Theodore,FLA,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44
3,Johan Hedberg,N.J,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218
4,Evgeni Nabokov,NYI,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
5,Tomas Vokoun,PIT,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226
6,Jean-Sebastien Giguere,COL,G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
7,Martin Biron,NYR,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
8,Brian Boucher,PHI,G,48,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22
9,Miikka Kiprusoff,CGY,G,48,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116
10,Chris Mason,NSH,G,49,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122
11,Mathieu Garon,T.B,G,47,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44
12,Roberto Luongo,VAN,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
13,Scott Clemmensen,FLA,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
14,Jason LaBarbera,PHX,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
15,Craig Anderson,OTT,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
16,Ryan Miller,BUF,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
17,Michael Leighton,PHI,G,44,1981-05-19,Petrolia,ON,CAN,CAN,75,186,1999,CHI,6,8,165
18,Rick DiPietro,NYI,G,43,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1
19,Ilya Bryzgalov,PHI,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
20,Dan Ellis,CAR,G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
21,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
22,Peter Budaj,MTL,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
23,Ray Emery,CHI,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
24,Mike Smith,PHX,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
25,Joey MacDonald,CGY,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
26,Kari Lehtonen,DAL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
27,Josh Harding,MIN,G,41,1984-06-18,Regina,SK,CAN,CAN,74,194,2002,MIN,2,8,38
28,Cam Ward,CAR,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
29,Marc-Andre Fleury,PIT,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
30,Corey Crawford,CHI,G,40,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52
31,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
32,Jaroslav Halak,STL,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
33,Brian Elliott,STL,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
34,Yann Danis,EDM,G,44,1981-06-21,Lafontaine,QC,CAN,CAN,71,180,-,-,-,-,-
