,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
1,Chris Osgood,DET,G,52,1972-11-26,Peace River,AB,CAN,CAN,70,180,1991,DET,3,10,54
2,Nikolai Khabibulin,EDM,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
3,Patrick Lalime,BUF,G,51,1974-07-07,St. Bonaventure,QC,CAN,CAN,75,192,1993,PIT,6,26,156
4,Jose Theodore,MIN,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44
5,Marty Turco,CHI,G,50,1975-08-13,Sault Ste. Marie,ON,CAN,CAN,71,184,1994,DAL,5,20,124
6,Tim Thomas,BOS,G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217
7,Johan Hedberg,N.J,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218
8,Tomas Vokoun,FLA,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226
9,Dwayne Roloson,"NYI, T.B",G,55,1969-10-12,Simcoe,ON,CAN,CAN,73,170,-,-,-,-,-
10,Jean-Sebastien Giguere,TOR,G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
11,Martin Biron,NYR,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
12,Brian Boucher,PHI,G,48,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22
13,Miikka Kiprusoff,CGY,G,48,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116
14,Chris Mason,ATL,G,49,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122
15,Brent Johnson,PIT,G,48,1977-03-12,Farmington,MI,USA,USA,75,199,1995,COL,5,25,129
16,Mathieu Garon,CBJ,G,47,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44
17,Roberto Luongo,VAN,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
18,Scott Clemmensen,FLA,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
19,Jason LaBarbera,PHX,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
20,Andrew Raycroft,DAL,G,45,1980-05-04,Belleville,ON,CAN,CAN,73,180,1998,BOS,5,21,135
21,Antero Niittymaki,S.J,G,45,1980-06-18,Turku,,FIN,FIN,73,195,1998,PHI,6,23,168
22,Alex Auld,MTL,G,44,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,FLA,2,12,40
23,Craig Anderson,"COL, OTT",G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
24,Ryan Miller,BUF,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
25,Michael Leighton,PHI,G,44,1981-05-19,Petrolia,ON,CAN,CAN,75,186,1999,CHI,6,8,165
26,Rick DiPietro,NYI,G,43,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1
27,Ilya Bryzgalov,PHX,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
28,Dan Ellis,"ANA, T.B",G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
29,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
30,Ty Conklin,STL,G,49,1976-03-30,Anchorage,AK,USA,USA,73,185,-,-,-,-,-
31,Pascal Leclaire,OTT,G,42,1982-11-07,Repentigny,QC,CAN,CAN,74,202,2001,CBJ,1,8,8
32,Peter Budaj,COL,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
33,Ray Emery,ANA,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
34,Mike Smith,T.B,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
35,Martin Gerber,EDM,G,50,1974-09-03,Burgdorf,,CHE,CHE,72,205,2001,ANA,8,5,232
36,Joey MacDonald,DET,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
37,Mike McKenna,N.J,G,42,1983-04-11,St. Louis,MO,USA,USA,74,183,2002,NSH,6,6,172
38,Kari Lehtonen,DAL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
39,Curtis McElhinney,"ANA, OTT",G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
40,David Leneveu,CBJ,G,42,1983-05-23,Fernie,BC,CAN,CAN,73,190,2002,PHX,2,16,46
41,Cam Ward,CAR,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
42,Marc-Andre Fleury,PIT,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
