,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Craig Anderson,WSH,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
1,Ryan Miller,ANA,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
2,Mike Smith,EDM,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
3,Curtis McElhinney,T.B,G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
4,Marc-Andre Fleury,VGK,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
5,Jaroslav Halak,BOS,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
6,Brian Elliott,PHI,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
7,Devan Dubnyk,"COL, S.J",G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
8,Thomas Greiss,DET,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
9,Anton Khudobin,DAL,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
10,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
11,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
12,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
13,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
14,James Reimer,CAR,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
15,Jonathan Bernier,DET,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
16,Semyon Varlamov,NYI,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
17,Jacob Markstrom,CGY,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
18,Jake Allen,MTL,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
19,Michael Hutchinson,TOR,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
20,Braden Holtby,VAN,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
21,Dustin Tokarski,BUF,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
22,Martin Jones,S.J,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
23,Mikko Koskinen,EDM,G,37,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
24,Robin Lehner,VGK,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
25,Darcy Kuemper,ARI,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
26,Carter Hutton,BUF,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
27,Cam Talbot,MIN,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
28,Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
29,Calvin Pickard,DET,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
30,Jack Campbell,TOR,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
31,Scott Wedgewood,N.J,G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
32,Philipp Grubauer,COL,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
33,Louis Domingue,CGY,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
34,Petr Mrazek,CAR,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
35,Frederik Andersen,TOR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
36,Michael Houser,BUF,G,32,1992-09-13,Youngstown,OH,USA,USA,73,185,-,-,-,-,-
37,Keith Kinkaid,NYR,G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
38,Laurent Brossoit,WPG,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
39,Anton Forsberg,OTT,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
40,Jordan Binnington,STL,G,32,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
