,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Dominik Hasek,DET,G,60,1965-01-29,Pardubice,,CZE,CZE,73,166,1983,CHI,10,17,199
1,Curtis Joseph,CGY,G,58,1967-04-29,Keswick,ON,CAN,CAN,71,193,-,-,-,-,-
2,Olie Kolzig,WSH,G,55,1970-04-06,Johannesburg,,ZAF,DEU,75,224,1989,WSH,1,19,19
3,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
4,Chris Osgood,DET,G,52,1972-11-26,Peace River,AB,CAN,CAN,70,180,1991,DET,3,10,54
5,Manny Fernandez,BOS,G,50,1974-08-27,Etobicoke,ON,CAN,CAN,72,207,1992,QUE,3,4,52
6,Nikolai Khabibulin,CHI,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
7,Manny Legace,STL,G,52,1973-02-04,Toronto,ON,CAN,CAN,70,200,1993,HFD,8,6,188
8,Jocelyn Thibault,BUF,G,50,1975-01-12,Montreal,QC,CAN,CAN,71,169,1993,QUE,1,10,10
9,Kevin Weekes,N.J,G,50,1975-04-04,Toronto,ON,CAN,CAN,74,215,1993,FLA,2,15,41
10,Patrick Lalime,CHI,G,51,1974-07-07,St. Bonaventure,QC,CAN,CAN,75,192,1993,PIT,6,26,156
11,Dan Cloutier,L.A,G,49,1976-04-22,Mont-Laurier,QC,CAN,CAN,73,195,1994,NYR,1,26,26
12,Jose Theodore,COL,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44
13,Marty Turco,DAL,G,50,1975-08-13,Sault Ste. Marie,ON,CAN,CAN,71,184,1994,DAL,5,20,124
14,Tim Thomas,BOS,G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217
15,Johan Hedberg,ATL,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218
16,Evgeni Nabokov,S.J,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
17,Tomas Vokoun,FLA,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226
18,John Grahame,CAR,G,49,1975-08-31,Denver,CO,USA,USA,75,220,1994,BOS,9,21,229
19,Dwayne Roloson,EDM,G,55,1969-10-12,Simcoe,ON,CAN,CAN,73,170,-,-,-,-,-
