,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Martin Brodeur,STL,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
1,Evgeni Nabokov,T.B,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
2,Roberto Luongo,FLA,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
3,Scott Clemmensen,N.J,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
4,Jason LaBarbera,ANA,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
5,Craig Anderson,OTT,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
6,Rob Zepp,PHI,G,43,1981-09-07,Scarborough,ON,CAN,CAN,74,198,2001,CAR,4,14,110
7,Ryan Miller,VAN,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
8,Ilya Bryzgalov,ANA,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
9,Dan Ellis,FLA,G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
10,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
11,Ray Emery,PHI,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
12,Mike Smith,ARI,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
13,Mike McKenna,ARI,G,42,1983-04-11,St. Louis,MO,USA,USA,74,183,2002,NSH,6,6,172
14,Kari Lehtonen,DAL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
15,Curtis McElhinney,CBJ,G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
16,Cam Ward,CAR,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
17,Marc-Andre Fleury,PIT,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
18,Corey Crawford,CHI,G,40,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52
19,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
20,Jaroslav Halak,NYI,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
21,Brian Elliott,STL,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
22,Al Montoya,FLA,G,40,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6
23,Devan Dubnyk,"ARI, MIN",G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
24,Cory Schneider,N.J,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
25,Justin Peters,WSH,G,38,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38
26,Thomas Greiss,PIT,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
27,Karri Ramo,CGY,G,39,1986-07-01,Asikkala,,FIN,FIN,74,206,2004,T.B,6,28,191
