,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
28,Anton Khudobin,CAR,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
29,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
30,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
31,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
32,Ondrej Pavelec,WPG,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
33,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
34,Ben Bishop,T.B,G,38,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85
35,Alex Stalock,S.J,G,38,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
36,Niklas Backstrom,MIN,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
37,Chad Johnson,NYI,G,39,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125
38,Steve Mason,PHI,G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
39,Reto Berra,COL,G,38,1987-01-03,Bulach,,CHE,CHE,76,218,2006,STL,4,13,106
40,James Reimer,TOR,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
41,Jhonas Enroth,"BUF, DAL",G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
42,Jonathan Bernier,TOR,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
43,Jeff Zatkoff,PIT,G,38,1987-06-09,Detroit,MI,USA,USA,74,186,2006,L.A,3,11,74
44,Semyon Varlamov,COL,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
45,Michal Neuvirth,"BUF, NYI",G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
46,Richard Bachman,EDM,G,38,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120
47,Jonas Hiller,CGY,G,43,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-
48,Scott Darling,CHI,G,36,1988-12-22,Newport News,VA,USA,USA,78,226,2007,PHX,6,2,153
49,John Curry,MIN,G,41,1984-02-27,Shorewood,MN,USA,USA,71,185,-,-,-,-,-
50,Antti Niemi,S.J,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
51,Tom McCollum,DET,G,35,1989-12-07,Amherst,NY,USA,USA,74,220,2008,DET,1,30,30
52,Jacob Markstrom,VAN,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
53,Jake Allen,STL,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
54,Michael Hutchinson,WPG,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
55,Braden Holtby,WSH,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
56,Dustin Tokarski,MTL,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
57,Kevin Poulin,NYI,G,35,1990-04-12,Montreal,QC,CAN,CAN,74,206,2008,NYI,5,5,126
58,Anders Lindback,"BUF, DAL",G,37,1988-05-03,Gävle,,SWE,SWE,78,215,2008,NSH,7,26,207
59,Martin Jones,L.A,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
60,Robin Lehner,OTT,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
61,Matt Hackett,BUF,G,35,1990-03-07,London,ON,CAN,CAN,74,179,2009,MIN,3,16,77
62,Joni Ortio,CGY,G,34,1991-04-16,Turku,,FIN,FIN,73,190,2009,CGY,6,20,171
63,Darcy Kuemper,MIN,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
64,Jonas Gustavsson,DET,G,40,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-
65,Carter Hutton,NSH,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
66,Cam Talbot,NYR,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
67,Eddie Lack,VAN,G,37,1988-01-05,Norrtälje,,SWE,SWE,76,187,-,-,-,-,-
68,Jussi Rynnas,DAL,G,38,1987-05-22,Pori,,FIN,FIN,77,210,-,-,-,-,-
69,Ben Scrivens,EDM,G,38,1986-09-11,Spruce Grove,AB,CAN,CAN,74,181,-,-,-,-,-
70,Sergei Bobrovsky,CBJ,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
71,Calvin Pickard,COL,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
72,Tyler Bunz,EDM,G,33,1992-02-11,Regina,SK,CAN,CAN,73,205,2010,EDM,5,1,121
73,Philipp Grubauer,WSH,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
74,Louis Domingue,ARI,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
75,Petr Mrazek,DET,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
76,Frederik Andersen,ANA,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
77,Keith Kinkaid,N.J,G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
78,Laurent Brossoit,EDM,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
79,Anton Forsberg,CBJ,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
80,John Gibson,ANA,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
81,Viktor Fasth,EDM,G,43,1982-08-08,Kalix,,SWE,SWE,72,181,-,-,-,-,-
82,Niklas Svedberg,BOS,G,35,1989-09-04,Sollentuna,,SWE,SWE,73,163,-,-,-,-,-
83,Malcolm Subban,BOS,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
84,Andrei Vasilevskiy,T.B,G,31,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
85,Chris Driedger,OTT,G,31,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
86,Marek Mazanec,NSH,G,34,1991-07-18,Pisek,,CZE,CZE,76,202,2012,NSH,6,28,179
87,Mackenzie Skapski,NYR,G,31,1994-06-15,Abbotsford,BC,CAN,CAN,75,188,2013,NYR,6,19,170
88,Andrey Makarov,BUF,G,32,1993-04-20,Kazan,,RUS,RUS,74,194,-,-,-,-,-
89,Andrew Hammond,OTT,G,37,1988-02-11,Surrey,BC,CAN,CAN,74,215,-,-,-,-,-
90,Troy Grosenick,S.J,G,35,1989-08-27,Brookfield,WI,USA,USA,73,181,-,-,-,-,-
91,Antti Raanta,CHI,G,36,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
