,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Curtis Joseph,TOR,G,58,1967-04-29,Keswick,ON,CAN,CAN,71,193,-,-,-,-,-
1,Olie Kolzig,T.B,G,55,1970-04-06,Johannesburg,,ZAF,DEU,75,224,1989,WSH,1,19,19
2,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
3,Chris Osgood,DET,G,52,1972-11-26,Peace River,AB,CAN,CAN,70,180,1991,DET,3,10,54
4,Manny Fernandez,BOS,G,50,1974-08-27,Etobicoke,ON,CAN,CAN,72,207,1992,QUE,3,4,52
5,Nikolai Khabibulin,CHI,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
6,Manny Legace,STL,G,52,1973-02-04,Toronto,ON,CAN,CAN,70,200,1993,HFD,8,6,188
7,Kevin Weekes,N.J,G,50,1975-04-04,Toronto,ON,CAN,CAN,74,215,1993,FLA,2,15,41
8,Patrick Lalime,BUF,G,51,1974-07-07,St. Bonaventure,QC,CAN,CAN,75,192,1993,PIT,6,26,156
9,Jose Theodore,WSH,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44
10,Marty Turco,DAL,G,50,1975-08-13,Sault Ste. Marie,ON,CAN,CAN,71,184,1994,DAL,5,20,124
11,Tim Thomas,BOS,G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217
12,Johan Hedberg,ATL,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218
13,Evgeni Nabokov,S.J,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
14,Tomas Vokoun,FLA,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226
15,Dwayne Roloson,EDM,G,55,1969-10-12,Simcoe,ON,CAN,CAN,73,170,-,-,-,-,-
16,Jean-Sebastien Giguere,ANA,G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
17,Martin Biron,PHI,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
18,Brian Boucher,S.J,G,48,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22
19,Marc Denis,MTL,G,48,1977-08-01,Montreal,QC,CAN,CAN,73,193,1995,COL,1,25,25
20,Vesa Toskala,TOR,G,48,1977-05-20,Tampere,,FIN,FIN,70,198,1995,S.J,4,12,90
21,Miikka Kiprusoff,CGY,G,48,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116
22,Chris Mason,STL,G,49,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122
23,Brent Johnson,WSH,G,48,1977-03-12,Farmington,MI,USA,USA,75,199,1995,COL,5,25,129
24,Mathieu Garon,"EDM, PIT",G,47,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44
25,Steve Valiquette,NYR,G,47,1977-08-20,Etobicoke,ON,CAN,CAN,78,210,1996,L.A,8,1,190
26,Roberto Luongo,VAN,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
27,Scott Clemmensen,N.J,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
28,Jason LaBarbera,"L.A, VAN",G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
29,Dany Sabourin,PIT,G,44,1980-09-02,Val D'or,QC,CAN,CAN,76,204,1998,CGY,4,22,108
30,Andrew Raycroft,COL,G,45,1980-05-04,Belleville,ON,CAN,CAN,73,180,1998,BOS,5,21,135
31,Antero Niittymaki,PHI,G,45,1980-06-18,Turku,,FIN,FIN,73,195,1998,PHI,6,23,168
32,Alex Auld,OTT,G,44,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,FLA,2,12,40
33,Craig Anderson,FLA,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
34,Ryan Miller,BUF,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
35,Michael Leighton,CAR,G,44,1981-05-19,Petrolia,ON,CAN,CAN,75,186,1999,CHI,6,8,165
36,Curtis Sanford,VAN,G,45,1979-10-05,Owen sound,ON,CAN,CAN,71,187,-,-,-,-,-
37,Rick DiPietro,NYI,G,43,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1
38,Brent Krahn,DAL,G,43,1982-04-02,Winnipeg,MB,CAN,CAN,76,232,2000,CGY,1,9,9
39,Ilya Bryzgalov,PHX,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
40,Dan Ellis,NSH,G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
41,Mikael Tellqvist,"BUF, PHX",G,45,1979-09-19,Sundbyberg,,SWE,SWE,72,189,2000,TOR,3,5,70
42,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
43,Ty Conklin,DET,G,49,1976-03-30,Anchorage,AK,USA,USA,73,185,-,-,-,-,-
44,Pascal Leclaire,CBJ,G,42,1982-11-07,Repentigny,QC,CAN,CAN,74,202,2001,CBJ,1,8,8
45,Peter Budaj,COL,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
46,Mike Smith,T.B,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
47,Cristobal Huet,CHI,G,49,1975-09-03,St-Martin-d'Hères,,FRA,FRA,73,205,2001,L.A,7,18,214
48,Martin Gerber,"OTT, TOR",G,50,1974-09-03,Burgdorf,,CHE,CHE,72,205,2001,ANA,8,5,232
49,Joey MacDonald,NYI,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
50,Jeff Deslauriers,EDM,G,41,1984-05-15,St-Jean-Richelieu,QC,CAN,CAN,76,203,2002,EDM,2,1,31
51,Fredrik Norrena,CBJ,G,51,1973-11-29,Pietarsaari,,FIN,FIN,72,190,2002,T.B,7,16,213
52,Mike McKenna,T.B,G,42,1983-04-11,St. Louis,MO,USA,USA,74,183,2002,NSH,6,6,172
53,Kari Lehtonen,ATL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
54,Curtis McElhinney,CGY,G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
55,Josh Harding,MIN,G,41,1984-06-18,Regina,SK,CAN,CAN,74,194,2002,MIN,2,8,38
56,Tobias Stephan,DAL,G,41,1984-01-21,Zürich,,CHE,CHE,74,180,2002,DAL,2,4,34
57,Cam Ward,CAR,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
58,Wade Dubielewicz,CBJ,G,46,1979-01-30,Invermere,BC,CAN,CAN,70,185,-,-,-,-,-
59,Marc-Andre Fleury,PIT,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
60,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
61,Chris Holt,STL,G,40,1985-06-05,Vancouver,BC,CAN,CAN,75,229,2003,NYR,6,13,180
62,Jaroslav Halak,MTL,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
63,Brian Elliott,OTT,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
64,Yann Danis,NYI,G,44,1981-06-21,Lafontaine,QC,CAN,CAN,71,180,-,-,-,-,-
65,Al Montoya,PHX,G,40,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6
66,Marek Schwarz,STL,G,39,1986-04-01,Mlada Boleslav,,CZE,CZE,72,180,2004,STL,1,17,17
67,Cory Schneider,VAN,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
68,Justin Pogge,TOR,G,39,1986-04-22,Fort McMurray,AB,CAN,CAN,75,197,2004,TOR,3,25,90
69,Daniel Lacosta,CBJ,G,39,1986-03-28,Labrador City,NL,CAN,CAN,73,186,2004,CBJ,3,28,93
70,Karri Ramo,T.B,G,39,1986-07-01,Asikkala,,FIN,FIN,74,206,2004,T.B,6,28,191
71,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
72,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
73,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
74,Ondrej Pavelec,ATL,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
75,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
76,Ben Bishop,STL,G,38,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85
77,Niklas Backstrom,MIN,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
78,Steve Mason,CBJ,G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
79,Riku Helenius,T.B,G,37,1988-03-01,Palkane,,FIN,FIN,75,211,2006,T.B,1,15,15
80,Semyon Varlamov,WSH,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
81,Michal Neuvirth,WSH,G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
82,Josh Tordjman,PHX,G,40,1985-01-11,Montreal,QC,CAN,CAN,73,156,-,-,-,-,-
83,Jonas Hiller,ANA,G,43,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-
84,Erik Ersberg,L.A,G,43,1982-03-08,Sala,,SWE,SWE,72,165,-,-,-,-,-
85,John Curry,PIT,G,41,1984-02-27,Shorewood,MN,USA,USA,71,185,-,-,-,-,-
86,Matt Climie,DAL,G,42,1983-02-11,Leduc,AB,CAN,CAN,75,194,-,-,-,-,-
87,Antti Niemi,CHI,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
88,Peter Mannino,NYI,G,41,1984-02-17,Farmington Hills,MI,USA,USA,73,195,-,-,-,-,-
