,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
28,Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
29,Calvin Pickard,DET,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
30,Jack Campbell,TOR,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
31,Scott Wedgewood,"ARI, DAL, N.J",G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
32,Philipp Grubauer,SEA,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
33,Louis Domingue,PIT,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
34,Petr Mrazek,TOR,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
35,Frederik Andersen,CAR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
36,Michael Houser,BUF,G,32,1992-09-13,Youngstown,OH,USA,USA,73,185,-,-,-,-,-
37,Keith Kinkaid,NYR,G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
38,Laurent Brossoit,VGK,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
39,Anton Forsberg,OTT,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
40,Garret Sparks,L.A,G,32,1993-06-28,Elmhurst,IL,USA,USA,75,220,2011,TOR,7,9,190
41,Jordan Binnington,STL,G,32,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
42,Magnus Hellberg,DET,G,34,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
43,John Gibson,ANA,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
44,Maxime Lagace,T.B,G,32,1993-01-12,Saint-Augustin,QC,CAN,CAN,74,190,-,-,-,-,-
45,Malcolm Subban,BUF,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
46,Andrei Vasilevskiy,T.B,G,31,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
47,Matt Murray,OTT,G,31,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
48,Jon Gillies,"N.J, STL",G,31,1994-01-22,Concord,NH,USA,USA,78,223,2012,CGY,3,14,75
49,Chris Driedger,SEA,G,31,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
50,Joonas Korpisalo,CBJ,G,31,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
51,Anthony Stolarz,ANA,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
52,Connor Hellebuyck,WPG,G,32,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
53,Linus Ullmark,BOS,G,32,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
54,Aaron Dell,BUF,G,36,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-
55,Andrew Hammond,"MTL, N.J",G,37,1988-02-11,Surrey,BC,CAN,CAN,74,215,-,-,-,-,-
56,Antti Raanta,CAR,G,36,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
57,Cal Petersen,L.A,G,30,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
58,Juuse Saros,NSH,G,30,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
59,Zach Fucale,WSH,G,30,1995-05-28,Laval,QC,CAN,CAN,74,189,2013,MTL,2,6,36
60,Tristan Jarry,PIT,G,30,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
61,Eric Comrie,WPG,G,30,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
62,Spencer Martin,VAN,G,30,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
63,Pheonix Copley,WSH,G,33,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-
64,Thatcher Demko,VAN,G,29,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
65,Alex Nedeljkovic,DET,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
66,Vitek Vanecek,WSH,G,29,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39
67,Jonas Johansson,"COL, FLA",G,29,1995-09-19,Gävle,,SWE,SWE,77,220,2014,BUF,3,1,61
68,Elvis Merzlikins,CBJ,G,31,1994-04-13,Riga,,LVA,LVA,75,183,2014,CBJ,3,16,76
69,Ilya Sorokin,NYI,G,30,1995-08-04,Mezhdurechensk,,RUS,RUS,75,195,2014,NYI,3,18,78
70,Ville Husso,STL,G,30,1995-02-06,Helsinki,,FIN,FIN,75,200,2014,STL,4,4,94
71,Kaapo Kahkonen,"MIN, S.J",G,28,1996-08-16,Helsinki,,FIN,FIN,74,217,2014,MIN,4,19,109
72,Igor Shesterkin,NYR,G,29,1995-12-30,Moscow,,RUS,RUS,73,189,2014,NYR,4,28,118
73,Mackenzie Blackwood,N.J,G,28,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,N.J,2,12,42
74,Felix Sandstrom,PHI,G,28,1997-01-12,Gävle,,SWE,SWE,74,191,2015,PHI,3,9,70
75,Dan Vladar,CGY,G,27,1997-08-20,Prague,,CZE,CZE,77,209,2015,BOS,3,14,75
76,Sam Montembeault,MTL,G,28,1996-10-30,Bécancour,QC,CAN,CAN,75,214,2015,FLA,3,16,77
77,Ilya Samsonov,WSH,G,28,1997-02-22,Magnitogorsk,,RUS,RUS,75,214,2015,WSH,1,22,22
78,Adin Hill,S.J,G,29,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
79,Karel Vejmelka,ARI,G,29,1996-05-25,Trebic,,CZE,CZE,76,224,2015,NSH,5,24,145
80,Erik Kallgren,TOR,G,28,1996-10-14,Stockholm,,SWE,SWE,75,200,2015,ARI,7,2,183
81,Adam Huska,NYR,G,28,1997-05-12,Slovakia,,SVK,SVK,76,214,2015,NYR,7,3,184
82,Joey Daccord,SEA,G,28,1996-08-19,Boston,MA,USA,USA,74,201,2015,OTT,7,18,199
83,Michael McNiven,MTL,G,28,1997-07-09,Winnipeg,MB,CAN,CAN,73,199,-,-,-,-,-
84,Connor Ingram,NSH,G,28,1997-03-31,Saskatoon,SK,CAN,CAN,74,196,2016,T.B,3,27,88
85,Casey DeSmith,PIT,G,34,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-
86,Charlie Lindgren,STL,G,31,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
87,Alex Lyon,CAR,G,32,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-
88,Zach Sawchenko,S.J,G,27,1997-12-30,Calgary,AB,CAN,CAN,73,185,-,-,-,-,-
89,Joseph Woll,TOR,G,27,1998-07-12,Dardenne Prairie,MO,USA,USA,75,203,2016,TOR,3,1,62
90,Carter Hart,PHI,G,27,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48
91,Filip Gustavsson,OTT,G,27,1998-06-07,Skellefteå,,SWE,SWE,74,184,2016,PIT,2,25,55
92,David Rittich,NSH,G,32,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
93,Jack LaFontaine,CAR,G,27,1998-01-06,Mississauga,ON,CAN,CAN,74,204,2016,CAR,3,14,75
94,Stuart Skinner,EDM,G,26,1998-11-01,Edmonton,AB,CAN,CAN,76,206,2017,EDM,3,16,78
95,Jake Oettinger,DAL,G,26,1998-12-18,Lakeville,MN,USA,USA,77,220,2017,DAL,1,26,26
96,Michael Dipietro,VAN,G,26,1999-06-09,Windsor,ON,CAN,CAN,72,200,2017,VAN,3,2,64
97,Ukko-Pekka Luukkonen,BUF,G,26,1999-03-09,Espoo,,FIN,FIN,77,217,2017,BUF,2,23,54
98,Cayden Primeau,MTL,G,26,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199
99,Daniil Tarasov,CBJ,G,26,1999-03-27,Novokuznetsk,,RUS,RUS,77,196,2017,CBJ,3,24,86
100,Jeremy Swayman,BOS,G,26,1998-11-24,Anchorage,AK,USA,USA,74,194,2017,BOS,4,18,111
101,Logan Thompson,VGK,G,28,1997-02-25,Calgary,AB,CAN,CAN,76,205,-,-,-,-,-
102,Josef Korenar,ARI,G,27,1998-01-31,Pelhrimov,,CZE,,73,185,-,-,-,-,-
103,Alexandar Georgiev,NYR,G,29,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-
104,Collin Delia,CHI,G,31,1994-06-20,Rancho Cucamonga,CA,USA,USA,74,208,-,-,-,-,-
105,Thomas Hodges,ANA,G,32,1993-06-25,"Slough, GBR",,USA,,70,170,-,-,-,-,-
106,Lukas Dostal,ANA,G,25,2000-06-22,Brno,,CZE,CZE,74,174,2018,ANA,3,23,85
107,Pavel Francouz,COL,G,35,1990-06-03,Plzen,,CZE,CSK,72,179,-,-,-,-,-
108,Kevin Lankinen,CHI,G,30,1995-04-28,Helsinki,,FIN,FIN,74,190,-,-,-,-,-
109,Joel Hofer,STL,G,25,2000-07-30,Winnipeg,MB,CAN,CAN,77,179,2018,STL,4,14,107
110,Justus Annunen,COL,G,25,2000-03-11,Kempele,,FIN,FIN,76,210,-,-,-,-,-
111,Ivan Prosvetov,ARI,G,26,1999-03-05,Moscow,,RUS,RUS,77,195,2018,ARI,4,21,114
112,Akira Schmid,N.J,G,25,2000-05-12,Bern,,CHE,CHE,77,205,2018,N.J,5,12,136
113,Spencer Knight,FLA,G,24,2001-04-19,Stamford,CT,USA,USA,75,192,2019,FLA,1,13,13
114,Mads Sogaard,OTT,G,24,2000-12-13,Aalborg,,DNK,DNK,79,196,-,-,-,-,-
115,Hugo Alnefelt,T.B,G,24,2001-06-04,Danderyd,,SWE,SWE,74,177,2019,T.B,3,9,71
116,Pyotr Kochetkov,CAR,G,26,1999-06-25,Penza,,RUS,RUS,75,205,2019,CAR,2,5,36
117,Nico Daws,N.J,G,24,2000-12-22,Munich,,DEU,DEU,76,205,2020,N.J,3,22,84
118,Arvid Soderblom,CHI,G,25,1999-08-19,Göteborg,,SWE,SWE,75,180,-,-,-,-,-
