,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Craig Anderson,BUF,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
1,Mike Smith,EDM,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
2,Marc-Andre Fleury,"CHI, MIN",G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
3,Jaroslav Halak,VAN,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
4,Brian Elliott,T.B,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
5,Cory Schneider,NYI,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
6,Thomas Greiss,DET,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
7,Anton Khudobin,DAL,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
8,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
9,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
10,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
11,Alex Stalock,S.J,G,38,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
12,James Reimer,S.J,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
13,Jonathan Bernier,N.J,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
14,Semyon Varlamov,NYI,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
15,Jacob Markstrom,CGY,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
16,Jake Allen,MTL,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
17,Michael Hutchinson,TOR,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
18,Braden Holtby,DAL,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
19,Harri Sateri,ARI,G,35,1989-12-29,Toijala,,FIN,FIN,73,205,2008,S.J,4,15,106
20,Dustin Tokarski,BUF,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
21,Martin Jones,PHI,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
22,Mikko Koskinen,EDM,G,37,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
23,Robin Lehner,VGK,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
24,J-F Berube,CBJ,G,34,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95
25,Darcy Kuemper,COL,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
26,Carter Hutton,ARI,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
27,Cam Talbot,MIN,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
