,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
1,Nikolai Khabibulin,CHI,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
2,Tim Thomas,"DAL, FLA",G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217
3,Evgeni Nabokov,NYI,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
4,Jean-Sebastien Giguere,COL,G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
5,Martin Biron,NYR,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
6,Roberto Luongo,"FLA, VAN",G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
7,Scott Clemmensen,FLA,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
8,Jason LaBarbera,EDM,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
9,Craig Anderson,OTT,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
10,Ryan Miller,"BUF, STL",G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
11,Ilya Bryzgalov,"EDM, MIN",G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
12,Dan Ellis,"DAL, FLA",G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
13,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
14,Peter Budaj,MTL,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
15,Ray Emery,PHI,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
16,Drew MacIntyre,TOR,G,42,1983-06-24,Charlottetown,PE,CAN,CAN,73,188,2001,DET,4,25,121
17,Mike Smith,PHX,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
18,Joey MacDonald,CGY,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
19,Mike McKenna,CBJ,G,42,1983-04-11,St. Louis,MO,USA,USA,74,183,2002,NSH,6,6,172
20,Kari Lehtonen,DAL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
21,Curtis McElhinney,CBJ,G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
22,Josh Harding,MIN,G,41,1984-06-18,Regina,SK,CAN,CAN,74,194,2002,MIN,2,8,38
23,Cam Ward,CAR,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
24,Marc-Andre Fleury,PIT,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
25,Corey Crawford,CHI,G,40,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52
26,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
27,Jaroslav Halak,"STL, WSH",G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
28,Brian Elliott,STL,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
29,Al Montoya,WPG,G,40,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6
30,Devan Dubnyk,"EDM, NSH",G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
31,Cory Schneider,N.J,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
32,Justin Peters,CAR,G,38,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38
33,Thomas Greiss,PHX,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
34,Karri Ramo,CGY,G,39,1986-07-01,Asikkala,,FIN,FIN,74,206,2004,T.B,6,28,191
35,Anton Khudobin,CAR,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
36,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
37,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
38,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
39,Ondrej Pavelec,WPG,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
40,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
41,Ben Bishop,T.B,G,38,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85
42,Alex Stalock,S.J,G,38,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
43,Niklas Backstrom,MIN,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
44,Chad Johnson,BOS,G,39,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125
45,Steve Mason,PHI,G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
46,Reto Berra,"CGY, COL",G,38,1987-01-03,Bulach,,CHE,CHE,76,218,2006,STL,4,13,106
47,James Reimer,TOR,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
48,Jhonas Enroth,BUF,G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
49,Jonathan Bernier,TOR,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
50,Jeff Zatkoff,PIT,G,38,1987-06-09,Detroit,MI,USA,USA,74,186,2006,L.A,3,11,74
51,Semyon Varlamov,COL,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
52,Michal Neuvirth,"BUF, WSH",G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
53,Richard Bachman,EDM,G,38,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120
54,Cedrick Desjardins,T.B,G,39,1985-09-30,Edmundston,NB,CAN,CAN,72,188,-,-,-,-,-
