,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Marc-Andre Fleury,MIN,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
1,Jonathan Quick,NYR,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
2,James Reimer,DET,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
3,Semyon Varlamov,NYI,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
4,Jacob Markstrom,CGY,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
5,Jake Allen,"MTL, N.J",G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
6,Michael Hutchinson,DET,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
7,Martin Jones,TOR,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
8,Darcy Kuemper,WSH,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
9,Cam Talbot,L.A,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
10,Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
11,Calvin Pickard,EDM,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
12,Jack Campbell,EDM,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
13,Scott Wedgewood,DAL,G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
14,Philipp Grubauer,SEA,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
15,Louis Domingue,NYR,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
16,Petr Mrazek,CHI,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
17,Frederik Andersen,CAR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
18,Laurent Brossoit,WPG,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
19,Anton Forsberg,OTT,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
20,Jordan Binnington,STL,G,32,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
21,Magnus Hellberg,PIT,G,34,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
22,John Gibson,ANA,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
23,Malcolm Subban,CBJ,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
