,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
1,Nikolai Khabibulin,EDM,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
2,Jose Theodore,FLA,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44
3,Marty Turco,BOS,G,50,1975-08-13,Sault Ste. Marie,ON,CAN,CAN,71,184,1994,DAL,5,20,124
4,Tim Thomas,BOS,G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217
5,Johan Hedberg,N.J,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218
6,Evgeni Nabokov,NYI,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
7,Tomas Vokoun,WSH,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226
8,Dwayne Roloson,T.B,G,55,1969-10-12,Simcoe,ON,CAN,CAN,73,170,-,-,-,-,-
9,Jean-Sebastien Giguere,COL,G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
10,Martin Biron,NYR,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
11,Brian Boucher,CAR,G,48,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22
12,Miikka Kiprusoff,CGY,G,48,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116
13,Chris Mason,WPG,G,49,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122
14,Brent Johnson,PIT,G,48,1977-03-12,Farmington,MI,USA,USA,75,199,1995,COL,5,25,129
15,Mathieu Garon,T.B,G,47,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44
16,Roberto Luongo,VAN,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
17,Scott Clemmensen,FLA,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
18,Jason LaBarbera,PHX,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
19,Andrew Raycroft,DAL,G,45,1980-05-04,Belleville,ON,CAN,CAN,73,180,1998,BOS,5,21,135
20,Alex Auld,OTT,G,44,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,FLA,2,12,40
21,Craig Anderson,OTT,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
22,Sebastien Caron,T.B,G,45,1980-06-25,Amqui,QC,CAN,CAN,73,170,1999,PIT,3,20,86
23,Ryan Miller,BUF,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
24,Curtis Sanford,CBJ,G,45,1979-10-05,Owen sound,ON,CAN,CAN,71,187,-,-,-,-,-
25,Rick DiPietro,NYI,G,43,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1
26,Ilya Bryzgalov,PHI,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
27,Dan Ellis,ANA,G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
28,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
29,Ty Conklin,DET,G,49,1976-03-30,Anchorage,AK,USA,USA,73,185,-,-,-,-,-
30,Peter Budaj,MTL,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
31,Ray Emery,CHI,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
32,Drew MacIntyre,BUF,G,42,1983-06-24,Charlottetown,PE,CAN,CAN,73,188,2001,DET,4,25,121
33,Mike Smith,PHX,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
34,Joey MacDonald,DET,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
