,Abbreviation,Team,Wins,Losses,OTL,Goals For,Goals Against,Points,Presidents,Playoffs,Pts_90PI_low,Pts_90PI_high,P_60Pts,P_70Pts,P_80Pts,P_90Pts,P_100Pts,P_110Pts,P_120Pts
14,VAN,Vancouver Canucks,38.538084627980375,31.15751435095655,12.304401021063088,232.95796053553224,252.50644497876513,89.38057027702384,0.0,0.35689851767388825,82.0,93.19999999999993,1.0,1.0,0.9931584948688712,0.2896237172177879,0.0011402508551881414,0.0,0.0
15,CGY,Calgary Flames,37.635930089005136,31.86917695771148,12.49489295328338,215.37335081331574,242.13237611286652,87.76675313129365,0.0,0.26795895096921324,81.0,93.0,1.0,1.0,0.976054732041049,0.26795895096921324,0.0,0.0,0.0
16,STL,St. Louis Blues,39.79280461745095,34.101770594004186,8.105424788544862,242.17005054865703,248.45943217364035,87.69103402344676,0.0,0.2519954389965792,81.0,93.0,1.0,1.0,0.9828962371721779,0.2519954389965792,0.0,0.0,0.0
17,NYR,New York Rangers,39.86270231031283,35.02309797309219,7.1141997165949915,247.8402771679665,249.62234751832955,86.83960433722065,0.0,0.30786773090079816,82.0,93.0,1.0,1.0,0.9908779931584949,0.31584948688711517,0.0,0.0,0.0
18,MTL,Montréal Canadiens,38.53652684989156,35.051582141738685,8.411891008369754,244.6819008686763,272.36574170551376,85.48494470815287,0.0,0.37400228050171036,82.0,94.0,1.0,1.0,0.9931584948688712,0.38198403648802737,0.0011402508551881414,0.0,0.0
19,CBJ,Columbus Blue Jackets,37.74719781022645,34.88823931363621,9.364562876137322,266.0072952132823,280.6252339893165,84.85895849659023,0.0,0.03420752565564424,77.0,90.0,1.0,1.0,0.8677309007981756,0.052451539338654506,0.0,0.0,0.0
20,NYI,New York Islanders,37.192645482143675,36.26657568844399,9.540778829412329,226.55599143583515,251.89571033462428,83.92606979369968,0.0,0.18015963511972635,80.0,93.0,1.0,1.0,0.9692132269099202,0.2314709236031927,0.0,0.0,0.0
21,DET,Detroit Red Wings,37.89465046376632,36.76023233987605,7.345117196357631,237.80169872936312,267.36370475194974,83.13441812389027,0.0,0.18015963511972635,81.0,93.0,1.0,1.0,0.9737742303306728,0.2348916761687571,0.0,0.0,0.0
22,UTA,Utah Hockey Club,35.32829892702461,34.28449029910877,12.387210773866608,237.6580048194795,256.0094502976891,83.04380862791584,0.0,0.10034207525655645,79.0,91.0,1.0,1.0,0.9190421892816419,0.10832383124287344,0.0,0.0,0.0
23,BOS,Boston Bruins,36.017190586197735,36.74728902924101,9.23552038456127,225.87644531067886,264.4306015850425,81.26990155695674,0.0,0.011402508551881414,77.0,88.0,1.0,1.0,0.8209806157354618,0.020524515393386546,0.0,0.0,0.0
24,ANA,Anaheim Ducks,35.661322637339616,37.89995557955523,8.438721783105148,221.1253744735283,256.7628011211014,79.76136705778438,0.0,0.04789053591790194,76.0,89.0,1.0,1.0,0.8095781071835804,0.036488027366020526,0.0,0.0,0.0
25,PIT,Pittsburgh Penguins,33.80515594507385,37.16774127243664,11.027102782489493,245.99477106069875,294.4519113086192,78.63741467263719,0.0,0.0,71.0,82.0,1.0,0.9942987457240593,0.2120866590649943,0.0,0.0,0.0,0.0
26,SEA,Seattle Kraken,35.86254399065007,40.891255315840624,5.246200693509312,248.06665638220394,266.73314577898367,76.97128867480944,0.0,0.002280501710376283,73.0,84.0,1.0,0.9942987457240593,0.3831242873432155,0.0011402508551881414,0.0,0.0,0.0
27,PHI,Philadelphia Flyers,33.43948620173135,39.30231894021822,9.258194858050427,228.94027372837937,280.3453570644973,76.13716726151313,0.0,0.0,70.0,81.0,1.0,0.9646522234891676,0.11972633979475485,0.0,0.0,0.0,0.0
28,NSH,Nashville Predators,32.10848186540256,40.551898126294624,9.33962000830282,221.48776875139004,270.83534241637705,73.55658373910794,0.0,0.0,67.0,79.0,1.0,0.855188141391106,0.04561003420752566,0.0,0.0,0.0,0.0
29,BUF,Buffalo Sabres,33.04382325865652,41.537992177848444,7.4181845634950445,260.46776488349514,295.6186764450692,73.5058310808081,0.0,0.0,69.0,81.19999999999993,1.0,0.927023945267959,0.11744583808437856,0.0,0.0,0.0,0.0
30,CHI,Chicago Blackhawks,24.694547364293257,46.84312632760664,10.462326308100103,222.19371870119036,292.9276166028174,59.85142103668662,0.0,0.0,56.0,68.0,0.7594070695553021,0.028506271379703536,0.0,0.0,0.0,0.0,0.0
31,SJS,San Jose Sharks,21.468584084793775,50.085470301146074,10.445945614060149,210.27811357620064,305.09219429977713,53.3831137836477,0.0,0.0,49.0,59.19999999999993,0.05017103762827822,0.0,0.0,0.0,0.0,0.0,0.0
