,Abbreviation,Team,Wins,Losses,OTL,Goals For,Goals Against,Points,Presidents,Playoffs,Pts_90PI_low,Pts_90PI_high,P_60Pts,P_70Pts,P_80Pts,P_90Pts,P_100Pts,P_110Pts,P_120Pts
0,WSH,Washington Capitals,53.88211585760791,19.366902336186545,8.750981806205532,301.454533522065,215.79526383791134,116.51521352142134,0.507411630558723,1.0,110.0,122.0,1.0,1.0,1.0,1.0,1.0,0.9600912200684151,0.15393386545039908
1,WPG,Winnipeg Jets,55.85414184948661,21.353099242854373,4.792758907659011,286.675268192648,193.16565196405938,116.50104260663223,0.4903078677309008,1.0,110.0,122.0,1.0,1.0,1.0,1.0,1.0,0.9680729760547321,0.1847206385404789
2,DAL,Dallas Stars,52.61063272501723,25.602497544879697,3.786869730103071,285.67981539109866,219.88212504304528,109.00813518013754,0.002280501710376283,1.0,100.80000000000001,113.0,1.0,1.0,1.0,1.0,0.9737742303306728,0.21322690992018245,0.0
3,VGK,Vegas Golden Knights,48.46039106272973,24.708174077416004,8.831434859854273,277.3140076569968,225.72467629089346,105.75221698531372,0.0,1.0,98.0,109.0,1.0,1.0,1.0,1.0,0.8654503990877993,0.037628278221208664,0.0
4,CAR,Carolina Hurricanes,50.43237918715128,26.710843676134814,4.856777136713911,270.6073516456778,218.4865250293085,105.72153551101647,0.0,1.0,98.0,110.0,1.0,1.0,1.0,1.0,0.8700114025085519,0.052451539338654506,0.0
5,FLA,Florida Panthers,50.29937461160918,28.85635140495128,3.8442739834395385,274.3622501417635,230.51255241655582,104.4430232066579,0.0,1.0,96.0,108.0,1.0,1.0,1.0,1.0,0.7605473204104903,0.01710376282782212,0.0
6,TBL,Tampa Bay Lightning,48.45592298017853,27.74149082175742,5.80258619806407,296.5503178800357,225.46136656823415,102.71443215842112,0.0,0.9954389965792474,93.0,106.0,1.0,1.0,1.0,0.9954389965792474,0.5131128848346637,0.0,0.0
7,COL,Colorado Avalanche,49.26220976810999,28.861920394436837,3.8758698374531604,278.15963359369414,238.7622299526771,102.40028937367315,0.0,1.0,97.0,108.0,1.0,1.0,1.0,1.0,0.8038768529076397,0.013683010262257697,0.0
8,LAK,Los Angeles Kings,45.825649414954526,26.009248886807498,10.165101698237988,238.79179503850713,213.46290925297794,101.81640052814704,0.0,1.0,96.0,109.0,1.0,1.0,1.0,0.9988597491448119,0.7936145952109465,0.03078677309007982,0.0
9,EDM,Edmonton Oilers,47.65106023765596,29.385726854360566,4.963212907983465,267.4110627029377,239.2850883739566,100.26533338329538,0.0,0.9931584948688712,93.0,105.0,1.0,1.0,1.0,0.9977194982896237,0.4640820980615735,0.0,0.0
10,TOR,Toronto Maple Leafs,47.72732089227167,30.18082965042669,4.091849457301648,266.78118590955074,249.3649659109014,99.54649124184499,0.0,0.9965792474344356,93.0,105.0,1.0,1.0,1.0,0.9988597491448119,0.40935005701254273,0.002280501710376283,0.0
11,OTT,Ottawa Senators,45.139877380473486,30.81589345239889,6.04422916712764,252.10159780605264,236.27331733167108,96.32398392807461,0.0,0.9771949828962372,91.0,103.0,1.0,1.0,1.0,0.9783352337514253,0.24287343215507412,0.0,0.0
12,NJD,New Jersey Devils,44.43001978859622,30.677255090269202,6.892725121134572,249.44760464804497,214.63431266042568,95.75276469832701,0.0,0.942987457240593,89.0,101.0,1.0,1.0,1.0,0.9486887115165337,0.10148232611174458,0.0,0.0
13,MIN,Minnesota Wild,44.33892713221705,31.438852713971393,6.22222015381153,227.41453059924157,239.23929861058986,94.90007441824564,0.0,0.9794754846066135,91.0,102.0,1.0,1.0,1.0,0.9749144811858609,0.19270239452679588,0.0,0.0
