Simulation,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
4,MIN,Minnesota Wild,39,33,10,88,247,260
4,PIT,Pittsburgh Penguins,38,32,12,88,253,246
4,PHI,Philadelphia Flyers,38,33,11,87,231,258
4,BUF,Buffalo Sabres,39,37,6,84,244,243
4,NJD,New Jersey Devils,38,39,5,81,264,280
4,CGY,Calgary Flames,38,39,5,81,253,267
4,SEA,Seattle Kraken,34,35,13,81,214,232
4,OTT,Ottawa Senators,37,41,4,78,250,281
4,ARI,Arizona Coyotes,36,41,5,77,254,274
4,MTL,Montréal Canadiens,30,36,16,76,232,281
4,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
4,ANA,Anaheim Ducks,27,50,5,59,203,292
4,CHI,Chicago Blackhawks,23,53,6,52,178,289
4,SJS,San Jose Sharks,19,54,9,47,180,326
5,NYR,New York Rangers,55,23,4,114,278,226
5,DAL,Dallas Stars,52,21,9,113,294,232
5,CAR,Carolina Hurricanes,52,23,7,111,277,211
5,FLA,Florida Panthers,52,24,6,110,265,198
5,WPG,Winnipeg Jets,52,24,6,110,259,198
5,VAN,Vancouver Canucks,50,23,9,109,279,221
5,BOS,Boston Bruins,47,20,15,109,263,221
5,COL,Colorado Avalanche,50,25,7,107,302,252
5,EDM,Edmonton Oilers,49,27,6,104,292,236
5,TOR,Toronto Maple Leafs,46,26,10,102,298,261
5,NSH,Nashville Predators,47,30,5,99,266,248
5,LAK,Los Angeles Kings,44,27,11,99,254,210
5,TBL,Tampa Bay Lightning,45,29,8,98,288,267
5,VGK,Vegas Golden Knights,45,29,8,98,263,243
5,NYI,New York Islanders,39,27,16,94,245,258
5,STL,St. Louis Blues,43,33,6,92,234,248
5,DET,Detroit Red Wings,41,32,9,91,275,273
5,WSH,Washington Capitals,40,31,11,91,216,252
5,MIN,Minnesota Wild,39,33,10,88,247,260
5,PIT,Pittsburgh Penguins,38,32,12,88,253,246
5,PHI,Philadelphia Flyers,38,33,11,87,231,258
5,BUF,Buffalo Sabres,39,37,6,84,244,243
5,NJD,New Jersey Devils,38,39,5,81,264,280
5,CGY,Calgary Flames,38,39,5,81,253,267
5,SEA,Seattle Kraken,34,35,13,81,214,232
5,OTT,Ottawa Senators,37,41,4,78,250,281
5,ARI,Arizona Coyotes,36,41,5,77,254,274
5,MTL,Montréal Canadiens,30,36,16,76,232,281
5,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
5,ANA,Anaheim Ducks,27,50,5,59,203,292
5,CHI,Chicago Blackhawks,23,53,6,52,178,289
5,SJS,San Jose Sharks,19,54,9,47,180,326
6,NYR,New York Rangers,55,23,4,114,278,226
6,DAL,Dallas Stars,52,21,9,113,294,232
6,CAR,Carolina Hurricanes,52,23,7,111,277,211
6,FLA,Florida Panthers,52,24,6,110,265,198
6,WPG,Winnipeg Jets,52,24,6,110,259,198
6,VAN,Vancouver Canucks,50,23,9,109,279,221
6,BOS,Boston Bruins,47,20,15,109,263,221
6,COL,Colorado Avalanche,50,25,7,107,302,252
6,EDM,Edmonton Oilers,49,27,6,104,292,236
6,TOR,Toronto Maple Leafs,46,26,10,102,298,261
6,NSH,Nashville Predators,47,30,5,99,266,248
6,LAK,Los Angeles Kings,44,27,11,99,254,210
6,TBL,Tampa Bay Lightning,45,29,8,98,288,267
6,VGK,Vegas Golden Knights,45,29,8,98,263,243
6,NYI,New York Islanders,39,27,16,94,245,258
6,STL,St. Louis Blues,43,33,6,92,234,248
6,DET,Detroit Red Wings,41,32,9,91,275,273
