,GameID,Time (EST),Game Number,Game State,Period,Home Score,Home Team,Visiting Score,Visiting Team
0,2025020001,2025-10-07T17:00:00,1,7,3,3,Florida Panthers,2,Chicago Blackhawks
1,2025020002,2025-10-07T20:00:00,2,7,3,0,New York Rangers,3,Pittsburgh Penguins
2,2025020003,2025-10-07T22:30:00,3,7,3,1,Los Angeles Kings,4,Colorado Avalanche
3,2025020004,2025-10-08T19:00:00,4,7,3,5,Toronto Maple Leafs,2,Montréal Canadiens
4,2025020005,2025-10-08T19:30:00,5,7,3,1,Washington Capitals,3,Boston Bruins
5,2025020006,2025-10-08T22:00:00,6,7,5,3,Edmonton Oilers,4,Calgary Flames
6,2025020007,2025-10-08T22:00:00,7,7,5,5,Vegas Golden Knights,6,Los Angeles Kings
7,2025020008,2025-10-09T19:00:00,8,7,4,4,Boston Bruins,3,Chicago Blackhawks
8,2025020009,2025-10-09T19:00:00,9,7,3,0,Buffalo Sabres,4,New York Rangers
9,2025020010,2025-10-09T19:00:00,10,7,3,1,Detroit Red Wings,5,Montréal Canadiens
10,2025020011,2025-10-09T19:00:00,11,7,3,4,Tampa Bay Lightning,5,Ottawa Senators
11,2025020012,2025-10-09T19:00:00,12,7,3,2,Florida Panthers,1,Philadelphia Flyers
12,2025020013,2025-10-09T19:00:00,13,7,3,4,Pittsburgh Penguins,3,New York Islanders
13,2025020014,2025-10-09T19:30:00,14,7,3,6,Carolina Hurricanes,3,New Jersey Devils
14,2025020015,2025-10-09T20:00:00,15,7,3,0,St. Louis Blues,5,Minnesota Wild
15,2025020016,2025-10-09T20:00:00,16,7,3,2,Nashville Predators,1,Columbus Blue Jackets
16,2025020017,2025-10-09T20:00:00,17,7,3,4,Winnipeg Jets,5,Dallas Stars
17,2025020018,2025-10-09T21:00:00,18,7,3,2,Colorado Avalanche,1,Utah Mammoth
18,2025020019,2025-10-09T22:00:00,19,7,3,5,Vancouver Canucks,1,Calgary Flames
19,2025020020,2025-10-09T22:00:00,20,7,4,3,San Jose Sharks,4,Vegas Golden Knights
20,2025020021,2025-10-09T22:00:00,21,7,3,3,Seattle Kraken,1,Anaheim Ducks
21,2025020022,2025-10-11T13:30:00,22,7,3,3,Winnipeg Jets,2,Los Angeles Kings
22,2025020023,2025-10-11T16:00:00,23,7,3,2,Calgary Flames,4,St. Louis Blues
23,2025020024,2025-10-11T19:00:00,24,7,3,3,Boston Bruins,1,Buffalo Sabres
24,2025020025,2025-10-11T19:00:00,25,7,3,6,Detroit Red Wings,3,Toronto Maple Leafs
25,2025020026,2025-10-11T19:00:00,26,7,3,3,Tampa Bay Lightning,5,New Jersey Devils
26,2025020027,2025-10-11T19:00:00,27,7,3,6,Florida Panthers,2,Ottawa Senators
27,2025020028,2025-10-11T19:00:00,28,7,3,2,New York Islanders,4,Washington Capitals
28,2025020029,2025-10-11T19:00:00,29,7,3,1,Pittsburgh Penguins,6,New York Rangers
29,2025020030,2025-10-11T19:00:00,30,7,4,4,Carolina Hurricanes,3,Philadelphia Flyers
30,2025020031,2025-10-11T19:00:00,31,7,3,2,Chicago Blackhawks,3,Montréal Canadiens
31,2025020032,2025-10-11T20:00:00,32,7,4,2,Nashville Predators,3,Utah Mammoth
32,2025020033,2025-10-11T20:00:00,33,7,3,4,Minnesota Wild,7,Columbus Blue Jackets
33,2025020034,2025-10-11T21:00:00,34,7,5,4,Colorado Avalanche,5,Dallas Stars
34,2025020035,2025-10-11T22:00:00,35,7,3,3,Edmonton Oilers,1,Vancouver Canucks
35,2025020036,2025-10-11T22:00:00,36,7,4,6,San Jose Sharks,7,Anaheim Ducks
36,2025020037,2025-10-11T22:00:00,37,7,4,2,Seattle Kraken,1,Vegas Golden Knights
37,2025020038,2025-10-12T19:00:00,38,7,3,0,New York Rangers,1,Washington Capitals
38,2025020039,2025-10-13T12:30:00,39,7,3,1,Buffalo Sabres,3,Colorado Avalanche
39,2025020040,2025-10-13T13:00:00,40,7,3,3,Boston Bruins,4,Tampa Bay Lightning
40,2025020041,2025-10-13T13:00:00,41,7,3,1,Ottawa Senators,4,Nashville Predators
41,2025020042,2025-10-13T13:00:00,42,7,3,2,New York Islanders,5,Winnipeg Jets
42,2025020043,2025-10-13T14:00:00,43,7,3,2,Toronto Maple Leafs,3,Detroit Red Wings
43,2025020044,2025-10-13T19:00:00,44,7,3,5,Philadelphia Flyers,2,Florida Panthers
44,2025020045,2025-10-13T19:00:00,45,7,3,2,Columbus Blue Jackets,3,New Jersey Devils
45,2025020046,2025-10-13T19:30:00,46,7,3,2,Vancouver Canucks,5,St. Louis Blues
46,2025020047,2025-10-13T20:00:00,47,7,5,4,Minnesota Wild,3,Los Angeles Kings
47,2025020048,2025-10-13T20:30:00,48,7,3,3,Chicago Blackhawks,1,Utah Mammoth
48,2025020049,2025-10-14T19:00:00,49,1,1,0,Toronto Maple Leafs,0,Nashville Predators
49,2025020050,2025-10-14T19:00:00,50,1,1,0,Montréal Canadiens,0,Seattle Kraken
50,2025020051,2025-10-14T19:00:00,51,1,1,0,New York Rangers,0,Edmonton Oilers
51,2025020052,2025-10-14T19:00:00,52,1,1,0,Washington Capitals,0,Tampa Bay Lightning
52,2025020053,2025-10-14T21:00:00,53,1,1,0,Calgary Flames,0,Vegas Golden Knights
53,2025020054,2025-10-14T21:30:00,54,1,1,0,Dallas Stars,0,Minnesota Wild
54,2025020055,2025-10-14T22:00:00,55,1,1,0,San Jose Sharks,0,Carolina Hurricanes
55,2025020056,2025-10-14T22:30:00,56,1,1,0,Anaheim Ducks,0,Pittsburgh Penguins
56,2025020057,2025-10-15T19:00:00,57,1,1,0,Buffalo Sabres,0,Ottawa Senators
57,2025020058,2025-10-15T19:00:00,58,1,1,0,Detroit Red Wings,0,Florida Panthers
58,2025020059,2025-10-15T21:30:00,59,1,1,0,St. Louis Blues,0,Chicago Blackhawks
59,2025020060,2025-10-15T21:30:00,60,1,1,0,Utah Mammoth,0,Calgary Flames
60,2025020061,2025-10-16T19:00:00,61,1,1,0,Toronto Maple Leafs,0,New York Rangers
61,2025020062,2025-10-16T19:00:00,62,1,1,0,Montréal Canadiens,0,Nashville Predators
62,2025020063,2025-10-16T19:00:00,63,1,1,0,Ottawa Senators,0,Seattle Kraken
63,2025020064,2025-10-16T19:00:00,64,1,1,0,New Jersey Devils,0,Florida Panthers
64,2025020065,2025-10-16T19:30:00,65,1,1,0,New York Islanders,0,Edmonton Oilers
65,2025020066,2025-10-16T19:00:00,66,1,1,0,Philadelphia Flyers,0,Winnipeg Jets
66,2025020067,2025-10-16T19:00:00,67,1,1,0,Columbus Blue Jackets,0,Colorado Avalanche
67,2025020068,2025-10-16T20:00:00,68,1,1,0,Dallas Stars,0,Vancouver Canucks
68,2025020069,2025-10-16T22:00:00,69,1,1,0,Vegas Golden Knights,0,Boston Bruins
69,2025020070,2025-10-16T22:00:00,70,1,1,0,Anaheim Ducks,0,Carolina Hurricanes
70,2025020071,2025-10-16T22:00:00,71,1,1,0,Los Angeles Kings,0,Pittsburgh Penguins
71,2025020072,2025-10-17T19:00:00,72,1,1,0,Detroit Red Wings,0,Tampa Bay Lightning
72,2025020073,2025-10-17T19:00:00,73,1,1,0,Washington Capitals,0,Minnesota Wild
73,2025020074,2025-10-17T20:30:00,74,1,1,0,Chicago Blackhawks,0,Vancouver Canucks
74,2025020075,2025-10-17T21:00:00,75,1,1,0,Utah Mammoth,0,San Jose Sharks
75,2025020076,2025-10-18T13:00:00,76,1,1,0,Buffalo Sabres,0,Florida Panthers
76,2025020077,2025-10-18T15:00:00,77,1,1,0,Ottawa Senators,0,New York Islanders
77,2025020078,2025-10-18T15:30:00,78,1,1,0,New Jersey Devils,0,Edmonton Oilers
78,2025020079,2025-10-18T19:00:00,79,1,1,0,Toronto Maple Leafs,0,Seattle Kraken
79,2025020080,2025-10-18T19:00:00,80,1,1,0,Montréal Canadiens,0,New York Rangers
80,2025020081,2025-10-18T19:00:00,81,1,1,0,Philadelphia Flyers,0,Minnesota Wild
81,2025020082,2025-10-18T19:00:00,82,1,1,0,Columbus Blue Jackets,0,Tampa Bay Lightning
82,2025020083,2025-10-18T19:00:00,83,1,1,0,St. Louis Blues,0,Dallas Stars
83,2025020084,2025-10-18T19:00:00,84,1,1,0,Winnipeg Jets,0,Nashville Predators
84,2025020085,2025-10-18T21:00:00,85,1,1,0,Colorado Avalanche,0,Boston Bruins
85,2025020086,2025-10-18T21:00:00,86,1,1,0,Los Angeles Kings,0,Carolina Hurricanes
86,2025020087,2025-10-18T22:00:00,87,1,1,0,Vegas Golden Knights,0,Calgary Flames
87,2025020088,2025-10-18T22:00:00,88,1,1,0,San Jose Sharks,0,Pittsburgh Penguins
88,2025020089,2025-10-19T12:30:00,89,1,1,0,Washington Capitals,0,Vancouver Canucks
89,2025020090,2025-10-19T15:00:00,90,1,1,0,Detroit Red Wings,0,Edmonton Oilers
90,2025020091,2025-10-19T19:00:00,91,1,1,0,Chicago Blackhawks,0,Anaheim Ducks
91,2025020092,2025-10-19T19:00:00,92,1,1,0,Utah Mammoth,0,Boston Bruins
92,2025020093,2025-10-20T19:00:00,93,1,1,0,New York Rangers,0,Minnesota Wild
93,2025020094,2025-10-20T19:00:00,94,1,1,0,Philadelphia Flyers,0,Seattle Kraken
94,2025020095,2025-10-20T19:30:00,95,1,1,0,Montréal Canadiens,0,Buffalo Sabres
95,2025020096,2025-10-20T21:30:00,96,1,1,0,Calgary Flames,0,Winnipeg Jets
96,2025020097,2025-10-20T22:00:00,97,1,1,0,Vegas Golden Knights,0,Carolina Hurricanes
97,2025020098,2025-10-21T19:00:00,98,1,1,0,Toronto Maple Leafs,0,New Jersey Devils
98,2025020099,2025-10-21T19:00:00,99,1,1,0,Ottawa Senators,0,Edmonton Oilers
99,2025020100,2025-10-21T19:00:00,100,1,1,0,New York Islanders,0,San Jose Sharks
100,2025020101,2025-10-21T19:00:00,101,1,1,0,Pittsburgh Penguins,0,Vancouver Canucks
101,2025020102,2025-10-21T19:00:00,102,1,1,0,Washington Capitals,0,Seattle Kraken
102,2025020103,2025-10-21T19:30:00,103,1,1,0,Boston Bruins,0,Florida Panthers
103,2025020104,2025-10-21T20:00:00,104,1,1,0,St. Louis Blues,0,Los Angeles Kings
104,2025020105,2025-10-21T20:00:00,105,1,1,0,Nashville Predators,0,Anaheim Ducks
105,2025020106,2025-10-21T20:00:00,106,1,1,0,Dallas Stars,0,Columbus Blue Jackets
106,2025020107,2025-10-21T22:00:00,107,1,1,0,Utah Mammoth,0,Colorado Avalanche
107,2025020108,2025-10-22T19:00:00,108,1,1,0,New Jersey Devils,0,Minnesota Wild
108,2025020109,2025-10-22T19:30:00,109,1,1,0,Buffalo Sabres,0,Detroit Red Wings
109,2025020110,2025-10-22T20:30:00,110,1,1,0,Calgary Flames,0,Montréal Canadiens
