,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
58,Anders Lindback,"BUF, DAL",26,1407.9666666667,798,725,73,0.909,3.11,-4.88,61.08,191,149,42,0.78,1.79,-7.83,220,201,19,0.914,0.81,0.37,367,355,12,0.967,0.51,0.4,46,58,36.47,22.84
59,Martin Jones,L.A,15,775.36666666667,307,278,29,0.906,2.24,-2.79,26.91,76,59,17,0.776,1.32,-3.4,94,87,7,0.926,0.54,1.28,129,124,5,0.961,0.39,-0.64,10,25,34.24,22.03
60,Robin Lehner,OTT,25,1471.5833333333,779,705,74,0.905,3.02,-7.5,60.38,198,164,34,0.828,1.39,1.43,173,154,19,0.89,0.77,-3.77,387,366,21,0.946,0.86,-7.92,38,72,36.12,25.05
61,Matt Hackett,BUF,5,250.25,155,137,18,0.884,4.32,-4.77,12.56,33,24,9,0.727,2.16,-3.1,46,40,6,0.87,1.44,-1.95,74,71,3,0.959,0.72,-0.5,4,15,35.65,25.17
62,Joni Ortio,CGY,6,333.28333333333,153,139,14,0.908,2.52,-0.94,12.66,41,36,5,0.878,0.9,2.34,40,34,6,0.85,1.08,-2.48,63,60,3,0.952,0.54,-0.87,13,9,33.05,25.50
63,Darcy Kuemper,MIN,31,1548.7166666667,719,651,68,0.905,2.63,-6.62,55.33,165,136,29,0.824,1.12,0.52,184,160,24,0.87,0.93,-7.8,340,325,15,0.956,0.58,-3.51,30,73,36.8,24.60
64,Jonas Gustavsson,DET,7,351.2,168,153,15,0.911,2.56,-0.66,14.47,37,27,10,0.73,1.71,-3.38,50,48,2,0.96,0.34,2.4,77,75,2,0.974,0.34,0.6,6,14,35.67,27.13
65,Carter Hutton,NSH,18,1009.85,450,406,44,0.902,2.61,-5.59,39.21,119,99,20,0.832,1.19,1.29,119,107,12,0.899,0.71,-1.52,200,188,12,0.94,0.71,-5.24,30,48,34.64,24.77
66,Cam Talbot,NYR,36,2094.95,1038,961,77,0.926,2.21,11.61,92.58,301,256,45,0.85,1.29,8.86,221,204,17,0.923,0.49,2.46,474,459,15,0.968,0.43,1.02,35,86,34.43,22.70
67,Eddie Lack,VAN,41,2324.3666666667,1200,1105,95,0.921,2.45,7.44,107.34,366,303,63,0.828,1.63,2.49,305,286,19,0.938,0.49,7.85,494,481,13,0.974,0.34,3.69,52,128,32.95,19.74
68,Jussi Rynnas,DAL,2,92.416666666667,44,37,7,0.841,4.54,-3.24,4.05,17,12,5,0.706,3.25,-1.96,8,7,1,0.875,0.65,-0.3,17,16,1,0.941,0.65,-0.43,1,6,35.52,20.29
69,Ben Scrivens,EDM,57,3227.5666666667,1542,1372,170,0.89,3.16,-38.37,134.91,401,316,85,0.788,1.58,-13.25,446,402,44,0.901,0.82,-4.73,656,616,40,0.939,0.74,-17.83,75,162,35.04,26.13
70,Sergei Bobrovsky,CBJ,51,2994.4333333333,1632,1498,134,0.918,2.68,5.31,132.24,410,334,76,0.815,1.52,-2.64,446,413,33,0.926,0.66,6.27,729,705,24,0.967,0.48,0.63,71,130,34.81,20.58
71,Calvin Pickard,COL,16,895.1,511,476,35,0.932,2.35,8.62,44.03,138,120,18,0.87,1.21,6.69,115,106,9,0.922,0.6,1.13,240,232,8,0.967,0.54,0.11,26,66,36.91,23.69
72,Tyler Bunz,EDM,1,20.0,12,9,3,0.75,9.0,-1.98,0.95,3,2,1,0.667,3.0,-0.46,4,3,1,0.75,3.0,-0.65,5,4,1,0.8,3.0,-0.83,0,2,31.83,34.00
73,Philipp Grubauer,WSH,1,65.0,25,23,2,0.92,1.85,0.13,1.73,5,4,1,0.8,0.92,-0.11,4,4,0,1.0,0.0,0.35,15,14,1,0.933,0.92,-0.49,2,2,39.4,26.50
74,Louis Domingue,ARI,7,307.75,158,144,14,0.911,2.73,-0.51,13.99,46,38,8,0.826,1.56,0.23,43,38,5,0.884,0.97,-1.21,65,64,1,0.985,0.19,1.2,7,20,32.94,21.79
75,Petr Mrazek,DET,29,1585.0333333333,768,705,63,0.918,2.38,2.56,64.97,179,144,35,0.804,1.32,-2.97,220,204,16,0.927,0.61,3.37,343,331,12,0.965,0.45,-0.41,35,61,35.32,24.73
76,Frederik Andersen,ANA,54,3104.7333333333,1436,1313,123,0.914,2.38,-0.42,133.39,393,322,71,0.819,1.37,-0.68,371,344,27,0.927,0.52,5.66,595,570,25,0.958,0.48,-4.89,80,145,34.86,23.50
77,Keith Kinkaid,N.J,19,905.43333333333,469,429,40,0.915,2.65,0.04,37.44,114,96,18,0.842,1.19,2.4,128,115,13,0.898,0.86,-1.73,215,206,9,0.958,0.6,-1.73,18,32,34.46,22.18
78,Laurent Brossoit,EDM,1,59.6,51,49,2,0.961,2.01,2.35,5.31,24,22,2,0.917,2.01,2.29,10,10,0,1.0,0.0,0.88,16,16,0,1.0,0.0,0.54,2,11,30.78,11.50
79,Anton Forsberg,CBJ,5,255.71666666667,149,129,20,0.866,4.69,-7.28,13.99,47,35,12,0.745,2.82,-3.59,44,40,4,0.909,0.94,-0.13,55,51,4,0.927,0.94,-2.14,6,19,33.95,22.75
80,John Gibson,ANA,23,1339.9166666667,673,615,58,0.914,2.6,-0.55,57.09,171,134,37,0.784,1.66,-6.4,167,149,18,0.892,0.81,-3.3,311,308,3,0.99,0.13,7.51,35,57,34.08,20.41
81,Viktor Fasth,EDM,26,1336.4833333333,681,605,76,0.888,3.41,-17.87,62.92,205,166,39,0.81,1.75,-2.32,167,147,20,0.88,0.9,-5.3,288,272,16,0.944,0.72,-6.27,36,74,34.58,27.25
82,Niklas Svedberg,BOS,18,900.2,425,390,35,0.918,2.33,1.28,33.73,116,97,19,0.836,1.27,1.75,119,108,11,0.908,0.73,-0.52,175,171,4,0.977,0.27,1.91,23,33,36.84,31.54
83,Malcolm Subban,BOS,1,31.25,6,3,3,0.5,5.76,-2.49,0.64,1,1,0,1.0,0.0,0.18,2,1,1,0.5,1.92,-0.82,3,1,2,0.333,3.84,-1.9,2,0,37.83,38.00
84,Andrei Vasilevskiy,T.B,16,864.11666666667,415,381,34,0.918,2.36,1.43,32.52,103,92,11,0.893,0.76,7.43,136,122,14,0.897,0.97,-2.03,159,150,9,0.943,0.62,-3.63,25,29,35.95,30.26
85,Chris Driedger,OTT,1,22.866666666667,10,10,0,1.0,0.0,0.85,0.74,2,2,0,1.0,0.0,0.36,3,3,0,1.0,0.0,0.26,2,2,0,1.0,0.0,0.07,3,0,58.7,-
86,Marek Mazanec,NSH,2,105.73333333333,47,43,4,0.915,2.27,0.01,3.84,11,8,3,0.727,1.7,-1.03,13,13,0,1.0,0.0,1.14,21,20,1,0.952,0.57,-0.29,2,3,34.85,12.00
87,Mackenzie Skapski,NYR,2,119.08333333333,45,44,1,0.978,0.5,2.84,3.77,15,14,1,0.933,0.5,1.68,10,10,0,1.0,0.0,0.88,20,20,0,1.0,0.0,0.68,1,4,33.33,11.00
88,Andrey Makarov,BUF,1,60.0,36,33,3,0.917,3.0,0.07,3.99,13,12,1,0.923,1.0,1.33,10,8,2,0.8,2.0,-1.12,13,13,0,1.0,0.0,0.44,2,1,27.36,24.00
89,Andrew Hammond,OTT,24,1410.9833333333,707,665,42,0.941,1.79,18.35,59.23,173,153,20,0.884,0.85,10.95,158,148,10,0.937,0.43,3.91,351,339,12,0.966,0.51,-0.14,31,69,35.21,23.45
90,Troy Grosenick,S.J,2,118.36666666667,58,55,3,0.948,1.52,1.95,5.33,17,15,2,0.882,1.01,1.04,9,9,0,1.0,0.0,0.79,31,30,1,0.968,0.51,0.05,3,14,35.26,22.67
91,Antti Raanta,CHI,14,792.18333333333,388,363,25,0.936,1.89,8.12,30.51,117,105,12,0.897,0.91,8.93,72,65,7,0.903,0.53,-0.66,187,181,6,0.968,0.45,0.32,19,23,34.02,24.36
