,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Craig Anderson,BUF,26,1490.0333333333,823,747,76,0.908,3.06,2.82,75.4,241,204,37,0.846,1.49,6.21,212,186,26,0.877,1.05,-3.21,330,317,13,0.961,0.52,-0.12,39,108,35.56,21.66
1,Marc-Andre Fleury,MIN,46,2654.2833333333,1367,1241,126,0.908,2.85,4.92,125.35,384,318,66,0.828,1.49,2.85,356,320,36,0.899,0.81,2.26,565,541,24,0.958,0.54,-1.95,68,209,34.41,22.22
2,Jaroslav Halak,NYR,25,1453.9333333333,680,614,66,0.903,2.72,-0.88,68.44,212,176,36,0.830,1.49,2.01,171,156,15,0.912,0.62,3.38,266,251,15,0.944,0.62,-4.62,45,106,33.17,19.95
3,Brian Elliott,T.B,22,1324.7333333333,689,614,75,0.891,3.4,-9.01,67.12,208,170,38,0.817,1.72,-0.71,174,153,21,0.879,0.95,-2.3,274,258,16,0.942,0.72,-5.31,47,99,34.10,19.56
4,Thomas Greiss,STL,21,1089.35,627,561,66,0.895,3.64,-5.95,57.59,184,143,41,0.777,2.26,-8.01,177,161,16,0.910,0.88,3.02,227,218,9,0.960,0.5,-0.14,39,84,35.26,17.67
5,Anton Khudobin,CHI,1,60.0,28,22,6,0.786,6.0,-3.32,2.98,8,5,3,0.625,3.0,-1.57,9,7,2,0.778,2.0,-1.03,10,9,1,0.900,1.0,-0.61,0,2,32.54,21.00
6,Jonathan Quick,"L.A, VGK",41,2234.75,1080,953,127,0.882,3.41,-23.57,104.81,319,253,66,0.793,1.77,-8.8,275,237,38,0.862,1.02,-8.44,417,394,23,0.945,0.62,-6.73,49,182,34.67,21.07
7,Alex Stalock,CHI,27,1475.3333333333,804,730,74,0.908,3.01,3.0,70.07,209,168,41,0.804,1.67,-3.53,239,221,18,0.925,0.73,7.69,321,306,15,0.953,0.61,-2.47,40,103,34.26,21.20
8,James Reimer,S.J,43,2538.0,1335,1188,147,0.890,3.48,-19.15,131.53,388,310,78,0.799,1.84,-8.43,392,338,54,0.862,1.28,-11.87,488,473,15,0.969,0.35,4.04,76,223,33.49,19.78
9,Semyon Varlamov,NYI,23,1334.7333333333,689,629,60,0.913,2.7,5.99,65.78,205,174,31,0.849,1.39,5.76,186,166,20,0.892,0.9,-0.01,252,243,9,0.964,0.4,0.83,47,104,36.00,21.40
10,Jacob Markstrom,CGY,59,3410.8333333333,1542,1376,166,0.892,2.92,-18.32,155.78,465,378,87,0.813,1.53,-3.63,481,422,59,0.877,1.04,-7.3,508,488,20,0.961,0.35,-0.18,110,241,33.84,20.34
11,Jake Allen,MTL,42,2450.4166666667,1335,1190,145,0.891,3.55,-17.15,133.08,409,319,90,0.780,2.2,-16.67,372,333,39,0.895,0.95,0.98,491,475,16,0.967,0.39,3.16,62,203,33.45,17.28
12,Michael Hutchinson,CBJ,16,755.45,433,379,54,0.875,4.29,-12.53,45.07,143,110,33,0.769,2.62,-7.36,113,99,14,0.876,1.11,-1.85,160,153,7,0.956,0.56,-0.76,22,61,31.98,17.93
13,Dustin Tokarski,PIT,4,209.4,117,105,12,0.897,3.44,-0.79,11.83,41,35,6,0.854,1.72,1.35,25,20,5,0.800,1.43,-2.31,46,45,1,0.978,0.29,0.8,7,23,33.43,15.83
14,Martin Jones,SEA,48,2625.65,1147,1016,131,0.886,2.99,-21.15,114.92,319,242,77,0.759,1.76,-19.8,299,260,39,0.870,0.89,-6.86,456,441,15,0.967,0.34,2.79,68,179,36.12,18.18
15,Darcy Kuemper,WSH,57,3223.7833333333,1675,1521,154,0.908,2.87,6.41,163.61,467,379,88,0.812,1.64,-4.27,451,411,40,0.911,0.74,8.47,669,643,26,0.961,0.48,0.11,105,246,34.95,20.61
16,Cam Talbot,OTT,36,1948.4166666667,935,840,95,0.898,2.93,-5.46,92.62,239,189,50,0.791,1.54,-7.15,272,239,33,0.879,1.02,-3.76,357,345,12,0.966,0.37,1.93,63,150,36.38,21.53
17,Sergei Bobrovsky,FLA,50,2834.3666666667,1466,1321,145,0.901,3.07,-4.6,142.49,432,358,74,0.829,1.57,3.46,384,345,39,0.898,0.83,2.27,572,540,32,0.944,0.68,-9.68,63,235,34.81,20.86
18,Jack Campbell,EDM,36,2026.3833333333,1027,912,115,0.888,3.41,-16.64,93.33,268,209,59,0.780,1.75,-10.95,269,234,35,0.870,1.04,-6.09,433,412,21,0.952,0.62,-4.1,47,138,34.59,20.65
19,Scott Wedgewood,DAL,21,1126.7666666667,603,552,51,0.915,2.72,6.75,55.12,165,138,27,0.836,1.44,2.58,153,139,14,0.908,0.75,2.44,252,242,10,0.960,0.53,-0.17,26,80,36.39,20.00
20,Philipp Grubauer,SEA,39,2065.6166666667,930,832,98,0.895,2.85,-8.93,95.44,271,218,53,0.804,1.54,-4.41,226,195,31,0.863,0.9,-6.71,382,368,14,0.963,0.41,0.91,39,162,34.88,19.30
21,Petr Mrazek,CHI,39,2165.1666666667,1248,1116,132,0.894,3.66,-12.48,120.95,375,302,73,0.805,2.02,-5.76,337,301,36,0.893,1.0,0.22,491,468,23,0.953,0.64,-3.84,58,217,32.56,19.02
22,Frederik Andersen,CAR,34,1984.35,849,767,82,0.903,2.48,-0.69,80.78,254,207,47,0.815,1.42,-1.46,214,190,24,0.888,0.73,-1.0,310,299,11,0.965,0.33,1.1,40,128,35.05,19.00
23,Keith Kinkaid,"BOS, COL",2,87.85,40,38,2,0.950,1.37,1.83,4.17,12,10,2,0.833,1.37,0.15,10,10,0,1.000,0.0,1.07,16,16,0,1.000,0.0,0.62,1,7,36.30,10.00
24,Laurent Brossoit,VGK,11,636.03333333333,317,294,23,0.927,2.17,7.36,28.04,91,79,12,0.868,1.13,4.32,95,85,10,0.895,0.94,0.21,115,114,1,0.991,0.09,3.49,21,43,33.88,19.30
25,Anton Forsberg,OTT,28,1471.7166666667,817,737,80,0.902,3.26,-1.76,81.63,223,179,44,0.803,1.79,-4.02,238,215,23,0.903,0.94,2.58,306,293,13,0.958,0.53,-1.06,48,140,34.67,20.25
26,Jordan Binnington,STL,61,3526.7333333333,1826,1632,194,0.894,3.3,-19.12,184.93,526,415,111,0.789,1.89,-16.69,552,498,54,0.902,0.92,5.33,678,649,29,0.957,0.49,-2.54,98,292,32.61,20.20
27,Magnus Hellberg,"DET, OTT",18,936.35,447,397,50,0.888,3.2,-7.19,44.72,149,121,28,0.812,1.79,-1.28,117,102,15,0.872,0.96,-2.42,161,154,7,0.957,0.45,-0.72,25,65,32.81,23.20
28,John Gibson,ANA,53,3004.9166666667,1983,1783,200,0.899,3.99,-10.09,192.42,640,529,111,0.827,2.22,3.75,523,466,57,0.891,1.14,-0.79,754,722,32,0.958,0.64,-2.58,70,295,31.64,19.95
29,Andrei Vasilevskiy,T.B,60,3596.4166666667,1875,1716,159,0.915,2.65,20.57,177.61,535,453,82,0.847,1.37,13.92,524,469,55,0.895,0.92,1.32,744,722,22,0.970,0.37,7.03,79,268,33.66,21.13
30,Matt Murray,TOR,26,1473.1666666667,761,687,74,0.903,3.01,-1.12,71.93,222,184,38,0.829,1.55,1.8,191,167,24,0.874,0.98,-3.47,315,303,12,0.962,0.49,0.29,58,121,34.29,21.14
31,Jon Gillies,CBJ,3,118.15,66,57,9,0.864,4.57,-2.68,6.94,13,8,5,0.615,2.54,-2.67,28,24,4,0.857,2.03,-0.99,23,23,0,1.000,0.0,0.9,1,15,34.24,23.33
32,Joonas Korpisalo,"CBJ, L.A",39,2192.6,1207,1103,104,0.914,2.85,11.59,114.16,339,289,50,0.853,1.37,10.78,348,310,38,0.891,1.04,-0.6,455,439,16,0.965,0.44,1.76,57,186,34.86,20.34
33,Anthony Stolarz,ANA,19,820.05,495,444,51,0.897,3.73,-3.59,51.6,168,144,24,0.857,1.76,6.12,135,121,14,0.896,1.02,0.51,169,156,13,0.923,0.95,-6.41,19,93,31.38,23.63
34,Connor Hellebuyck,WPG,64,3778.0,1964,1807,157,0.920,2.49,31.09,189.63,537,446,91,0.831,1.45,5.28,563,519,44,0.922,0.7,16.51,750,728,22,0.971,0.35,7.27,105,281,35.62,19.21
35,Linus Ullmark,BOS,49,2882.2,1457,1366,91,0.938,1.89,48.54,126.68,388,334,54,0.861,1.12,15.57,388,368,20,0.948,0.42,21.7,572,555,17,0.970,0.35,5.32,102,216,37.40,20.19
36,Aaron Dell,S.J,4,199.28333333333,103,94,9,0.913,2.71,0.86,11.49,38,34,4,0.895,1.2,2.81,28,23,5,0.821,1.51,-1.99,34,34,0,1.000,0.0,1.33,6,20,29.11,18.89
37,Antti Raanta,CAR,27,1561.2166666667,644,586,58,0.910,2.23,3.68,60.8,192,161,31,0.839,1.19,3.42,175,155,20,0.886,0.77,-1.19,227,220,7,0.969,0.27,1.86,34,78,35.02,20.78
38,Cal Petersen,L.A,10,543.46666666667,257,223,34,0.868,3.75,-9.39,22.32,62,48,14,0.774,1.55,-2.88,82,71,11,0.866,1.21,-2.19,102,93,9,0.912,0.99,-5.02,5,33,33.66,24.76
39,Juuse Saros,NSH,64,3810.7666666667,2099,1928,171,0.919,2.69,30.02,206.55,593,499,94,0.841,1.48,12.32,675,619,56,0.917,0.88,16.55,732,711,21,0.971,0.33,7.56,128,308,32.98,19.54
40,Tristan Jarry,PIT,47,2650.0333333333,1414,1286,128,0.909,2.9,7.42,122.38,368,294,74,0.799,1.68,-8.02,385,351,34,0.912,0.77,7.38,576,556,20,0.965,0.45,2.48,64,180,36.42,19.80
41,Eric Comrie,BUF,19,1111.9833333333,594,526,68,0.886,3.67,-11.11,58.25,190,154,36,0.811,1.94,-1.93,168,145,23,0.863,1.24,-4.94,209,200,9,0.957,0.49,-0.84,29,79,34.11,21.62
42,Spencer Martin,VAN,29,1610.1833333333,830,723,107,0.871,3.99,-27.51,80.86,238,187,51,0.786,1.9,-8.33,241,205,36,0.851,1.34,-10.1,305,286,19,0.938,0.71,-7.1,43,129,34.24,21.37
43,Pheonix Copley,L.A,37,2090.3166666667,947,855,92,0.903,2.64,-1.31,95.05,238,189,49,0.794,1.41,-6.33,269,243,26,0.903,0.75,2.91,386,369,17,0.956,0.49,-1.94,35,164,35.37,22.38
44,Thatcher Demko,VAN,32,1878.5166666667,1005,906,99,0.901,3.16,-2.75,93.48,284,230,54,0.810,1.72,-3.08,283,253,30,0.894,0.96,0.42,372,357,15,0.960,0.48,-0.48,48,140,35.38,21.06
45,Alex Nedeljkovic,DET,15,832.63333333333,466,417,49,0.895,3.53,-4.37,41.3,133,106,27,0.797,1.95,-3.15,125,115,10,0.920,0.72,3.44,188,176,12,0.936,0.86,-4.66,35,70,35.33,22.98
46,Vitek Vanecek,N.J,52,2915.5666666667,1333,1214,119,0.911,2.45,8.66,127.72,338,270,68,0.799,1.4,-7.4,360,326,34,0.906,0.7,4.69,548,531,17,0.969,0.35,4.38,66,197,36.22,19.35
47,Jonas Johansson,COL,3,142.95,73,68,5,0.932,2.1,1.99,8.3,25,21,4,0.840,1.68,0.48,18,17,1,0.944,0.42,0.93,29,29,0,1.000,0.0,1.13,5,16,29.42,11.60
48,Elvis Merzlikins,CBJ,30,1560.2,889,779,110,0.876,4.23,-24.86,80.95,224,170,54,0.759,2.08,-13.84,221,185,36,0.837,1.38,-12.25,406,386,20,0.951,0.77,-4.16,42,132,35.89,23.39
49,Ilya Sorokin,NYI,62,3587.0666666667,1839,1699,140,0.924,2.34,36.12,185.35,573,488,85,0.852,1.42,17.74,449,414,35,0.922,0.59,13.26,724,704,20,0.972,0.33,8.25,102,361,34.26,20.21
50,Ville Husso,DET,56,3220.2333333333,1603,1436,167,0.896,3.11,-13.48,149.34,421,342,79,0.812,1.47,-3.52,432,374,58,0.866,1.08,-11.57,646,616,30,0.954,0.56,-4.79,65,246,35.50,22.42
51,Kaapo Kahkonen,S.J,37,2106.25,1149,1014,135,0.883,3.85,-24.96,109.21,303,238,65,0.785,1.85,-10.67,347,293,54,0.844,1.54,-16.7,449,433,16,0.964,0.46,1.52,54,167,34.50,21.24
52,Igor Shesterkin,NYR,58,3488.7666666667,1719,1575,144,0.916,2.48,20.63,167.43,513,437,76,0.852,1.31,15.98,475,430,45,0.905,0.77,6.05,643,620,23,0.964,0.4,2.09,115,259,33.91,20.19
53,Mackenzie Blackwood,N.J,22,1125.55,563,503,60,0.893,3.2,-6.08,57.05,150,121,29,0.807,1.55,-2.11,148,130,18,0.878,0.96,-2.09,238,225,13,0.945,0.69,-3.71,35,103,36.16,21.48
54,Felix Sandstrom,PHI,20,1112.85,575,506,69,0.880,3.72,-13.93,54.83,144,110,34,0.764,1.83,-8.18,180,153,27,0.850,1.46,-7.65,224,216,8,0.964,0.43,0.74,33,96,34.97,19.51
55,Dan Vladar,CGY,27,1485.05,669,597,72,0.892,2.91,-7.93,64.58,180,151,29,0.839,1.17,3.27,219,188,31,0.858,1.25,-7.46,228,216,12,0.947,0.48,-3.1,34,85,35.19,23.61
56,Sam Montembeault,MTL,40,2333.85,1345,1212,133,0.901,3.42,-4.19,141.3,410,328,82,0.800,2.11,-8.49,371,335,36,0.903,0.93,3.88,511,496,15,0.971,0.39,4.94,50,240,32.74,18.17
57,Ilya Samsonov,TOR,42,2475.6,1184,1088,96,0.919,2.33,17.39,112.75,322,284,38,0.882,0.92,19.73,314,270,44,0.860,1.07,-10.25,479,465,14,0.971,0.34,4.69,64,192,35.48,21.91
58,Adin Hill,VGK,27,1490.9,722,660,62,0.914,2.5,7.15,65.8,172,142,30,0.826,1.21,0.84,202,177,25,0.876,1.01,-3.29,308,301,7,0.977,0.28,5.02,33,105,35.47,18.53
59,Karel Vejmelka,ARI,50,2940.8333333333,1671,1503,168,0.899,3.43,-7.97,167.81,515,414,101,0.804,2.06,-8.66,451,409,42,0.907,0.86,6.47,645,620,25,0.961,0.51,0.17,72,245,33.05,20.19
60,Erik Kallgren,TOR,10,561.66666666667,246,221,25,0.898,2.67,-1.44,23.5,75,63,12,0.840,1.28,1.45,64,54,10,0.844,1.07,-3.12,90,87,3,0.967,0.32,0.51,15,38,35.37,17.48
61,Joey Daccord,SEA,5,248.13333333333,130,117,13,0.900,3.14,-0.55,12.05,35,27,8,0.771,1.93,-1.72,41,38,3,0.927,0.73,1.41,48,46,2,0.958,0.48,-0.13,6,20,35.15,18.62
62,Connor Ingram,ARI,27,1586.6666666667,959,870,89,0.907,3.37,2.84,89.84,240,196,44,0.817,1.66,-0.97,308,278,30,0.903,1.13,3.1,365,350,15,0.959,0.57,-0.76,47,139,34.50,21.04
63,Casey DeSmith,PIT,38,2065.95,1142,1033,109,0.905,3.17,0.37,112.49,365,304,61,0.833,1.77,4.44,294,266,28,0.905,0.81,3.6,427,407,20,0.953,0.58,-3.34,61,179,33.94,19.43
64,Charlie Lindgren,WSH,31,1692.0666666667,853,767,86,0.899,3.05,-4.31,80.5,234,186,48,0.795,1.7,-6.04,233,215,18,0.923,0.64,7.04,344,324,20,0.942,0.71,-6.58,43,102,34.34,22.08
65,Alex Lyon,FLA,15,893.18333333333,489,446,43,0.912,2.89,3.83,51.56,168,143,25,0.851,1.68,5.12,118,111,7,0.941,0.47,5.68,179,168,11,0.939,0.74,-4.01,22,92,32.47,20.35
66,Joseph Woll,TOR,7,416.43333333333,219,204,15,0.932,2.16,5.97,21.78,59,49,10,0.831,1.44,0.58,61,59,2,0.967,0.29,4.56,90,87,3,0.967,0.43,0.51,9,35,31.84,19.93
67,Dylan Wells,CHI,1,20.0,13,12,1,0.923,3.0,0.25,1.62,4,4,0,1.000,0.0,0.72,3,2,1,0.667,3.0,-0.68,5,5,0,1.000,0.0,0.2,1,0,28.00,28.00
