,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Craig Anderson,WSH,4,168.73333333333,71,65,6,0.915,2.13,0.54,6.11,16,13,3,0.813,1.07,0.04,17,14,3,0.824,1.07,-1.28,33,33,0,1.0,0.0,1.12,4,8,35.59,19.33
1,Ryan Miller,ANA,16,870.91666666667,432,381,51,0.882,3.51,-11.21,40.21,124,100,24,0.806,1.65,-0.44,137,119,18,0.869,1.24,-4.16,158,149,9,0.943,0.62,-3.62,17,62,33.69,22.51
2,Mike Smith,EDM,32,1846.55,920,849,71,0.923,2.31,13.75,76.63,221,186,35,0.842,1.14,6.98,290,263,27,0.907,0.88,2.29,362,353,9,0.975,0.29,3.33,53,80,35.91,19.76
3,Curtis McElhinney,T.B,12,719.31666666667,296,259,37,0.875,3.09,-9.73,22.39,72,57,15,0.792,1.25,-1.32,86,71,15,0.826,1.25,-6.31,120,114,6,0.95,0.5,-1.91,10,21,36.32,25.84
4,Marc-Andre Fleury,VGK,36,2146.6,989,918,71,0.928,1.98,20.1,88.7,267,226,41,0.846,1.15,9.72,276,253,23,0.917,0.64,4.88,392,385,7,0.982,0.2,6.35,55,137,35.02,17.21
5,Jaroslav Halak,BOS,19,1090.0166666667,482,436,46,0.905,2.53,-1.6,38.23,115,93,22,0.809,1.21,-0.15,134,117,17,0.873,0.94,-3.46,197,190,7,0.964,0.39,-0.29,18,39,39.22,22.61
6,Brian Elliott,PHI,30,1607.7166666667,738,656,82,0.889,3.06,-14.02,60.61,195,155,40,0.795,1.49,-2.96,176,153,23,0.869,0.86,-5.22,334,315,19,0.943,0.71,-7.62,26,84,36.83,22.27
7,Devan Dubnyk,"COL, S.J",22,1182.3666666667,601,538,63,0.895,3.2,-7.64,49.45,142,112,30,0.789,1.52,-3.02,164,144,20,0.878,1.01,-3.43,272,259,13,0.952,0.66,-3.73,24,66,35.83,22.90
8,Thomas Greiss,DET,34,1755.15,894,815,79,0.912,2.7,3.35,69.22,204,163,41,0.799,1.4,-2.25,250,226,24,0.904,0.82,1.25,400,386,14,0.965,0.48,-0.37,33,83,36.88,22.90
9,Anton Khudobin,DAL,32,1795.9166666667,798,722,76,0.905,2.54,-2.49,64.62,198,156,42,0.788,1.4,-4.39,218,201,17,0.922,0.57,5.02,326,309,17,0.948,0.57,-5.89,33,74,37.47,22.28
10,Pekka Rinne,NSH,24,1310.4833333333,663,601,62,0.906,2.84,-0.93,50.4,164,131,33,0.799,1.51,-1.84,165,147,18,0.891,0.82,-1.33,307,296,11,0.964,0.5,-0.54,32,59,34.82,20.55
11,Carey Price,MTL,25,1478.75,659,594,65,0.901,2.64,-4.3,57.2,167,137,30,0.820,1.22,1.73,189,165,24,0.873,0.97,-4.91,257,246,11,0.957,0.45,-2.25,30,71,37.63,22.17
12,Tuukka Rask,BOS,24,1396.45,611,558,53,0.913,2.28,3.28,51.88,173,144,29,0.832,1.25,3.87,156,143,13,0.917,0.56,2.76,244,233,11,0.955,0.47,-2.69,40,60,37.06,23.25
13,Jonathan Quick,L.A,22,1219.2,566,508,58,0.898,2.85,-5.86,52.7,153,120,33,0.784,1.62,-3.93,159,142,17,0.893,0.84,-0.94,220,213,7,0.968,0.34,0.49,21,84,36.93,21.40
14,James Reimer,CAR,22,1331.1,627,568,59,0.906,2.66,-1.24,53.51,179,144,35,0.804,1.58,-0.99,170,154,16,0.906,0.72,1.17,250,242,8,0.968,0.36,0.52,19,70,34.5,18.56
15,Jonathan Bernier,DET,24,1306.45,757,692,65,0.914,2.99,4.73,64.1,209,170,39,0.813,1.79,0.7,188,170,18,0.904,0.83,0.99,334,326,8,0.976,0.37,3.38,25,82,33.76,20.09
16,Semyon Varlamov,NYI,36,2116.9333333333,1020,948,72,0.929,2.04,21.96,81.48,236,200,36,0.847,1.02,8.83,313,291,22,0.93,0.62,9.62,430,416,14,0.967,0.4,0.65,44,96,34.92,23.61
