,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Marc-Andre Fleury,MIN,26,1390.2666666667,669,601,68,0.898,2.93,-1.1,57.62,147,112,35,0.762,1.51,-6.54,158,142,16,0.899,0.69,3.43,320,304,16,0.950,0.69,-2.44,43,102,38.41,22.60
1,Jonathan Quick,NYR,24,1325.6833333333,657,587,70,0.893,3.17,-4.3,65.27,186,150,36,0.806,1.63,0.01,174,149,25,0.856,1.13,-3.61,270,261,9,0.967,0.41,2.44,44,130,34.39,20.16
2,James Reimer,"ANA, BUF",24,1362.8333333333,663,594,69,0.896,3.04,-2.7,71.51,176,134,42,0.761,1.85,-7.93,177,161,16,0.91,0.7,5.76,279,268,11,0.961,0.48,0.82,52,129,34.2,18.70
3,Semyon Varlamov,NYI,10,602.4,262,233,29,0.889,2.89,-2.8,24.93,70,59,11,0.843,1.1,2.55,75,62,13,0.827,1.29,-3.78,95,90,5,0.947,0.5,-0.97,17,39,36.71,22.38
4,Jacob Markstrom,N.J,49,2903.0166666667,1213,1092,121,0.9,2.5,0.3,122.99,299,243,56,0.813,1.16,1.89,335,293,42,0.875,0.87,-0.81,506,483,23,0.955,0.48,-1.56,112,215,37.96,23.13
5,Jake Allen,N.J,31,1738.1666666667,821,744,77,0.906,2.66,5.1,91.68,225,178,47,0.791,1.62,-3.44,200,184,16,0.92,0.55,8.59,362,349,13,0.964,0.45,2.34,61,190,34.95,20.43
6,Dustin Tokarski,CAR,6,358.31666666667,132,119,13,0.902,2.18,0.2,12.87,34,27,7,0.794,1.17,-0.42,34,29,5,0.853,0.84,-0.82,51,50,1,0.980,0.17,1.16,10,20,40.56,21.08
7,Darcy Kuemper,L.A,50,2973.65,1268,1168,100,0.921,2.02,26.8,126.83,326,278,48,0.853,0.97,15.11,329,297,32,0.903,0.65,8.45,540,520,20,0.963,0.4,2.88,117,238,35.66,21.83
8,Cam Talbot,DET,47,2642.1666666667,1296,1167,129,0.9,2.93,0.6,130.53,316,251,65,0.794,1.48,-3.82,324,283,41,0.873,0.93,-1.16,592,569,23,0.961,0.52,2.08,80,260,36.56,19.33
9,Sergei Bobrovsky,FLA,54,3200.0166666667,1377,1247,130,0.906,2.44,7.7,133.23,345,279,66,0.809,1.24,0.79,311,280,31,0.9,0.58,7.24,623,590,33,0.947,0.62,-6.6,81,236,38.78,19.88
10,Calvin Pickard,EDM,36,1881.7166666667,849,764,85,0.9,2.71,-0.1,76.29,157,124,33,0.790,1.05,-2.6,237,202,35,0.852,1.12,-5.86,406,389,17,0.958,0.54,0.2,58,132,37.34,23.82
11,Scott Wedgewood,"COL, NSH",24,1373.0833333333,578,525,53,0.908,2.32,4.8,55.22,143,120,23,0.839,1.01,4.68,172,155,17,0.901,0.74,4.15,236,223,13,0.945,0.57,-3.0,55,102,35.84,21.13
12,Philipp Grubauer,SEA,26,1460.4833333333,681,596,85,0.875,3.49,-16.9,68.27,171,134,37,0.784,1.52,-3.89,187,158,29,0.845,1.19,-6.01,299,280,19,0.936,0.78,-6.33,39,130,34.48,20.46
13,Louis Domingue,NYR,1,60.0,27,25,2,0.926,2.0,0.7,2.06,6,5,1,0.833,1.0,0.16,4,3,1,0.75,1.0,-0.51,16,16,0,1.000,0.0,0.68,0,4,36.59,20.50
14,Petr Mrazek,"CHI, DET",38,2080.1166666667,1066,950,116,0.891,3.35,-9.4,104.53,297,234,63,0.788,1.82,-5.5,274,237,37,0.865,1.07,-3.31,455,439,16,0.965,0.46,3.28,82,222,34.11,19.59
15,Frederik Andersen,CAR,22,1319.5166666667,546,491,55,0.899,2.5,-0.4,61.89,181,149,32,0.823,1.46,3.04,130,116,14,0.892,0.64,1.98,199,190,9,0.955,0.41,-0.57,41,111,34.28,18.45
16,Anton Forsberg,OTT,30,1676.5333333333,768,692,76,0.901,2.72,0.8,72.15,187,148,39,0.791,1.4,-2.8,206,184,22,0.893,0.79,3.33,336,321,15,0.955,0.54,-0.76,75,134,35.73,20.08
17,Jordan Binnington,STL,56,3239.9,1457,1312,145,0.9,2.69,0.7,145.52,358,287,71,0.802,1.31,-1.69,368,327,41,0.889,0.76,4.25,655,622,33,0.950,0.61,-5.25,108,286,36.13,22.24
18,John Gibson,ANA,29,1562.15,812,740,72,0.911,2.77,9.2,81.2,214,169,45,0.790,1.73,-3.57,203,183,20,0.901,0.77,4.96,366,359,7,0.981,0.27,8.51,68,151,34.55,18.17
19,Andrei Vasilevskiy,T.B,63,3743.0833333333,1717,1581,136,0.921,2.18,35.7,162.62,401,340,61,0.848,0.98,16.63,485,432,53,0.891,0.85,6.63,739,718,21,0.972,0.34,10.31,124,287,36.14,22.22
20,Matt Murray,TOR,2,118.65,58,51,7,0.879,3.54,-1.2,4.55,9,7,2,0.778,1.01,-0.26,24,20,4,0.833,2.02,-1.05,25,24,1,0.960,0.51,0.06,6,9,34.59,24.00
21,Joonas Korpisalo,BOS,27,1529.7,693,619,74,0.893,2.9,-4.7,73.28,175,137,38,0.783,1.49,-4.12,173,148,25,0.855,0.98,-3.73,310,299,11,0.965,0.43,2.13,56,150,36.25,20.26
22,Anthony Stolarz,TOR,34,1986.9,955,884,71,0.926,2.14,24.5,100.02,220,186,34,0.845,1.03,8.59,243,219,24,0.901,0.72,5.88,440,427,13,0.970,0.39,5.64,75,215,37.85,21.21
23,Connor Hellebuyck,WPG,63,3741.3666666667,1664,1539,125,0.925,2.0,41.4,167.95,399,341,58,0.855,0.93,19.25,400,361,39,0.903,0.63,10.18,764,736,28,0.963,0.45,4.37,93,344,38.4,22.31
24,Linus Ullmark,OTT,44,2467.2833333333,1230,1118,112,0.909,2.72,11.0,123.0,333,278,55,0.835,1.34,9.47,322,282,40,0.876,0.97,-0.41,512,495,17,0.967,0.41,4.69,108,253,34.61,20.97
25,Marcus Hogberg,NYI,15,728.21666666667,335,294,41,0.878,3.38,-7.5,34.31,83,63,20,0.759,1.65,-3.93,80,72,8,0.9,0.66,1.84,153,140,13,0.915,1.07,-6.52,20,61,38.17,22.95
26,Juuse Saros,NSH,58,3357.8166666667,1593,1426,167,0.895,2.98,-7.7,154.96,419,342,77,0.816,1.38,4.12,417,359,58,0.861,1.04,-6.73,674,642,32,0.953,0.57,-3.44,122,270,35.09,20.86
27,Tristan Jarry,PIT,36,2019.9,972,867,105,0.892,3.12,-7.8,95.99,247,196,51,0.794,1.51,-3.18,272,232,40,0.853,1.19,-6.56,408,394,14,0.966,0.42,3.29,83,178,35.55,19.17
28,Eric Comrie,WPG,20,1179.55,547,500,47,0.914,2.39,7.7,50.07,117,96,21,0.821,1.07,1.65,152,135,17,0.888,0.86,1.69,254,245,9,0.965,0.46,1.76,40,95,36.47,22.36
29,Spencer Martin,CAR,9,415.98333333333,175,148,27,0.846,3.89,-9.5,20.69,54,41,13,0.759,1.88,-2.55,46,39,7,0.848,1.01,-1.34,67,60,7,0.896,1.01,-4.16,9,26,31.5,22.11
30,Pheonix Copley,L.A,1,27.483333333333,12,10,2,0.833,4.37,-0.8,0.91,5,4,1,0.800,2.18,-0.03,1,1,0,1.0,0.0,0.12,4,3,1,0.750,2.18,-0.83,1,1,42.58,25.50
