,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Marc-Andre Fleury,MIN,40,2232.6666666667,1056,945,111,0.895,2.98,-8.94,97.81,251,197,54,0.785,1.45,-6.31,275,238,37,0.865,0.99,-4.42,476,456,20,0.958,0.54,-1.79,59,174,36.11,20.43
1,Jonathan Quick,NYR,27,1582.7333333333,772,703,69,0.911,2.62,5.61,79.15,206,173,33,0.840,1.25,6.14,211,186,25,0.882,0.95,0.0,319,308,11,0.966,0.42,1.21,47,151,33.45,19.57
2,James Reimer,DET,25,1352.4,727,657,70,0.904,3.11,0.26,71.62,192,159,33,0.828,1.46,3.48,189,162,27,0.857,1.2,-4.61,317,307,10,0.968,0.44,2.13,42,123,34.5,20.50
3,Semyon Varlamov,NYI,28,1594.7333333333,836,767,69,0.917,2.6,11.8,80.52,214,178,36,0.832,1.35,4.66,203,183,20,0.901,0.75,4.05,375,362,13,0.965,0.49,1.35,56,176,35.03,21.62
4,Jacob Markstrom,CGY,48,2831.1166666667,1379,1248,131,0.905,2.78,2.28,147.43,408,347,61,0.850,1.29,16.53,359,313,46,0.872,0.97,-3.47,552,528,24,0.957,0.51,-2.88,98,268,32.75,22.15
5,Jake Allen,"MTL, N.J",34,1986.8833333333,1087,973,114,0.895,3.44,-8.94,113.06,293,238,55,0.812,1.66,0.68,320,284,36,0.888,1.09,1.91,434,411,23,0.947,0.69,-6.39,53,221,33.1,19.89
6,Michael Hutchinson,DET,1,57.8,36,33,3,0.917,3.11,0.48,2.68,10,8,2,0.800,2.08,-0.1,4,4,0,1.0,0.0,0.47,20,19,1,0.950,1.04,-0.23,2,2,42.61,19.00
7,Martin Jones,TOR,22,1169.6666666667,574,518,56,0.902,2.87,-0.52,59.49,154,126,28,0.818,1.44,1.26,157,140,17,0.892,0.87,1.6,239,228,11,0.954,0.56,-1.85,35,110,34.46,18.46
8,Darcy Kuemper,WSH,33,1866.5333333333,940,837,103,0.89,3.31,-12.15,96.57,249,198,51,0.795,1.64,-3.69,227,194,33,0.855,1.06,-6.11,416,397,19,0.954,0.61,-3.08,56,182,36.32,21.36
9,Cam Talbot,L.A,54,3116.1166666667,1490,1360,130,0.913,2.5,14.01,140.93,347,282,65,0.813,1.25,0.94,376,335,41,0.891,0.79,3.55,683,659,24,0.965,0.46,2.14,72,257,36.08,19.57
10,Sergei Bobrovsky,FLA,58,3414.2333333333,1584,1449,135,0.915,2.37,18.09,145.52,411,335,76,0.815,1.34,2.1,376,339,37,0.902,0.65,7.55,690,668,22,0.968,0.39,4.4,108,241,37.49,19.34
11,Calvin Pickard,EDM,24,1360.9166666667,581,528,53,0.909,2.34,3.15,53.47,138,114,24,0.826,1.06,2.22,151,129,22,0.854,0.97,-4.11,267,260,7,0.974,0.31,3.22,41,97,34.84,19.96
12,Jack Campbell,EDM,5,266.78333333333,157,137,20,0.873,4.5,-4.83,15.93,47,32,15,0.681,3.37,-6.07,53,49,4,0.925,0.9,2.28,53,52,1,0.981,0.22,1.03,6,22,28.69,12.20
13,Scott Wedgewood,DAL,32,1789.1333333333,844,759,85,0.899,2.85,-3.43,74.9,193,152,41,0.788,1.37,-4.33,234,203,31,0.868,1.04,-3.28,380,367,13,0.966,0.44,1.54,60,134,36.25,19.44
14,Philipp Grubauer,SEA,36,1996.6,941,846,95,0.899,2.85,-4.05,91.02,226,176,50,0.779,1.5,-7.06,248,219,29,0.883,0.87,0.38,427,411,16,0.963,0.48,0.34,60,179,35.91,19.98
