,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Jonathan Quick,NYR,1,58.1,21,20,1,0.952,1.03,1.06,2.12,3,3,0,1.0,0.0,0.58,8,7,1,0.875,1.03,-0.07,7,7,0,1.0,0.0,0.29,1,6,38.81,10.00
1,Jacob Markstrom,N.J,3,138.88333333333,58,49,9,0.845,3.89,-3.3,6.84,13,9,4,0.692,1.73,-1.5,22,20,2,0.909,0.86,0.55,21,18,3,0.857,1.3,-2.14,4,9,34.62,27.56
2,Jake Allen,N.J,1,40.0,24,23,1,0.958,1.5,1.36,2.55,4,3,1,0.75,1.5,-0.23,7,7,0,1.0,0.0,0.81,12,12,0,1.0,0.0,0.49,0,3,36.96,16.00
3,Darcy Kuemper,L.A,3,179.01666666667,76,66,10,0.868,3.35,-2.53,7.72,18,14,4,0.778,1.34,-0.54,16,14,2,0.875,0.67,-0.15,41,37,4,0.902,1.34,-2.32,3,13,32.63,27.20
4,Cam Talbot,DET,3,142.4,67,62,5,0.925,2.11,1.58,5.35,16,13,3,0.813,1.26,0.07,28,26,2,0.929,0.84,1.24,18,18,0,1.0,0.0,0.74,2,6,38.22,14.00
5,Sergei Bobrovsky,FLA,3,179.4,67,62,5,0.925,1.67,1.58,6.37,15,13,2,0.867,0.67,0.88,12,10,2,0.833,0.67,-0.61,35,34,1,0.971,0.33,0.43,2,8,39.37,16.00
6,Calvin Pickard,EDM,1,60.0,15,14,1,0.933,1.0,0.47,1.71,4,4,0,1.0,0.0,0.77,5,4,1,0.8,1.0,-0.42,5,5,0,1.0,0.0,0.2,0,2,33.87,21.00
7,Scott Wedgewood,COL,4,244.75,109,102,7,0.936,1.72,3.71,9.9,28,25,3,0.893,0.74,2.38,23,21,2,0.913,0.49,0.66,55,53,2,0.964,0.49,0.25,6,17,36.25,29.43
8,Petr Mrazek,ANA,1,59.816666666667,23,17,6,0.739,6.02,-3.74,2.21,7,5,2,0.714,2.01,-0.66,10,6,4,0.6,4.01,-2.84,5,5,0,1.0,0.0,0.2,0,5,36.57,23.50
9,Frederik Andersen,CAR,2,124.66666666667,45,39,6,0.867,2.89,-1.58,4.83,12,10,2,0.833,0.96,0.3,13,9,4,0.692,1.93,-2.49,15,15,0,1.0,0.0,0.61,2,9,39.16,23.83
10,Anton Forsberg,L.A,1,64.383333333333,35,30,5,0.857,4.66,-1.56,3.04,8,7,1,0.875,0.93,0.54,6,5,1,0.833,0.93,-0.3,19,16,3,0.842,2.8,-2.22,2,3,34.97,24.60
11,Jordan Binnington,STL,2,120.0,50,43,7,0.86,3.5,-2.09,5.49,13,7,6,0.538,3.0,-3.5,7,7,0,1.0,0.0,0.81,27,26,1,0.963,0.5,0.11,2,13,36.74,11.57
12,John Gibson,DET,1,37.2,13,8,5,0.615,8.06,-3.72,1.27,1,0,1,0.0,1.61,-0.81,6,3,3,0.5,4.84,-2.3,5,4,1,0.8,1.61,-0.8,0,2,41.0,30.20
13,Andrei Vasilevskiy,T.B,2,115.65,62,53,9,0.855,4.67,-2.91,6.31,18,12,6,0.667,3.11,-2.54,16,16,0,1.0,0.0,1.85,23,20,3,0.87,1.56,-2.06,1,10,38.24,23.11
