,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Martin Brodeur,N.J,59,3392.4833333333,1472,1336,136,0.908,2.41,-8.72,118.75,372,290,82,0.780,1.45,-13.71,381,351,30,0.921,0.53,2.83,673,649,24,0.964,0.42,-0.61,66,112,36.02,21.39
1,Nikolai Khabibulin,EDM,40,2255.5,1114,1014,100,0.910,2.66,-3.68,106.67,345,283,62,0.820,1.65,1.33,281,264,17,0.940,0.45,7.21,456,435,21,0.954,0.56,-5.15,64,117,34.01,21.82
2,Jose Theodore,FLA,53,3049.45,1502,1377,125,0.917,2.46,4.87,122.03,372,309,63,0.831,1.24,5.29,360,330,30,0.917,0.59,1.02,717,685,32,0.955,0.63,-7.08,68,176,34.87,24.21
3,Marty Turco,BOS,5,260.61666666667,110,94,16,0.855,3.68,-6.49,10.85,33,22,11,0.667,2.53,-4.94,27,22,5,0.815,1.15,-2.67,49,49,0,1.000,0.0,1.7,6,7,33.52,19.13
4,Tim Thomas,BOS,59,3351.5166666667,1659,1527,132,0.920,2.36,11.45,121.3,388,322,66,0.830,1.18,5.23,423,388,35,0.917,0.63,1.45,756,725,31,0.959,0.55,-4.73,81,136,39.22,27.14
5,Johan Hedberg,N.J,27,1591.1666666667,718,659,59,0.918,2.22,3.08,58.21,197,164,33,0.832,1.24,3.16,174,156,18,0.897,0.68,-3.01,320,312,8,0.975,0.3,3.12,42,59,36.88,28.66
6,Evgeni Nabokov,NYI,42,2377.7666666667,1172,1071,101,0.914,2.55,0.34,105.29,326,269,57,0.825,1.44,2.84,300,277,23,0.923,0.58,2.85,501,480,21,0.958,0.53,-3.59,53,110,35.83,25.71
7,Tomas Vokoun,WSH,48,2584.05,1298,1190,108,0.917,2.51,4.23,108.42,319,249,70,0.781,1.63,-11.44,314,290,24,0.924,0.56,3.06,616,603,13,0.979,0.3,8.41,75,123,36.42,21.19
8,Dwayne Roloson,T.B,40,2093.5166666667,1126,998,128,0.886,3.67,-30.64,99.77,339,260,79,0.767,2.26,-16.77,303,276,27,0.911,0.77,-0.89,442,420,22,0.950,0.63,-6.64,67,111,34.75,23.79
9,Jean-Sebastien Giguere,COL,32,1819.5666666667,850,781,69,0.919,2.28,4.5,71.11,215,174,41,0.809,1.35,-1.53,195,175,20,0.897,0.66,-3.2,420,412,8,0.981,0.26,6.6,45,90,35.43,22.20
10,Martin Biron,NYR,21,1220.0166666667,519,469,50,0.904,2.46,-5.12,47.89,150,122,28,0.813,1.38,-0.46,136,124,12,0.912,0.59,-0.28,213,204,9,0.958,0.44,-1.6,29,68,35.11,25.40
11,Brian Boucher,CAR,10,546.35,260,229,31,0.881,3.4,-8.52,24.29,71,53,18,0.746,1.98,-4.97,77,69,8,0.896,0.88,-1.37,105,100,5,0.952,0.55,-1.35,14,26,34.15,20.68
12,Miikka Kiprusoff,CGY,70,4128.0,2041,1879,162,0.921,2.35,14.47,169.08,512,423,89,0.826,1.29,4.99,502,461,41,0.918,0.6,2.25,957,925,32,0.967,0.47,1.26,115,192,35.69,23.58
13,Chris Mason,WPG,20,974.86666666667,422,379,43,0.898,2.65,-6.51,40.03,115,92,23,0.800,1.42,-1.89,107,97,10,0.907,0.62,-0.78,188,178,10,0.947,0.62,-3.47,28,43,35.67,23.07
14,Brent Johnson,PIT,16,811.08333333333,359,317,42,0.883,3.11,-10.96,32.22,117,89,28,0.761,2.07,-6.52,76,68,8,0.895,0.59,-1.45,147,142,5,0.966,0.37,0.11,15,39,34.90,20.76
