,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Curtis Joseph,TOR,20,840.7,383,333,50,0.869,3.57,-14.95,34.5,105,81,24,0.771,1.71,-3.37,98,84,14,0.857,1.0,-5.44,167,155,12,0.928,0.86,-5.71,26,26,34.93,22.64
1,Olie Kolzig,T.B,8,410.05,245,220,25,0.898,3.66,-2.58,19.56,63,49,14,0.778,2.05,-1.62,73,69,4,0.945,0.59,2.38,105,98,7,0.933,1.02,-3.04,19,16,37.41,26.60
2,Martin Brodeur,N.J,31,1813.5833333333,870,797,73,0.916,2.42,6.62,69.73,236,188,48,0.797,1.59,-1.64,209,195,14,0.933,0.46,4.25,399,388,11,0.972,0.36,4.03,32,57,36.06,21.12
3,Chris Osgood,DET,46,2662.7166666667,1208,1071,137,0.887,3.09,-26.45,105.6,336,260,76,0.774,1.71,-9.99,334,298,36,0.892,0.81,-6.83,495,472,23,0.954,0.52,-4.35,60,100,35.25,23.78
4,Manny Fernandez,BOS,28,1644.0666666667,791,720,71,0.91,2.59,1.39,71.19,221,184,37,0.833,1.35,6.42,234,213,21,0.910,0.77,-0.56,304,291,13,0.957,0.47,-1.55,49,60,35.13,22.11
5,Nikolai Khabibulin,CHI,42,2447.4666666667,1192,1096,96,0.919,2.35,13.09,95.14,316,263,53,0.832,1.3,9.08,294,276,18,0.939,0.44,7.68,561,536,25,0.955,0.61,-3.86,57,87,32.64,22.28
6,Manny Legace,STL,29,1452.3166666667,669,592,77,0.885,3.18,-15.78,49.97,142,100,42,0.704,1.74,-14.1,165,144,21,0.873,0.87,-6.59,345,331,14,0.959,0.58,-1.0,32,58,36.27,24.26
7,Kevin Weekes,N.J,16,794.61666666667,399,367,32,0.92,2.42,4.51,30.12,97,83,14,0.856,1.06,5.06,101,92,9,0.911,0.68,-0.18,191,182,9,0.953,0.68,-1.8,13,31,36.34,25.19
8,Patrick Lalime,BUF,24,1296.7,669,602,67,0.9,3.1,-5.78,51.96,166,123,43,0.741,1.99,-10.39,166,148,18,0.892,0.83,-3.5,318,312,6,0.981,0.28,5.98,40,43,38.21,20.34
9,Jose Theodore,WSH,57,3287.1166666667,1572,1415,157,0.9,2.87,-13.14,141.73,425,338,87,0.795,1.59,-3.51,424,386,38,0.910,0.69,-0.97,683,651,32,0.953,0.58,-6.26,70,128,35.81,24.92
10,Marty Turco,DAL,74,4327.25,1993,1790,203,0.898,2.81,-20.61,169.77,526,412,114,0.783,1.58,-10.66,501,452,49,0.902,0.68,-5.24,909,870,39,0.957,0.54,-4.75,125,200,35.41,24.36
11,Tim Thomas,BOS,54,3258.9833333333,1693,1579,114,0.933,2.1,40.94,141.19,421,354,67,0.841,1.23,15.71,520,493,27,0.948,0.5,18.42,684,664,20,0.971,0.37,5.77,97,156,37.3,22.82
12,Johan Hedberg,ATL,33,1716.75,875,775,100,0.886,3.49,-19.92,78.15,235,182,53,0.774,1.85,-6.83,246,218,28,0.886,0.98,-6.51,378,360,18,0.952,0.63,-3.76,35,76,34.83,26.38
13,Evgeni Nabokov,S.J,62,3686.4333333333,1663,1513,150,0.91,2.44,2.19,145.01,460,374,86,0.813,1.4,4.37,454,418,36,0.921,0.59,3.65,698,670,28,0.96,0.46,-1.7,123,166,35.08,23.59
14,Tomas Vokoun,FLA,59,3324.05,1856,1718,138,0.926,2.49,31.85,149.59,458,378,80,0.825,1.44,9.98,488,455,33,0.932,0.6,9.62,875,850,25,0.971,0.45,7.97,59,180,36.0,25.63
15,Dwayne Roloson,EDM,63,3596.7,1953,1787,166,0.915,2.77,12.73,167.39,478,393,85,0.822,1.42,8.91,515,464,51,0.901,0.85,-6.02,915,885,30,0.967,0.5,4.48,102,187,36.72,24.43
16,Jean-Sebastien Giguere,ANA,46,2458.4,1274,1147,127,0.9,3.1,-10.41,108.73,328,266,62,0.811,1.51,2.44,322,289,33,0.898,0.81,-4.88,598,567,31,0.948,0.76,-8.47,65,97,34.73,26.19
17,Martin Biron,PHI,55,3156.5166666667,1718,1572,146,0.915,2.78,11.22,147.85,425,336,89,0.791,1.69,-5.51,448,413,35,0.922,0.67,4.13,795,774,21,0.974,0.4,8.96,89,157,36.31,23.03
18,Brian Boucher,S.J,22,1291.2666666667,563,516,47,0.917,2.18,4.52,48.58,149,126,23,0.846,1.07,6.27,153,143,10,0.935,0.46,3.36,242,229,13,0.946,0.6,-3.88,24,46,34.84,26.94
19,Marc Denis,MTL,1,20.0,7,6,1,0.857,3.0,-0.36,0.68,2,2,0,1.000,0.0,0.39,3,2,1,0.667,3.0,-0.74,1,1,0,1.0,0.0,0.04,1,0,35.0,28.00
20,Vesa Toskala,TOR,53,3036.4166666667,1518,1352,166,0.891,3.28,-27.08,138.33,442,347,95,0.785,1.88,-8.17,377,335,42,0.889,0.83,-9.07,648,619,29,0.955,0.57,-4.58,68,118,35.06,24.20
21,Miikka Kiprusoff,CGY,76,4418.65,2155,1946,209,0.903,2.84,-11.78,187.73,580,459,121,0.791,1.64,-7.06,558,510,48,0.914,0.65,0.74,959,919,40,0.958,0.54,-3.86,98,188,35.99,22.82
22,Chris Mason,STL,57,3214.9,1544,1415,129,0.916,2.41,12.3,136.3,363,301,62,0.829,1.16,9.31,443,405,38,0.914,0.71,0.69,686,657,29,0.958,0.54,-3.15,74,122,35.01,24.06
23,Brent Johnson,WSH,21,1131.15,579,526,53,0.908,2.81,-0.01,49.5,138,116,22,0.841,1.17,5.11,155,138,17,0.890,0.9,-3.46,280,266,14,0.95,0.74,-3.45,32,39,36.8,25.96
24,Mathieu Garon,"EDM, PIT",19,1020.5666666667,502,449,53,0.894,3.12,-7.06,46.64,145,113,32,0.779,1.88,-3.51,122,108,14,0.885,0.82,-3.34,221,215,6,0.973,0.35,2.33,30,60,35.79,25.17
25,Steve Valiquette,NYR,15,803.08333333333,421,382,39,0.907,2.91,-0.47,36.04,127,104,23,0.819,1.72,1.95,112,103,9,0.920,0.67,0.78,172,166,6,0.965,0.45,0.48,21,41,31.59,23.23
26,Roberto Luongo,VAN,54,3181.25,1542,1418,124,0.92,2.34,17.12,133.94,433,361,72,0.834,1.36,13.07,384,364,20,0.948,0.38,13.54,682,650,32,0.953,0.6,-6.3,71,143,35.57,22.30
27,Scott Clemmensen,N.J,40,2356.15,1138,1044,94,0.917,2.39,10.14,82.55,260,207,53,0.796,1.35,-1.92,293,271,22,0.925,0.56,3.59,556,537,19,0.966,0.48,1.95,51,79,35.46,23.47
28,Jason LaBarbera,"L.A, VAN",28,1446.4333333333,675,608,67,0.901,2.78,-5.23,57.41,164,119,45,0.726,1.87,-12.78,156,142,14,0.910,0.58,-0.37,341,334,7,0.979,0.29,5.85,24,67,36.73,22.61
29,Dany Sabourin,PIT,19,989.43333333333,463,416,47,0.898,2.85,-4.63,41.88,132,96,36,0.727,2.18,-10.07,124,117,7,0.944,0.42,3.83,199,195,4,0.98,0.24,3.5,36,53,35.11,18.23
30,Andrew Raycroft,COL,31,1717.4333333333,836,746,90,0.892,3.14,-13.49,66.88,189,144,45,0.762,1.57,-7.87,213,188,25,0.883,0.87,-6.4,391,371,20,0.949,0.7,-5.27,39,94,38.6,23.46
31,Antero Niittymaki,PHI,32,1805.1666666667,947,864,83,0.912,2.76,3.67,84.0,240,190,50,0.792,1.66,-2.85,222,202,20,0.910,0.66,-0.61,453,440,13,0.971,0.43,4.07,35,93,36.47,22.86
32,Alex Auld,OTT,43,2449.4333333333,1141,1040,101,0.911,2.47,3.42,94.12,299,252,47,0.843,1.15,11.74,309,277,32,0.896,0.78,-5.01,497,476,21,0.958,0.51,-2.27,72,115,35.9,24.90
33,Craig Anderson,FLA,31,1635.9,977,903,74,0.924,2.71,15.41,85.11,273,231,42,0.846,1.54,11.63,238,219,19,0.920,0.7,1.79,437,425,12,0.973,0.44,4.47,39,90,35.14,23.34
34,Ryan Miller,BUF,59,3403.9333333333,1772,1627,145,0.918,2.56,17.17,136.48,425,355,70,0.835,1.23,13.49,427,386,41,0.904,0.72,-3.71,871,838,33,0.962,0.58,-0.18,113,110,38.85,27.92
35,Michael Leighton,CAR,19,1028.85,507,457,50,0.901,2.92,-3.6,49.02,140,109,31,0.779,1.81,-3.5,129,119,10,0.922,0.58,1.27,217,209,8,0.963,0.47,0.18,17,66,34.63,22.40
36,Curtis Sanford,VAN,19,972.58333333333,448,406,42,0.906,2.59,-1.0,40.84,124,102,22,0.823,1.36,2.36,139,122,17,0.878,1.05,-4.86,171,168,3,0.982,0.19,3.44,32,36,35.17,21.88
