,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Craig Anderson,BUF,31,1867.25,945,848,97,0.897,3.12,-9.13,85.45,272,223,49,0.820,1.57,0.94,243,206,37,0.848,1.19,-12.74,386,376,10,0.974,0.32,4.39,41,105,34.46,21.02
1,Mike Smith,EDM,28,1579.9666666667,874,800,74,0.915,2.81,7.27,77.39,220,185,35,0.841,1.33,5.39,249,223,26,0.896,0.99,-1.14,356,344,12,0.966,0.46,1.27,43,85,35.34,23.34
2,Marc-Andre Fleury,"CHI, MIN",56,3284.8666666667,1732,1573,159,0.908,2.9,2.05,147.56,417,340,77,0.815,1.41,-0.44,514,469,45,0.912,0.82,6.31,742,705,37,0.950,0.68,-9.34,83,194,33.78,23.66
3,Jaroslav Halak,VAN,17,799.28333333333,400,361,39,0.903,2.93,-1.81,37.46,122,99,23,0.811,1.73,-0.6,121,107,14,0.884,1.05,-1.92,143,141,2,0.986,0.15,3.33,25,46,32.98,19.33
4,Brian Elliott,T.B,19,1063.4166666667,489,446,43,0.912,2.43,2.47,42.65,124,100,24,0.806,1.35,-1.23,139,125,14,0.899,0.79,-0.12,203,198,5,0.975,0.28,2.57,24,42,35.25,20.35
5,Cory Schneider,NYI,1,60.0,30,27,3,0.9,3.0,-0.21,3.64,9,7,2,0.778,2.0,-0.35,9,8,1,0.889,1.0,-0.1,12,12,0,1.000,0.0,0.45,0,5,29.6,16.0
6,Thomas Greiss,DET,31,1507.7333333333,842,750,92,0.891,3.66,-13.71,76.27,238,195,43,0.819,1.71,0.7,252,220,32,0.873,1.27,-6.84,325,308,17,0.948,0.68,-4.88,30,86,32.64,22.4
7,Anton Khudobin,DAL,9,462.46666666667,232,204,28,0.879,3.63,-6.43,18.58,56,42,14,0.750,1.82,-3.72,75,66,9,0.88,1.17,-1.51,87,82,5,0.943,0.65,-1.76,13,13,35.38,22.39
8,Carey Price,MTL,5,298.45,148,130,18,0.878,3.62,-4.24,14.76,48,37,11,0.771,2.21,-2.19,45,41,4,0.911,0.8,0.49,44,41,3,0.932,0.6,-1.36,18,17,32.32,19.11
9,Tuukka Rask,BOS,4,196.35,90,76,14,0.844,4.28,-5.63,7.46,30,20,10,0.667,3.06,-4.49,14,12,2,0.857,0.61,-0.6,38,36,2,0.947,0.61,-0.58,8,5,36.82,19.29
10,Jonathan Quick,L.A,46,2685.8666666667,1286,1170,116,0.91,2.59,3.58,127.5,400,333,67,0.833,1.5,6.44,321,291,30,0.907,0.67,2.05,495,477,18,0.964,0.4,0.45,43,189,33.05,19.56
11,Alex Stalock,S.J,1,46.116666666667,28,22,6,0.786,7.81,-3.4,2.65,12,7,5,0.583,6.51,-2.8,3,3,0,1.0,0.0,0.3,13,12,1,0.923,1.3,-0.52,0,4,32.5,16.17
12,James Reimer,S.J,48,2672.6833333333,1450,1321,129,0.911,2.9,5.83,131.01,386,318,68,0.824,1.53,2.87,403,357,46,0.886,1.03,-5.77,600,586,14,0.977,0.31,8.37,63,148,35.2,22.53
13,Jonathan Bernier,N.J,10,510.1,264,238,26,0.902,3.06,-1.45,22.79,63,48,15,0.762,1.76,-3.43,72,66,6,0.917,0.71,1.19,116,111,5,0.957,0.59,-0.68,9,22,36.34,20.12
14,Semyon Varlamov,NYI,31,1792.2666666667,979,892,87,0.911,2.91,4.03,88.5,281,230,51,0.819,1.71,0.59,289,264,25,0.913,0.84,3.85,373,362,11,0.971,0.37,2.91,38,127,33.44,19.49
