,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Roberto Luongo,FLA,43,2346.6333333333,1205,1083,122,0.899,3.12,-13.4,104.64,320,253,67,0.791,1.71,-9.15,308,270,38,0.877,0.97,-7.15,497,481,16,0.968,0.41,1.73,76,123,37.48,22.24
1,Craig Anderson,OTT,50,2785.1833333333,1676,1513,163,0.903,3.51,-11.94,136.83,433,352,81,0.813,1.74,-2.72,393,340,53,0.865,1.14,-13.64,793,765,28,0.965,0.6,0.29,82,203,36.79,23.64
2,Ryan Miller,ANA,20,1108.8,578,527,51,0.912,2.76,1.09,52.91,171,141,30,0.825,1.62,0.92,166,153,13,0.922,0.7,3.63,222,214,8,0.964,0.43,-0.08,34,67,34.57,29.9
3,Henrik Lundqvist,NYR,52,3088.8833333333,1699,1541,158,0.907,3.07,-4.87,147.11,461,378,83,0.82,1.61,0.35,465,415,50,0.892,0.97,-3.43,672,647,25,0.963,0.49,-1.02,89,177,37.83,24.97
4,Peter Budaj,L.A,3,71.75,33,27,6,0.818,5.02,-3.03,2.98,13,10,3,0.769,2.51,-0.65,5,4,1,0.8,0.84,-0.5,12,10,2,0.833,1.67,-1.57,2,3,39.55,27.83
5,Mike Smith,CGY,42,2400.3166666667,1069,960,109,0.898,2.72,-12.65,97.12,334,272,62,0.814,1.55,-1.61,282,250,32,0.887,0.8,-3.76,365,350,15,0.959,0.37,-1.98,78,121,36.88,22.17
6,Mike McKenna,"OTT, PHI",11,511.25,316,282,34,0.892,3.99,-5.52,23.08,73,57,16,0.781,1.88,-2.8,67,58,9,0.866,1.06,-2.29,158,149,9,0.943,1.06,-3.36,12,24,39.6,24.29
7,Curtis McElhinney,CAR,33,1977.5166666667,968,883,85,0.912,2.58,2.24,90.19,298,238,60,0.799,1.82,-6.12,192,174,18,0.906,0.55,1.23,416,410,6,0.986,0.18,8.84,56,130,37.88,20.73
8,Cam Ward,CHI,33,1882.05,1113,998,115,0.897,3.67,-14.69,99.34,362,297,65,0.82,2.07,0.45,288,255,33,0.885,1.05,-4.15,421,404,17,0.96,0.54,-1.98,68,115,33.03,20.7
9,Marc-Andre Fleury,VGK,61,3635.1333333333,1745,1593,152,0.913,2.51,5.27,152.41,474,375,99,0.791,1.63,-13.3,469,440,29,0.938,0.48,17.97,692,668,24,0.965,0.4,0.69,87,216,36.62,19.55
10,Corey Crawford,CHI,39,2212.85,1176,1068,108,0.908,2.93,-2.01,106.04,360,304,56,0.844,1.52,9.09,288,256,32,0.889,0.87,-3.15,476,456,20,0.958,0.54,-3.02,58,125,34.32,22.56
11,Jimmy Howard,DET,55,3052.7166666667,1709,1553,156,0.909,3.07,-1.97,153.99,482,398,84,0.826,1.65,3.14,458,419,39,0.915,0.77,6.87,680,647,33,0.951,0.65,-8.74,76,189,35.47,23.37
12,Jaroslav Halak,BOS,40,2308.1166666667,1158,1068,90,0.922,2.34,14.37,98.95,319,277,42,0.868,1.09,15.67,325,299,26,0.92,0.68,6.55,450,429,21,0.953,0.55,-4.94,81,126,36.92,24.93
13,Brian Elliott,PHI,26,1396.7166666667,741,672,69,0.907,2.96,-2.21,65.7,194,156,38,0.804,1.63,-2.93,181,161,20,0.89,0.86,-1.87,318,308,10,0.969,0.43,1.35,33,100,38.21,25.84
14,Devan Dubnyk,MIN,67,3855.2666666667,1877,1714,163,0.913,2.54,6.17,142.36,416,333,83,0.8,1.29,-7.79,445,401,44,0.901,0.68,0.57,901,865,36,0.96,0.56,-3.85,78,185,40.55,25.09
15,Cory Schneider,N.J,26,1351.7833333333,720,650,70,0.903,3.11,-5.11,59.39,174,139,35,0.799,1.55,-3.54,199,178,21,0.894,0.93,-1.07,319,306,13,0.959,0.58,-1.62,43,62,35.76,24.1
16,Thomas Greiss,NYI,43,2293.7,1185,1098,87,0.927,2.28,19.8,99.19,347,294,53,0.847,1.39,9.74,304,288,16,0.947,0.42,14.45,476,458,18,0.962,0.47,-1.02,65,127,36.64,23.2
17,Anton Khudobin,DAL,41,2219.5,1232,1137,95,0.923,2.57,16.04,100.41,313,266,47,0.85,1.27,9.59,312,283,29,0.907,0.78,2.25,532,514,18,0.966,0.49,0.98,52,124,37.28,23.4
18,Pekka Rinne,NSH,56,3219.7333333333,1582,1452,130,0.918,2.42,12.58,134.26,450,383,67,0.851,1.25,14.36,419,376,43,0.897,0.8,-1.03,622,602,20,0.968,0.37,2.19,93,151,36.11,21.93
