,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Craig Anderson,OTT,34,1826.4,1014,914,100,0.901,3.29,-8.28,86.77,261,209,52,0.801,1.71,-3.23,255,225,30,0.882,0.99,-5.37,444,426,18,0.959,0.59,-2.12,28,122,37.18,22.17
1,Ryan Miller,ANA,23,1218.2333333333,684,620,64,0.906,3.15,-2.13,61.86,192,161,31,0.839,1.53,4.87,197,175,22,0.888,1.08,-2.97,279,269,10,0.964,0.49,-0.02,30,79,32.46,19.91
2,Henrik Lundqvist,NYR,30,1596.7333333333,884,800,84,0.905,3.16,-4.04,85.4,262,219,43,0.836,1.62,5.95,212,185,27,0.873,1.01,-6.53,369,355,14,0.962,0.53,-0.8,54,128,35.91,21.61
3,Mike Smith,EDM,39,2156.85,1087,981,106,0.902,2.95,-7.67,91.57,281,223,58,0.794,1.61,-5.5,267,234,33,0.876,0.92,-7.21,474,459,15,0.968,0.42,1.95,44,114,36.86,20.22
4,Curtis McElhinney,T.B,18,1080.9333333333,551,499,52,0.906,2.89,-2.16,47.65,141,114,27,0.809,1.5,-0.66,155,142,13,0.916,0.72,1.97,223,211,12,0.946,0.67,-4.02,39,59,36.42,24.58
5,Marc-Andre Fleury,VGK,49,2860.1,1400,1267,133,0.905,2.79,-6.36,118.19,370,296,74,0.800,1.55,-4.87,368,332,36,0.902,0.76,-0.46,590,567,23,0.961,0.48,-1.9,84,192,35.74,20.68
6,Corey Crawford,CHI,40,2340.05,1295,1187,108,0.917,2.77,9.14,109.53,390,331,59,0.849,1.51,13.87,338,304,34,0.899,0.87,-1.36,518,503,15,0.971,0.38,3.53,52,135,33.36,20.65
7,Jimmy Howard,DET,27,1371.5666666667,817,721,96,0.882,4.2,-22.1,67.28,199,146,53,0.734,2.32,-15.82,230,206,24,0.896,1.05,-1.79,357,339,18,0.95,0.79,-5.23,31,88,34.74,22.33
8,Jaroslav Halak,BOS,31,1833.3666666667,905,832,73,0.919,2.39,8.86,74.82,231,188,43,0.814,1.41,0.16,218,202,16,0.927,0.52,5.05,401,387,14,0.965,0.46,0.34,58,81,37.88,21.71
9,Brian Elliott,PHI,31,1673.9,796,716,80,0.899,2.87,-8.0,69.93,235,193,42,0.821,1.51,1.91,188,168,20,0.894,0.72,-1.84,319,301,18,0.944,0.65,-6.59,29,101,35.09,20.9
