,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Martin Brodeur,N.J,29,1757.8833333333,654,589,65,0.901,2.22,-7.4,54.38,164,131,33,0.799,1.13,-3.42,168,149,19,0.887,0.65,-3.73,297,284,13,0.956,0.44,-2.26,39,54,35.68,23.74
1,Nikolai Khabibulin,EDM,12,683.61666666667,376,347,29,0.923,2.55,4.11,34.22,101,90,11,0.891,0.97,7.22,132,118,14,0.894,1.23,-2.0,136,133,3,0.978,0.26,1.92,17,40,32.49,27.59
2,Jose Theodore,FLA,15,766.46666666667,391,349,42,0.893,3.29,-7.57,31.69,102,89,13,0.873,1.02,5.4,115,96,19,0.835,1.49,-8.55,169,159,10,0.941,0.78,-3.89,26,39,34.49,31.67
3,Johan Hedberg,N.J,19,1108.2666666667,435,384,51,0.883,2.76,-12.69,37.51,127,97,30,0.764,1.62,-7.09,138,118,20,0.855,1.08,-7.46,154,153,1,0.994,0.05,4.57,28,26,33.28,19.16
4,Evgeni Nabokov,NYI,41,2475.4,1139,1036,103,0.91,2.5,-2.69,101.64,338,280,58,0.828,1.41,2.96,323,298,25,0.923,0.61,4.36,452,433,19,0.958,0.46,-2.65,58,95,33.16,23.45
5,Tomas Vokoun,PIT,20,1028.5333333333,519,477,42,0.919,2.45,3.71,43.07,137,112,25,0.818,1.46,-0.29,140,130,10,0.929,0.58,2.72,223,217,6,0.973,0.35,2.07,22,58,35.58,23.05
6,Jean-Sebastien Giguere,COL,18,907.83333333333,469,426,43,0.908,2.84,-1.7,38.96,113,90,23,0.796,1.52,-2.62,117,108,9,0.923,0.59,1.63,224,213,11,0.951,0.73,-2.9,17,48,35.33,22.21
7,Martin Biron,NYR,6,335.7,156,143,13,0.917,2.32,0.74,16.02,47,40,7,0.851,1.25,1.48,38,34,4,0.895,0.71,-0.55,66,64,2,0.970,0.36,0.39,8,18,33.22,23.77
8,Brian Boucher,PHI,4,144.01666666667,55,49,6,0.891,2.5,-1.16,4.43,9,5,4,0.556,1.67,-2.38,14,12,2,0.857,0.83,-0.73,32,32,0,1.000,0.0,1.16,4,4,37.2,21.17
9,Miikka Kiprusoff,CGY,24,1344.0833333333,650,573,77,0.882,3.44,-19.76,53.89,171,128,43,0.749,1.92,-12.16,177,154,23,0.87,1.03,-6.91,281,271,10,0.964,0.45,0.16,42,54,34.17,21.94
