,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
10,Chris Mason,NSH,11,466.73333333333,229,200,29,0.873,3.73,-8.83,19.79,75,60,15,0.8,1.93,-1.47,57,50,7,0.877,0.9,-1.82,90,83,7,0.922,0.9,-3.74,4,21,32.15,21.86
11,Mathieu Garon,T.B,18,910.06666666667,427,383,44,0.897,2.9,-6.39,34.3,98,77,21,0.786,1.38,-3.32,120,105,15,0.875,0.99,-4.09,195,187,8,0.959,0.53,-0.95,32,46,36.61,26.02
12,Roberto Luongo,VAN,20,1196.9166666667,551,500,51,0.907,2.56,-2.47,47.58,141,111,30,0.787,1.5,-4.57,170,159,11,0.935,0.55,4.45,227,217,10,0.956,0.5,-1.79,20,47,34.18,22.51
13,Scott Clemmensen,FLA,19,866.41666666667,421,368,53,0.874,3.67,-15.92,39.75,123,99,24,0.805,1.66,-1.82,126,107,19,0.849,1.32,-7.55,162,152,10,0.938,0.69,-4.14,21,53,33.9,24.70
14,Jason LaBarbera,PHX,15,725.91666666667,418,386,32,0.923,2.64,4.81,39.51,139,119,20,0.856,1.65,5.07,92,86,6,0.935,0.5,2.36,179,173,6,0.966,0.5,0.47,23,65,32.01,23.91
15,Craig Anderson,OTT,24,1420.6,677,637,40,0.941,1.69,19.62,55.01,169,144,25,0.852,1.06,5.48,144,133,11,0.924,0.46,2.09,350,346,4,0.989,0.17,8.66,33,66,36.65,18.83
16,Ryan Miller,BUF,40,2302.9,1270,1162,108,0.915,2.81,3.85,110.26,353,297,56,0.841,1.46,7.67,347,315,32,0.908,0.83,-0.46,541,521,20,0.963,0.52,-0.43,86,118,34.21,24.61
17,Michael Leighton,PHI,1,59.133333333333,26,21,5,0.808,5.07,-2.71,1.78,4,2,2,0.5,2.03,-1.28,14,12,2,0.857,2.03,-0.73,7,6,1,0.857,1.01,-0.75,3,1,35.81,28.00
18,Rick DiPietro,NYI,3,175.6,83,71,12,0.855,4.1,-4.69,7.67,25,17,8,0.68,2.73,-3.49,20,18,2,0.9,0.68,-0.18,36,34,2,0.944,0.68,-0.7,6,9,35.47,22.92
19,Ilya Bryzgalov,PHI,40,2297.75,1066,959,107,0.9,2.79,-13.12,96.25,274,217,57,0.792,1.49,-7.58,301,266,35,0.884,0.91,-7.64,458,443,15,0.967,0.39,1.57,61,112,35.14,22.76
20,Dan Ellis,CAR,19,997.06666666667,556,504,52,0.906,3.13,-3.03,50.54,160,125,35,0.781,2.11,-6.14,135,127,8,0.941,0.48,4.27,249,241,8,0.968,0.48,1.01,28,58,32.56,18.69
21,Henrik Lundqvist,NYR,43,2575.6333333333,1190,1102,88,0.926,2.05,16.8,106.99,307,262,45,0.853,1.05,10.37,314,290,24,0.924,0.56,4.54,522,504,18,0.966,0.42,0.88,52,111,34.83,22.76
22,Peter Budaj,MTL,13,656.48333333333,274,249,25,0.909,2.28,-0.87,21.31,58,45,13,0.776,1.19,-2.54,64,55,9,0.859,0.82,-3.18,145,142,3,0.979,0.27,2.24,19,23,37.75,23.28
23,Ray Emery,CHI,21,1116.0,460,424,36,0.922,1.94,4.51,41.43,131,112,19,0.855,1.02,4.63,120,113,7,0.942,0.38,3.91,196,186,10,0.949,0.54,-2.91,25,46,32.3,25.19
24,Mike Smith,PHX,34,1955.55,938,854,84,0.91,2.58,-1.39,78.47,274,233,41,0.85,1.26,8.42,221,192,29,0.869,0.89,-8.91,419,405,14,0.967,0.43,1.16,42,97,34.6,24.04
25,Joey MacDonald,CGY,21,1148.4666666667,563,508,55,0.902,2.87,-5.42,49.54,160,128,32,0.8,1.67,-3.14,137,123,14,0.898,0.73,-1.55,256,247,9,0.965,0.47,0.26,26,80,34.25,20.80
26,Kari Lehtonen,DAL,36,1986.1833333333,1050,962,88,0.916,2.66,4.47,98.34,326,269,57,0.825,1.72,1.8,248,230,18,0.927,0.54,4.54,446,433,13,0.971,0.39,3.13,54,120,33.28,17.88
27,Josh Harding,MIN,5,185.08333333333,73,63,10,0.863,3.24,-3.57,4.41,9,6,3,0.667,0.97,-1.38,20,17,3,0.85,0.97,-1.18,39,35,4,0.897,1.3,-2.59,2,4,40.45,23.70
28,Cam Ward,CAR,17,929.45,477,433,44,0.908,2.84,-1.99,42.67,135,110,25,0.815,1.61,-0.65,104,100,4,0.962,0.26,5.45,229,215,14,0.939,0.9,-5.72,19,60,34.86,25.27
29,Marc-Andre Fleury,PIT,33,1857.75,881,807,74,0.916,2.39,3.59,72.98,227,182,45,0.802,1.45,-4.06,212,192,20,0.906,0.65,-0.73,414,405,9,0.978,0.29,5.98,34,88,35.74,22.19
30,Corey Crawford,CHI,30,1760.5166666667,769,712,57,0.926,1.94,10.72,63.62,212,176,36,0.83,1.23,2.24,190,177,13,0.932,0.44,4.27,342,335,7,0.980,0.24,5.37,27,68,34.37,25.44
31,Jimmy Howard,DET,42,2445.7333333333,1128,1041,87,0.923,2.13,12.34,92.7,332,273,59,0.822,1.45,0.88,259,244,15,0.942,0.37,8.54,496,483,13,0.974,0.32,4.94,47,94,34.92,19.78
32,Jaroslav Halak,STL,16,812.58333333333,286,257,29,0.899,2.14,-3.81,25.3,81,61,20,0.753,1.48,-5.39,81,76,5,0.938,0.37,2.36,119,115,4,0.966,0.3,0.3,13,25,32.02,20.17
33,Brian Elliott,STL,24,1271.9333333333,526,477,49,0.907,2.31,-2.68,43.14,134,110,24,0.821,1.13,0.17,123,109,14,0.886,0.66,-2.82,248,237,11,0.956,0.52,-2.03,23,39,34.83,22.94
34,Yann Danis,EDM,3,110.25,59,52,7,0.881,3.81,-1.8,5.58,18,15,3,0.833,1.63,0.25,20,17,3,0.85,1.63,-1.18,17,16,1,0.941,0.54,-0.39,1,4,33.42,19.43
35,Al Montoya,WPG,7,351.35,168,151,17,0.899,2.9,-2.2,13.37,47,39,8,0.83,1.37,0.48,41,36,5,0.878,0.85,-1.27,76,72,4,0.947,0.68,-1.25,8,10,34.7,27.94
36,Devan Dubnyk,EDM,38,2100.95,1133,1043,90,0.921,2.57,9.78,102.7,316,269,47,0.851,1.34,9.99,329,309,20,0.939,0.57,9.9,457,435,22,0.952,0.63,-5.47,61,106,33.81,25.76
37,Cory Schneider,VAN,30,1733.3166666667,835,774,61,0.927,2.11,12.54,70.04,241,208,33,0.863,1.14,10.47,202,184,18,0.911,0.62,0.36,358,349,9,0.975,0.31,3.95,52,87,35.56,24.33
38,Justin Peters,CAR,19,954.4,507,452,55,0.892,3.46,-10.35,50.39,161,125,36,0.776,2.26,-6.96,121,109,12,0.901,0.75,-1.0,217,211,6,0.972,0.38,1.85,31,69,32.11,17.71
39,Thomas Greiss,S.J,6,308.2,153,140,13,0.915,2.53,0.47,12.69,42,39,3,0.929,0.58,4.58,42,36,6,0.857,1.17,-2.18,63,59,4,0.937,0.78,-1.72,7,13,35.27,32.69
40,Anton Khudobin,BOS,14,803.0,389,358,31,0.92,2.32,3.26,29.82,86,68,18,0.791,1.34,-2.49,98,90,8,0.918,0.6,0.91,190,186,4,0.979,0.3,2.87,18,33,36.83,19.45
41,Daniel Taylor,CGY,2,120.0,68,62,6,0.912,3.0,-0.01,5.04,16,13,3,0.813,1.5,-0.11,15,13,2,0.867,1.0,-0.64,36,35,1,0.972,0.5,0.3,5,7,34.75,19.50
42,Pekka Rinne,NSH,43,2423.7666666667,1101,1002,99,0.91,2.45,-2.04,85.9,253,200,53,0.791,1.31,-7.37,307,279,28,0.909,0.69,-0.1,517,499,18,0.965,0.45,0.7,58,76,34.1,22.16
43,Carey Price,MTL,39,2229.0166666667,1018,921,97,0.905,2.61,-7.35,85.17,259,210,49,0.811,1.32,-2.29,254,228,26,0.898,0.7,-2.91,468,449,19,0.959,0.51,-2.07,67,84,36.33,26.29
44,Tuukka Rask,BOS,36,2104.2666666667,980,910,70,0.929,2.0,16.31,82.82,263,227,36,0.863,1.03,11.43,258,235,23,0.911,0.66,0.45,428,417,11,0.974,0.31,4.48,64,96,36.05,21.64
45,Jeff Frazee,N.J,1,18.6,3,3,0,1.0,0.0,0.26,0.3,1,1,0,1.0,0.0,0.18,1,1,0,1.0,0.0,0.09,1,1,0,1.000,0.0,0.04,0,0,30.0,-
46,Ondrej Pavelec,WPG,44,2554.5166666667,1251,1132,119,0.905,2.8,-8.83,112.8,337,267,70,0.792,1.64,-9.22,355,327,28,0.921,0.66,4.27,528,507,21,0.960,0.49,-1.9,83,136,34.19,21.84
47,Jonathan Quick,L.A,37,2133.7,889,802,87,0.902,2.45,-8.71,78.49,243,193,50,0.794,1.41,-6.17,213,192,21,0.901,0.59,-1.64,402,386,16,0.960,0.45,-1.46,44,91,34.72,20.13
48,Ben Bishop,"OTT, T.B",22,1260.6333333333,701,645,56,0.92,2.67,5.74,58.64,160,130,30,0.813,1.43,-1.14,207,191,16,0.923,0.76,2.81,314,304,10,0.968,0.48,1.36,45,85,36.41,24.13
49,Alex Stalock,S.J,2,41.816666666667,13,11,2,0.846,2.87,-0.86,1.03,2,2,0,1.0,0.0,0.36,2,1,1,0.5,1.43,-0.82,9,8,1,0.889,1.43,-0.67,1,0,28.62,21.50
50,Niklas Backstrom,MIN,42,2348.1333333333,1072,974,98,0.909,2.5,-3.59,80.74,249,198,51,0.795,1.3,-6.09,265,235,30,0.887,0.77,-5.91,525,509,16,0.970,0.41,2.99,60,91,36.56,22.57
51,Leland Irving,CGY,6,270.06666666667,128,113,15,0.883,3.33,-3.73,10.41,36,27,9,0.75,2.0,-2.51,25,20,5,0.8,1.11,-2.73,63,62,1,0.984,0.22,1.28,2,10,35.0,21.33
52,Chad Johnson,PHX,4,246.61666666667,108,103,5,0.954,1.22,4.51,8.09,23,19,4,0.826,0.97,0.15,22,22,0,1.0,0.0,2.0,62,61,1,0.984,0.24,1.24,2,10,34.28,14.00
53,Steve Mason,"CBJ, PHI",20,1090.15,561,514,47,0.916,2.59,2.41,43.88,128,104,24,0.813,1.32,-0.91,154,141,13,0.916,0.72,1.0,261,251,10,0.962,0.55,-0.56,24,48,35.64,26.55
54,James Reimer,TOR,33,1856.5666666667,994,918,76,0.924,2.46,11.54,81.83,247,209,38,0.846,1.23,6.55,232,210,22,0.905,0.71,-0.91,488,472,16,0.967,0.52,1.65,59,92,36.43,26.33
55,Jhonas Enroth,BUF,12,623.43333333333,332,305,27,0.919,2.6,2.24,26.38,83,71,12,0.855,1.15,2.97,75,68,7,0.907,0.67,-0.18,165,157,8,0.952,0.77,-2.03,28,26,37.14,27.78
56,Jonathan Bernier,L.A,14,768.35,306,282,24,0.922,1.87,2.95,27.48,79,65,14,0.823,1.09,0.25,76,72,4,0.947,0.31,2.91,139,133,6,0.957,0.47,-0.97,14,36,35.13,24.25
57,Semyon Varlamov,COL,35,1949.65,1007,909,98,0.903,3.02,-9.31,93.54,306,246,60,0.804,1.85,-4.81,264,245,19,0.928,0.58,5.0,414,395,19,0.954,0.58,-4.02,61,123,33.54,21.30
58,Michal Neuvirth,WSH,13,723.13333333333,367,334,33,0.91,2.74,-0.68,31.58,96,77,19,0.802,1.58,-1.69,72,65,7,0.903,0.58,-0.46,194,187,7,0.964,0.58,0.02,17,38,35.83,21.09
59,Richard Bachman,DAL,13,609.56666666667,288,255,33,0.885,3.25,-7.64,26.23,79,61,18,0.772,1.77,-3.75,65,54,11,0.831,1.08,-5.09,132,128,4,0.970,0.39,0.77,11,29,34.72,20.36
60,Cedrick Desjardins,T.B,3,160.1,73,65,8,0.89,3.0,-1.57,6.63,24,20,4,0.833,1.5,0.33,15,12,3,0.8,1.12,-1.64,33,32,1,0.970,0.37,0.19,6,8,32.4,26.63
61,Jonas Hiller,ANA,26,1498.3166666667,675,616,59,0.913,2.36,0.45,62.45,194,164,30,0.845,1.2,4.99,158,146,12,0.924,0.48,2.36,300,284,16,0.947,0.64,-5.15,41,74,33.31,28.49
62,Antti Niemi,S.J,43,2580.7666666667,1220,1127,93,0.924,2.16,14.44,99.47,284,237,47,0.835,1.09,4.22,305,279,26,0.915,0.6,1.72,590,571,19,0.968,0.44,2.34,74,133,36.28,25.46
63,Jacob Markstrom,FLA,23,1265.75,685,617,68,0.901,3.22,-7.67,55.15,181,145,36,0.801,1.71,-3.36,170,153,17,0.9,0.81,-1.55,310,296,14,0.955,0.66,-2.79,27,71,35.87,24.75
64,Jake Allen,STL,15,803.88333333333,346,313,33,0.905,2.46,-2.53,32.71,103,81,22,0.786,1.64,-3.42,90,86,4,0.956,0.3,4.18,136,129,7,0.949,0.52,-2.08,22,48,32.43,18.12
65,Braden Holtby,WSH,36,2089.2333333333,1123,1033,90,0.92,2.58,8.9,91.41,275,235,40,0.855,1.15,9.6,272,246,26,0.904,0.75,-1.28,548,525,23,0.958,0.66,-3.18,43,116,35.48,26.06
66,Kevin Poulin,NYI,5,257.61666666667,122,109,13,0.893,3.03,-2.26,11.52,44,36,8,0.818,1.86,-0.06,23,22,1,0.957,0.23,1.09,49,45,4,0.918,0.93,-2.23,8,11,35.23,25.15
67,Anders Lindback,T.B,24,1304.8166666667,642,579,63,0.902,2.9,-6.46,52.69,163,130,33,0.798,1.52,-3.6,187,166,21,0.888,0.97,-4.0,267,258,9,0.966,0.41,0.66,40,55,36.52,24.17
68,Robin Lehner,OTT,12,734.8,424,397,27,0.936,2.2,10.34,32.71,106,95,11,0.896,0.9,8.12,108,99,9,0.917,0.73,0.82,199,193,6,0.970,0.49,1.2,18,43,35.36,29.93
69,Matt Hackett,MIN,1,59.2,33,28,5,0.848,5.07,-2.09,3.59,14,11,3,0.786,3.04,-0.47,6,4,2,0.667,2.03,-1.45,12,12,0,1.000,0.0,0.43,1,7,31.06,17.60
70,Darcy Kuemper,MIN,6,288.3,119,109,10,0.916,2.08,0.48,9.97,33,27,6,0.818,1.25,-0.05,25,23,2,0.92,0.42,0.27,59,57,2,0.966,0.42,0.13,11,9,32.66,22.50
71,Jonas Gustavsson,DET,7,349.25,140,123,17,0.879,2.92,-4.67,11.64,36,27,9,0.75,1.55,-2.51,37,33,4,0.892,0.69,-0.64,58,54,4,0.931,0.69,-1.9,8,16,38.13,22.71
72,Carter Hutton,CHI,1,58.733333333333,28,25,3,0.893,3.06,-0.53,2.49,9,6,3,0.667,3.06,-1.38,6,6,0,1.0,0.0,0.55,13,13,0,1.000,0.0,0.47,0,3,30.43,9.67
73,Jussi Rynnas,TOR,1,10.333333333333,6,6,0,1.0,0.0,0.53,0.54,2,2,0,1.0,0.0,0.36,3,3,0,1.0,0.0,0.27,0,0,0,-,0.0,0.0,2,0,43.33,-
74,Ben Scrivens,TOR,20,1024.85,542,496,46,0.915,2.69,1.73,43.95,120,92,28,0.767,1.64,-6.36,123,115,8,0.935,0.47,3.18,283,273,10,0.965,0.59,0.24,29,54,39.18,24.48
75,Sergei Bobrovsky,CBJ,38,2218.95,1084,1010,74,0.932,2.0,21.47,86.6,272,231,41,0.849,1.11,8.06,259,244,15,0.942,0.41,8.54,526,508,18,0.966,0.49,1.03,42,102,34.22,23.47
76,Sami Aittokallio,COL,1,49.333333333333,25,23,2,0.92,2.43,0.2,2.54,6,6,0,1.0,0.0,1.08,7,6,1,0.857,1.22,-0.36,12,11,1,0.917,1.22,-0.57,2,3,37.0,30.50
77,Philipp Grubauer,WSH,2,85.133333333333,59,54,5,0.915,3.52,0.2,6.08,28,23,5,0.821,3.52,0.05,18,18,0,1.0,0.0,1.64,11,11,0,1.000,0.0,0.4,4,5,29.8,14.20
78,Petr Mrazek,DET,2,119.15,51,47,4,0.922,2.01,0.49,3.14,5,4,1,0.8,0.5,-0.1,14,11,3,0.786,1.51,-1.73,27,27,0,1.000,0.0,0.98,3,4,43.55,25.25
79,Keith Kinkaid,N.J,1,25.75,13,12,1,0.923,2.33,0.14,0.86,2,2,0,1.0,0.0,0.36,6,5,1,0.833,2.33,-0.45,5,5,0,1.000,0.0,0.18,1,0,33.23,26.00
80,Viktor Fasth,ANA,25,1428.3,661,609,52,0.921,2.18,6.21,58.31,186,156,30,0.839,1.26,3.55,164,152,12,0.927,0.5,2.91,288,278,10,0.965,0.42,0.42,28,75,33.7,26.02
81,Cristopher Nilstorp,DAL,5,291.3,146,131,15,0.897,3.09,-2.14,11.7,36,29,7,0.806,1.44,-0.51,35,30,5,0.857,1.03,-1.82,67,64,3,0.955,0.62,-0.58,1,16,35.38,29.87
